Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Colombia Categoria Primera A,2021,2021-01-16 19:00:00,1,Millonarios,Envigado,1,0,1,['20'],[],1.35,4.0,7.75,2.05,2.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Colombia Categoria Primera A,2021,2021-01-16 21:30:00,1,Junior,Independiente Medellín,1,0,1,['8'],[],1.56,3.4,5.75,2.25,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Colombia Categoria Primera A,2021,2021-01-17 16:00:00,1,Deportivo Pasto,La Equidad,2,2,4,"['31', '40']","['53', '62']",2.25,2.75,3.3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Colombia Categoria Primera A,2021,2021-01-17 20:05:00,1,Atlético Nacional,Santa Fe,2,0,2,"['35', '60']",[],2.2,2.7,3.6,2.15,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Colombia Categoria Primera A,2021,2021-01-17 22:10:00,1,Deportivo Cali,Jaguares de Córdoba,1,0,1,['69'],[],1.33,4.2,7.75,2.1,2.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Colombia Categoria Primera A,2021,2021-01-18 17:30:00,1,Deportes Tolima,Once Caldas,1,1,2,['57'],['79'],1.69,3.2,5.0,2.2,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Colombia Categoria Primera A,2021,2021-01-19 21:40:00,1,Atlético Bucaramanga,Boyacá Chicó,2,0,2,"['13', '50']",[],1.67,3.25,5.25,2.25,2.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8,Colombia Categoria Primera A,2021,2021-01-20 21:40:00,1,Alianza Petrolera,Deportivo Pereira,2,2,4,"['54', '69']","['4', '86']",2.1,2.8,3.75,2.25,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,Colombia Categoria Primera A,2021,2021-01-22 22:00:00,2,Independiente Medellín,Patriotas Boyacá,2,1,3,"['24', '70']",['20'],1.42,3.9,6.75,2.05,2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Colombia Categoria Primera A,2021,2021-01-23 19:35:00,2,Envigado,Deportivo Pasto,0,1,1,[],['22'],2.65,2.85,2.65,2.25,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Colombia Categoria Primera A,2021,2021-01-24 18:00:00,2,América de Cali,Rionegro Águilas,1,1,2,['45'],['57'],1.67,3.25,5.0,2.2,1.95,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Colombia Categoria Primera A,2021,2021-01-24 20:05:00,2,Jaguares de Córdoba,Atlético Bucaramanga,2,1,3,"['49', '79']",['75'],2.5,2.9,2.7,2.4,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Colombia Categoria Primera A,2021,2021-01-24 22:10:00,2,Deportivo Pereira,Deportivo Cali,0,1,1,[],['69'],4.0,3.15,1.83,2.1,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Colombia Categoria Primera A,2021,2021-01-25 16:00:00,2,La Equidad,Atlético Nacional,1,0,1,['66'],[],3.45,2.9,2.15,2.15,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Colombia Categoria Primera A,2021,2021-01-25 19:30:00,2,Once Caldas,Junior,1,2,3,['4'],"['60', '68']",3.8,3.0,1.95,2.25,2.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Colombia Categoria Primera A,2021,2021-01-29 20:00:00,3,Jaguares de Córdoba,Alianza Petrolera,2,0,2,"['4', '75']",[],2.75,2.7,2.7,2.15,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17,Colombia Categoria Primera A,2021,2021-01-29 22:00:00,3,Deportivo Cali,Envigado,1,1,2,['18'],['58'],1.35,4.1,7.75,2.05,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Colombia Categoria Primera A,2021,2021-01-30 16:00:00,3,Patriotas Boyacá,Boyacá Chicó,1,1,2,['45+4'],['8'],2.4,3.08,3.07,2.55,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Colombia Categoria Primera A,2021,2021-01-30 18:00:00,3,Rionegro Águilas,Santa Fe,0,2,2,[],"['59', '73']",3.15,2.75,2.35,2.4,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Colombia Categoria Primera A,2021,2021-01-30 20:05:00,3,Atlético Nacional,Deportivo Pereira,5,2,7,"['20', '53', '71', '78', '85']","['6', '29']",1.42,3.75,7.0,2.0,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Colombia Categoria Primera A,2021,2021-01-30 22:10:00,3,Junior,América de Cali,2,1,3,"['49', '88']",['79'],1.71,3.15,4.85,2.25,2.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Colombia Categoria Primera A,2021,2021-01-31 17:30:00,3,Deportes Tolima,La Equidad,1,0,1,['61'],[],1.61,3.35,5.5,2.2,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Colombia Categoria Primera A,2021,2021-01-31 21:40:00,3,Atlético Bucaramanga,Independiente Medellín,0,1,1,[],['85'],2.35,2.85,3.1,2.15,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Colombia Categoria Primera A,2021,2021-02-01 16:00:00,3,Millonarios,Once Caldas,4,3,7,"['6', '35', '53', '74']","['30', '48', '66']",1.48,3.65,6.25,2.05,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Colombia Categoria Primera A,2021,2021-02-02 18:00:00,4,Envigado,Jaguares de Córdoba,1,1,2,['71'],['53'],2.45,2.6,3.2,2.45,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Colombia Categoria Primera A,2021,2021-02-02 20:00:00,4,Boyacá Chicó,Deportivo Cali,0,1,1,[],['66'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Colombia Categoria Primera A,2021,2021-02-02 22:05:00,4,Deportivo Pasto,Atlético Nacional,0,0,0,[],[],2.35,2.95,2.95,2.05,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Colombia Categoria Primera A,2021,2021-02-03 16:00:00,4,La Equidad,Junior,1,0,1,['3'],[],2.95,2.75,2.4,2.55,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Colombia Categoria Primera A,2021,2021-02-03 18:00:00,4,Deportivo Pereira,Deportes Tolima,0,0,0,[],[],3.9,3.2,1.87,2.2,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Colombia Categoria Primera A,2021,2021-02-03 20:05:00,4,Alianza Petrolera,Rionegro Águilas,1,2,3,['60'],"['39', '88']",2.25,2.85,3.25,2.25,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Colombia Categoria Primera A,2021,2021-02-03 22:10:00,4,América de Cali,Atlético Bucaramanga,0,0,0,[],[],1.43,3.85,6.75,2.0,2.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Colombia Categoria Primera A,2021,2021-02-04 16:00:00,4,Santa Fe,Patriotas Boyacá,1,0,1,['13'],[],1.5,3.4,8.5,2.17,2.45,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Colombia Categoria Primera A,2021,2021-02-04 22:00:00,4,Independiente Medellín,Millonarios,0,0,0,[],[],3.4,2.95,2.25,2.33,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Colombia Categoria Primera A,2021,2021-02-06 17:15:00,5,Once Caldas,Envigado,3,1,4,"['10', '45+1', '84']",['17'],2.0,2.8,4.05,2.2,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
35,Colombia Categoria Primera A,2021,2021-02-06 19:30:00,5,Junior,Alianza Petrolera,2,0,2,"['72', '90+4']",[],1.39,3.8,7.5,2.05,2.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
36,Colombia Categoria Primera A,2021,2021-02-06 22:00:00,5,Atlético Nacional,Boyacá Chicó,2,0,2,"['69', '90+1']",[],1.26,4.85,9.5,2.0,2.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
37,Colombia Categoria Primera A,2021,2021-02-07 16:00:00,5,Millonarios,Deportivo Pereira,3,2,5,"['7', '33', '72']","['58', '63']",1.47,4.2,6.5,1.8,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
38,Colombia Categoria Primera A,2021,2021-02-07 18:00:00,5,Deportes Tolima,Independiente Medellín,2,1,3,"['32', '61']",['87'],1.54,3.45,5.75,2.2,2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
39,Colombia Categoria Primera A,2021,2021-02-07 20:05:00,5,Patriotas Boyacá,Deportivo Cali,0,1,1,[],['14'],3.35,2.95,2.15,2.25,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Colombia Categoria Primera A,2021,2021-02-07 22:10:00,5,Jaguares de Córdoba,Santa Fe,0,1,1,[],['62'],3.5,2.75,2.2,2.35,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Colombia Categoria Primera A,2021,2021-02-08 22:00:00,5,Atlético Bucaramanga,La Equidad,0,0,0,[],[],2.65,2.6,2.9,2.35,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Colombia Categoria Primera A,2021,2021-02-09 21:40:00,5,Rionegro Águilas,Deportivo Pasto,1,1,2,['77'],['6'],2.5,2.7,2.95,2.15,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
43,Colombia Categoria Primera A,2021,2021-02-12 18:00:00,6,Deportivo Pereira,Patriotas Boyacá,1,2,3,['90+2'],"['14', '88']",1.95,3.0,3.95,2.15,2.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
44,Colombia Categoria Primera A,2021,2021-02-12 20:00:00,6,Alianza Petrolera,Once Caldas,0,0,0,[],[],2.25,2.9,3.15,2.1,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,Colombia Categoria Primera A,2021,2021-02-12 22:05:00,6,Boyacá Chicó,América de Cali,1,2,3,['29'],"['16', '60']",4.4,2.95,1.87,2.35,2.15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
46,Colombia Categoria Primera A,2021,2021-02-13 17:15:00,6,La Equidad,Millonarios,1,0,1,['90+3'],[],3.95,2.8,2.0,2.25,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
47,Colombia Categoria Primera A,2021,2021-02-13 19:30:00,6,Deportivo Cali,Rionegro Águilas,1,0,1,['86'],[],1.71,3.0,5.5,2.25,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
48,Colombia Categoria Primera A,2021,2021-02-13 22:00:00,6,Envigado,Junior,2,2,4,"['6', '90+1']","['64', '66']",5.25,3.1,1.69,2.25,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
49,Colombia Categoria Primera A,2021,2021-02-14 16:00:00,6,Santa Fe,Atlético Bucaramanga,2,0,2,"['39', '73']",[],1.33,4.05,8.25,2.1,2.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
50,Colombia Categoria Primera A,2021,2021-02-14 20:05:00,6,Independiente Medellín,Jaguares de Córdoba,1,0,1,['38'],[],1.56,3.3,6.0,2.2,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
51,Colombia Categoria Primera A,2021,2021-02-14 22:10:00,6,Deportivo Pasto,Deportes Tolima,0,1,1,[],['71'],2.6,2.45,3.2,2.55,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,Colombia Categoria Primera A,2021,2021-02-16 20:00:00,7,Patriotas Boyacá,Alianza Petrolera,3,1,4,"['22', '56', '71']",['13'],2.2,2.9,3.35,2.2,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
53,Colombia Categoria Primera A,2021,2021-02-16 22:00:00,7,Once Caldas,Atlético Nacional,0,1,1,[],['72'],3.3,3.25,2.05,1.95,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Colombia Categoria Primera A,2021,2021-02-17 16:00:00,7,Atlético Bucaramanga,Deportivo Pereira,2,0,2,"['9', '71']",[],2.3,2.95,3.4,2.35,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
55,Colombia Categoria Primera A,2021,2021-02-17 18:00:00,7,Rionegro Águilas,Envigado,1,1,2,['2'],['88'],1.71,3.15,4.75,2.25,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,Colombia Categoria Primera A,2021,2021-02-17 20:05:00,7,Independiente Medellín,Boyacá Chicó,1,0,1,['36'],[],1.43,3.85,6.75,2.15,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
