Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1267746,Croatia Prva HNL,2021/2022,2021-07-16 13:55:00,1,Dinamo Zagreb,Slaven Koprivnica,0,2,2,[],"['50', '84']",1.25,5.25,8.75,1.59,2.1,2.1,1.65
2,1267748,Croatia Prva HNL,2021/2022,2021-07-16 16:00:00,1,Osijek,Šibenik,3,0,3,"['62', '90', '90+5']",[],1.2,6.0,10.5,1.86,1.86,2.9,1.33
3,1267747,Croatia Prva HNL,2021/2022,2021-07-17 13:55:00,1,Lokomotiva Zagreb,Hajduk Split,2,2,4,"['42', '47']","['29', '55']",4.45,3.85,1.61,1.71,1.95,1.77,1.91
4,1267744,Croatia Prva HNL,2021/2022,2021-07-17 16:00:00,1,Rijeka,Gorica,2,0,2,"['20', '54']",[],1.8,3.4,4.1,1.78,2.08,1.74,1.91
5,1267745,Croatia Prva HNL,2021/2022,2021-07-18 13:55:00,1,Istra 1961,Hrvatski Dragovoljac,3,1,4,"['10', '17', '45+3']",['90+3'],1.65,3.45,4.75,1.95,1.71,1.95,1.74
6,1267752,Croatia Prva HNL,2021/2022,2021-07-23 15:00:00,2,Hrvatski Dragovoljac,Dinamo Zagreb,0,4,4,[],"['19', '35', '49', '53']",11.0,6.0,1.17,1.45,2.55,2.45,1.44
7,1267751,Croatia Prva HNL,2021/2022,2021-07-24 13:55:00,2,Slaven Koprivnica,Lokomotiva Zagreb,1,2,3,['66'],"['22', '89']",2.3,3.0,3.0,1.95,1.71,1.77,1.91
8,1267749,Croatia Prva HNL,2021/2022,2021-07-24 16:00:00,2,Gorica,Šibenik,3,1,4,"['26', '66', '69']",['87'],1.67,3.6,4.4,1.67,2.1,1.83,1.83
9,1267753,Croatia Prva HNL,2021/2022,2021-07-25 13:55:00,2,Rijeka,Istra 1961,2,0,2,"['78', '82']",[],1.38,4.25,6.5,1.74,1.91,1.91,1.77
10,1267750,Croatia Prva HNL,2021/2022,2021-07-25 16:00:00,2,Hajduk Split,Osijek,1,2,3,['63'],"['66', '87']",2.44,2.99,2.4,1.87,1.84,1.69,2.0
11,1267756,Croatia Prva HNL,2021/2022,2021-07-30 15:00:00,3,Lokomotiva Zagreb,Hrvatski Dragovoljac,3,2,5,"['39', '54', '80']","['14', '87']",1.33,4.95,6.5,1.57,2.15,1.87,1.8
12,1267754,Croatia Prva HNL,2021/2022,2021-07-31 15:00:00,3,Istra 1961,Gorica,1,2,3,['90+2'],"['19', '68']",3.35,3.0,2.1,1.87,1.77,1.69,2.0
13,1267803,Croatia Prva HNL,2021/2022,2021-08-01 13:55:00,3,Hajduk Split,Šibenik,1,0,1,['26'],[],1.26,4.9,9.25,1.83,1.8,2.5,1.44
14,1267755,Croatia Prva HNL,2021/2022,2021-08-01 16:00:00,3,Dinamo Zagreb,Rijeka,3,3,6,"['9', '32', '59']","['23', '38', '43']",1.43,3.9,6.25,1.83,1.8,1.95,1.71
15,1267757,Croatia Prva HNL,2021/2022,2021-08-01 16:00:00,3,Osijek,Slaven Koprivnica,0,0,0,[],[],1.49,4.31,6.23,1.9,1.8,2.05,1.67
16,1267760,Croatia Prva HNL,2021/2022,2021-08-07 13:55:00,4,Slaven Koprivnica,Šibenik,1,1,2,['87'],['33'],1.74,3.15,4.4,2.0,1.67,1.91,1.74
17,1267759,Croatia Prva HNL,2021/2022,2021-08-07 16:00:00,4,Gorica,Hajduk Split,1,3,4,['56'],"['31', '45+1', '87']",2.65,3.15,2.3,1.74,1.91,1.62,2.05
18,1267761,Croatia Prva HNL,2021/2022,2021-08-08 13:55:00,4,Hrvatski Dragovoljac,Osijek,1,2,3,['55'],"['13', '75']",12.0,5.75,1.2,1.57,2.15,2.2,1.56
19,1267764,Croatia Prva HNL,2021/2022,2021-08-13 15:00:00,5,Dinamo Zagreb,Gorica,1,0,1,['36'],[],1.32,4.65,7.25,1.57,2.15,1.87,1.77
20,1267765,Croatia Prva HNL,2021/2022,2021-08-14 13:55:00,5,Lokomotiva Zagreb,Istra 1961,4,0,4,"['20', '31', '45', '49']",[],2.0,3.1,3.35,1.95,1.71,1.83,1.8
21,1267768,Croatia Prva HNL,2021/2022,2021-08-14 16:00:00,5,Hajduk Split,Slaven Koprivnica,2,0,2,"['35', '48']",[],1.38,4.3,6.25,1.71,1.95,1.95,1.69
22,1267767,Croatia Prva HNL,2021/2022,2021-08-15 13:55:00,5,Šibenik,Hrvatski Dragovoljac,6,2,8,"['1', '52', '58', '61', '86', '90+2']","['34', '45+2']",1.61,3.55,4.65,1.83,1.8,1.87,1.77
23,1267766,Croatia Prva HNL,2021/2022,2021-08-15 16:00:00,5,Osijek,Rijeka,1,0,1,['17'],[],1.77,3.25,3.95,1.95,1.71,1.87,1.77
24,1267770,Croatia Prva HNL,2021/2022,2021-08-20 15:00:00,6,Hrvatski Dragovoljac,Hajduk Split,0,1,1,[],['90+5'],9.75,5.75,1.22,1.47,2.4,2.0,1.67
25,1267769,Croatia Prva HNL,2021/2022,2021-08-21 13:55:00,6,Gorica,Slaven Koprivnica,1,0,1,['66'],[],1.9,3.4,3.85,2.03,1.7,1.83,1.83
26,1267773,Croatia Prva HNL,2021/2022,2021-08-21 16:00:00,6,Dinamo Zagreb,Lokomotiva Zagreb,1,0,1,['77'],[],1.34,4.75,6.5,1.61,2.1,1.87,1.77
27,1267772,Croatia Prva HNL,2021/2022,2021-08-22 13:55:00,6,Istra 1961,Osijek,2,0,2,"['83', '90+4']",[],5.75,3.55,1.51,1.95,1.71,2.05,1.65
