Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Croatia Prva HNL,2021/2022,2021-07-16 13:55:00,1,Dinamo Zagreb,Slaven Koprivnica,0,2,2,[],"['50', '84']",1.25,5.25,8.75,1.59,2.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Croatia Prva HNL,2021/2022,2021-07-16 16:00:00,1,Osijek,Šibenik,3,0,3,"['62', '90', '90+5']",[],1.2,6.0,10.5,1.86,2.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Croatia Prva HNL,2021/2022,2021-07-17 13:55:00,1,Lokomotiva Zagreb,Hajduk Split,2,2,4,"['42', '47']","['29', '55']",4.45,3.85,1.61,1.71,1.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Croatia Prva HNL,2021/2022,2021-07-17 16:00:00,1,Rijeka,Gorica,2,0,2,"['20', '54']",[],1.8,3.4,4.1,1.78,1.74,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Croatia Prva HNL,2021/2022,2021-07-18 13:55:00,1,Istra 1961,Hrvatski Dragovoljac,3,1,4,"['10', '17', '45+3']",['90+3'],1.65,3.45,4.75,1.95,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Croatia Prva HNL,2021/2022,2021-07-23 15:00:00,2,Hrvatski Dragovoljac,Dinamo Zagreb,0,4,4,[],"['19', '35', '49', '53']",11.0,6.0,1.17,1.45,2.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,Croatia Prva HNL,2021/2022,2021-07-24 13:55:00,2,Slaven Koprivnica,Lokomotiva Zagreb,1,2,3,['66'],"['22', '89']",2.3,3.0,3.0,1.95,1.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Croatia Prva HNL,2021/2022,2021-07-24 16:00:00,2,Gorica,Šibenik,3,1,4,"['26', '66', '69']",['87'],1.67,3.6,4.4,1.67,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Croatia Prva HNL,2021/2022,2021-07-25 13:55:00,2,Rijeka,Istra 1961,2,0,2,"['78', '82']",[],1.38,4.25,6.5,1.74,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Croatia Prva HNL,2021/2022,2021-07-25 16:00:00,2,Hajduk Split,Osijek,1,2,3,['63'],"['66', '87']",2.44,2.99,2.4,1.87,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
