Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Croatia Second NL,2022/2023,2022-08-19 12:30:00,1,Međimurje Čakovec,Sesvete,2,2,4,"['-1', '-1']","['-1', '-1']",2.75,3.4,2.2,1.53,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2,Croatia Second NL,2022/2023,2022-08-19 12:30:00,1,Zrinski Jurjevac,Mladost Ždralovi,0,0,0,[],[],2.0,3.5,3.0,1.75,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,Osijek II,Grobničan Čavle,3,1,4,"['-1', '-1', '-1']",['-1'],2.45,3.75,2.25,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,Zagorec,Dugo Selo,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,NK Bjelovar,Trnje,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,NK Marsonia 1909,Opatija,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,Jadran LP,NK Belišće,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Croatia Second NL,2022/2023,2022-08-20 12:30:00,1,Hrvace,Jadran Poreč,4,3,7,"['-1', '-1', '-1', '-1']","['-1', '-1', '-1']",2.0,3.4,3.2,1.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Croatia Second NL,2022/2023,2022-08-26 12:00:00,2,Zrinski Jurjevac,Trnje,0,0,0,[],[],2.05,3.5,3.0,1.9,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Croatia Second NL,2022/2023,2022-08-26 12:00:00,2,Zagorec,Osijek II,3,1,4,"['-1', '-1', '-1']",['-1'],1.7,3.8,3.8,1.48,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,Croatia Second NL,2022/2023,2022-08-26 12:00:00,2,Sesvete,Jadran LP,0,1,1,[],['-1'],1.85,3.5,3.5,1.8,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Croatia Second NL,2022/2023,2022-08-27 12:00:00,2,Dugo Selo,Opatija,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Croatia Second NL,2022/2023,2022-08-27 12:00:00,2,NK Belišće,NK Marsonia 1909,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Croatia Second NL,2022/2023,2022-08-27 12:00:00,2,Mladost Ždralovi,Međimurje Čakovec,2,0,2,"['-1', '-1']",[],1.67,4.0,4.0,1.7,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Croatia Second NL,2022/2023,2022-08-27 12:00:00,2,Jadran Poreč,NK Bjelovar,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Croatia Second NL,2022/2023,2022-08-27 12:00:00,2,Grobničan Čavle,Hrvace,0,0,0,[],[],2.05,3.5,2.9,1.73,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,Jadran Poreč,Zrinski Jurjevac,1,2,3,['-1'],"['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,Međimurje Čakovec,Trnje,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,Opatija,NK Belišće,1,1,2,['-1'],['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,NK Marsonia 1909,Sesvete,0,2,2,[],"['-1', '-1']",2.2,3.4,2.75,1.9,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,Jadran LP,Mladost Ždralovi,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,NK Bjelovar,Grobničan Čavle,4,1,5,"['-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Croatia Second NL,2022/2023,2022-09-03 11:30:00,3,Hrvace,Zagorec,2,0,2,"['-1', '-1']",[],2.1,3.4,2.9,1.73,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
24,Croatia Second NL,2022/2023,2022-09-04 11:30:00,3,Osijek II,Dugo Selo,0,2,2,[],"['-1', '-1']",2.45,3.3,2.45,1.67,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Croatia Second NL,2022/2023,2022-09-09 11:30:00,4,Sesvete,Opatija,1,1,2,['-1'],['-1'],2.0,3.15,3.2,1.72,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Trnje,Jadran LP,0,0,0,[],[],0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Dugo Selo,NK Belišće,0,1,1,[],['-1'],0.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Jadran Poreč,Međimurje Čakovec,6,0,6,"['-1', '-1', '-1', '-1', '-1', '-1']",[],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
29,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Mladost Ždralovi,NK Marsonia 1909,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Zagorec,NK Bjelovar,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
31,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Osijek II,Hrvace,0,0,0,[],[],2.5,3.4,2.45,1.75,1.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Croatia Second NL,2022/2023,2022-09-10 11:30:00,4,Grobničan Čavle,Zrinski Jurjevac,0,3,3,[],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Croatia Second NL,2022/2023,2022-09-16 11:30:00,5,Opatija,Mladost Ždralovi,1,1,2,['-1'],['-1'],2.25,3.2,2.8,1.9,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,Croatia Second NL,2022/2023,2022-09-16 11:30:00,5,Međimurje Čakovec,Grobničan Čavle,0,2,2,[],"['-1', '-1']",2.0,3.5,3.0,1.73,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Croatia Second NL,2022/2023,2022-09-16 11:30:00,5,Zrinski Jurjevac,Zagorec,3,0,3,"['-1', '-1', '-1']",[],2.2,3.25,2.8,1.7,1.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,Croatia Second NL,2022/2023,2022-09-16 11:30:00,5,NK Bjelovar,Osijek II,3,1,4,"['-1', '-1', '-1']",['-1'],1.67,3.8,4.0,1.6,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,Croatia Second NL,2022/2023,2022-09-17 11:30:00,5,NK Marsonia 1909,Trnje,4,2,6,"['-1', '-1', '-1', '-1']","['-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
38,Croatia Second NL,2022/2023,2022-09-17 11:30:00,5,NK Belišće,Sesvete,0,1,1,[],['-1'],2.1,3.3,3.0,2.08,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Croatia Second NL,2022/2023,2022-09-17 11:30:00,5,Hrvace,Dugo Selo,0,3,3,[],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Croatia Second NL,2022/2023,2022-09-18 11:30:00,5,Jadran LP,Jadran Poreč,3,1,4,"['-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
