Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2794147,Cyprus First Division,2022/2023,2022-08-26 13:00:00,1,Karmiotissa,Nea Salamis,1,2,3,['56'],"['29', '81']",2.08,3.4,2.91,1.84,1.98,1.71,2.0
2,2794145,Cyprus First Division,2022/2023,2022-08-27 13:00:00,1,Olympiakos,Anorthosis,1,2,3,['45+1'],"['57', '73']",5.0,3.3,1.7,2.1,1.7,1.99,1.78
3,2794144,Cyprus First Division,2022/2023,2022-08-28 13:00:00,1,Aris,AEL,2,1,3,"['50', '87']",['1'],2.4,3.2,2.8,2.1,1.7,1.88,1.92
4,2794146,Cyprus First Division,2022/2023,2022-08-28 14:00:00,1,APOEL,Paphos,1,1,2,['80'],['35'],1.73,3.3,4.75,2.2,1.65,2.1,1.74
5,2794148,Cyprus First Division,2022/2023,2022-08-29 13:00:00,1,Akritas,Omonia Nicosia,1,0,1,['6'],[],5.5,3.5,1.57,2.05,1.75,2.05,1.7
6,2794149,Cyprus First Division,2022/2023,2022-08-29 14:00:00,1,AEK Larnaca,Doxa,0,0,0,[],[],1.4,4.33,6.5,1.73,2.08,1.87,1.89
7,2794150,Cyprus First Division,2022/2023,2022-08-30 13:00:00,1,Apollon,Enosis,1,0,1,['24'],[],1.25,5.75,8.5,1.62,2.25,2.1,1.65
8,2794151,Cyprus First Division,2022/2023,2022-09-02 13:00:00,2,Aris,Olympiakos,5,0,5,"['23', '30', '47', '51', '89']",[],1.8,3.2,4.0,2.25,1.62,2.04,1.78
9,2794155,Cyprus First Division,2022/2023,2022-09-02 14:00:00,2,Paphos,Karmiotissa,4,0,4,"['12', '45+6', '55', '90+3']",[],1.4,3.8,6.25,1.87,1.78,2.0,1.66
10,2794152,Cyprus First Division,2022/2023,2022-09-03 13:00:00,2,Doxa,Apollon,0,1,1,[],['74'],5.0,3.75,1.53,1.9,1.9,1.87,1.93
11,2794153,Cyprus First Division,2022/2023,2022-09-03 14:00:00,2,Omonia Nicosia,AEK Larnaca,3,2,5,"['34', '49', '85']","['56', '64']",2.12,3.07,3.1,1.94,1.77,1.85,1.95
12,2794157,Cyprus First Division,2022/2023,2022-09-04 13:00:00,2,AEL,Enosis,0,1,1,[],['73'],1.44,3.9,6.0,1.73,2.0,1.83,1.8
13,2794156,Cyprus First Division,2022/2023,2022-09-04 14:00:00,2,Anorthosis,APOEL,0,2,2,[],"['33', '90+6']",2.5,2.9,2.65,2.15,1.61,1.88,1.92
14,2794154,Cyprus First Division,2022/2023,2022-09-05 13:00:00,2,Nea Salamis,Akritas,2,1,3,"['26', '89']",['85'],1.8,3.3,4.0,2.1,1.7,1.88,1.77
15,2794164,Cyprus First Division,2022/2023,2022-09-09 13:00:00,3,Enosis,Doxa,1,2,3,['39'],"['49', '76']",2.7,2.9,2.6,2.4,1.53,1.95,1.81
16,2794160,Cyprus First Division,2022/2023,2022-09-09 14:00:00,3,Karmiotissa,Anorthosis,0,2,2,[],"['13', '60']",6.5,4.0,1.45,1.8,2.0,1.98,1.79
17,2794161,Cyprus First Division,2022/2023,2022-09-10 13:00:00,3,Akritas,Paphos,0,4,4,[],"['31', '64', '87', '90+3']",7.5,3.75,1.4,2.08,1.73,2.23,1.62
18,2794159,Cyprus First Division,2022/2023,2022-09-10 14:00:00,3,APOEL,Aris,0,1,1,[],['18'],1.83,3.25,4.0,2.15,1.67,1.99,1.81
19,2794163,Cyprus First Division,2022/2023,2022-09-11 13:00:00,3,Apollon,Omonia Nicosia,2,1,3,"['63', '83']",['14'],2.15,3.1,3.2,2.2,1.65,1.93,1.78
20,2794162,Cyprus First Division,2022/2023,2022-09-11 14:00:00,3,AEK Larnaca,Nea Salamis,1,0,1,['45+1'],[],1.55,4.0,4.75,1.9,1.9,1.9,1.86
21,2794158,Cyprus First Division,2022/2023,2022-09-12 13:00:00,3,Olympiakos,AEL,0,0,0,[],[],3.3,3.1,2.1,2.15,1.67,1.9,1.83
22,2794165,Cyprus First Division,2022/2023,2022-09-15 13:00:00,4,Aris,Karmiotissa,1,2,3,['90+5'],"['6', '77']",1.36,4.75,8.5,1.62,2.25,2.05,1.7
23,2794171,Cyprus First Division,2022/2023,2022-09-16 13:00:00,4,AEL,Doxa,1,2,3,['62'],"['9', '77']",1.75,3.3,4.2,2.2,1.65,2.08,1.75
24,2794170,Cyprus First Division,2022/2023,2022-09-16 14:00:00,4,Anorthosis,Akritas,1,1,2,['51'],['48'],1.29,5.0,7.0,1.62,2.25,2.0,1.71
25,2794166,Cyprus First Division,2022/2023,2022-09-17 13:00:00,4,Olympiakos,APOEL,0,2,2,[],"['10', '28']",6.5,3.75,1.44,2.1,1.7,2.3,1.55
26,2794169,Cyprus First Division,2022/2023,2022-09-18 13:00:00,4,Paphos,AEK Larnaca,1,0,1,['76'],[],2.2,3.1,3.0,2.25,1.62,1.93,1.77
27,2794168,Cyprus First Division,2022/2023,2022-09-18 13:00:00,4,Nea Salamis,Apollon,1,1,2,['22'],['41'],3.6,3.3,1.85,2.08,1.73,1.88,1.82
