Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1398218,Cyprus Second Division,2021/2022,2021-09-10 13:00:00,1,Omonia Aradippou,Othellos,0,1,1,[],['6'],2.6,3.0,2.5,1.8,2.0,1.67,2.15
2,1398223,Cyprus Second Division,2021/2022,2021-09-10 13:00:00,1,Enosis,Ermis,0,0,0,[],[],1.45,3.48,5.78,0.0,0.0,0.0,0.0
3,1398217,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Xylotympou,Akritas,2,1,3,"['45', '90+1']",['21'],2.05,3.4,3.0,1.73,2.08,1.62,2.24
4,1398219,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Alki Oroklini,Olympiada Lympion,2,3,5,"['22', '81']","['39', '44', '56']",1.43,4.3,6.0,1.6,2.3,0.0,0.0
5,1398221,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Omonia 29is Maiou,Ayia Napa,2,1,3,"['5', '65']",['45+1'],1.91,3.5,3.3,1.65,2.2,0.0,0.0
6,1398222,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Anagennisi Deryneia,Nea Salamis,0,3,3,[],"['6', '15', '53']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1398224,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Onisilos,ASIL Lysi,2,1,3,"['13', '73']",['45+3'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1398220,Cyprus Second Division,2021/2022,2021-09-12 13:00:00,1,Ahironas,Karmiotissa,1,3,4,['-1'],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,1398227,Cyprus Second Division,2021/2022,2021-09-17 13:00:00,2,Akritas,ASIL Lysi,0,1,1,[],['27'],2.15,2.9,2.8,2.08,1.73,1.85,1.85
10,1398230,Cyprus Second Division,2021/2022,2021-09-17 13:00:00,2,Nea Salamis,Enosis,0,1,1,[],['86'],1.83,3.05,3.35,1.9,1.9,1.8,1.91
11,1398225,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Ayia Napa,Anagennisi Deryneia,1,1,2,['74'],['90+4'],1.57,3.14,2.3,2.1,1.68,1.8,1.91
12,1398229,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Xylotympou,Omonia Aradippou,0,1,1,[],['61'],1.71,3.3,2.05,1.95,1.85,1.73,2.02
13,1398231,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Othellos,Alki Oroklini,1,1,2,['56'],['14'],2.15,3.1,1.64,1.95,1.85,1.8,1.91
14,1398228,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Ermis,Onisilos,1,1,2,['66'],['89'],1.26,3.75,3.55,1.48,2.6,1.71,2.05
15,1398232,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Olympiada Lympion,Ahironas,0,1,1,[],['76'],1.91,3.5,3.5,1.57,2.35,0.0,0.0
16,1398226,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Karmiotissa,Omonia 29is Maiou,0,1,1,[],['88'],1.83,3.76,3.91,1.52,2.31,1.57,2.3
17,1398236,Cyprus Second Division,2021/2022,2021-09-24 13:00:00,3,Anagennisi Deryneia,Karmiotissa,0,2,2,[],"['3', '39']",4.2,3.4,1.75,1.6,2.3,1.62,2.17
18,1398238,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Alki Oroklini,Xylotympou,1,0,1,['60'],[],1.42,4.33,2.7,1.75,2.05,1.68,2.06
19,1398235,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Enosis,Ayia Napa,3,0,3,"['59', '62', '67']",[],1.21,3.75,4.1,1.8,2.0,1.83,1.87
20,1398233,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Onisilos,Nea Salamis,1,1,2,['23'],['29'],3.15,3.8,1.32,1.8,2.0,1.73,2.0
21,1398234,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,ASIL Lysi,Ermis,0,1,1,[],['90+2'],2.6,3.25,1.45,1.65,2.2,1.59,2.2
22,1398237,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Omonia Aradippou,Akritas,1,3,4,['17'],"['54', '63', '90+5']",1.3,3.3,3.3,1.8,2.0,1.69,2.04
23,1398239,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Ahironas,Othellos,3,0,3,"['25', '67', '85']",[],2.4,3.2,1.52,2.05,1.75,1.81,1.9
24,1398240,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Omonia 29is Maiou,Olympiada Lympion,0,1,1,[],['65'],1.57,3.5,5.0,1.95,1.85,2.0,1.77
25,1398244,Cyprus Second Division,2021/2022,2021-10-01 11:00:00,4,Othellos,Omonia 29is Maiou,0,4,4,[],"['27', '40', '70', '88']",2.26,3.25,2.71,2.03,1.79,1.62,2.16
26,1398245,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Karmiotissa,Enosis,1,3,4,['45'],"['28', '32', '90+4']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,1398247,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Ayia Napa,Onisilos,0,1,1,[],['-1'],2.01,3.3,2.85,1.75,1.95,1.74,2.0
28,1398246,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Nea Salamis,ASIL Lysi,2,1,3,"['12', '34']",['32'],0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1398242,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Omonia Aradippou,Alki Oroklini,0,1,1,[],['60'],3.02,3.06,2.03,1.78,1.73,1.71,2.05
30,1398243,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Xylotympou,Ahironas,2,1,3,"['64', '89']",['60'],1.64,3.3,4.2,1.96,1.76,1.9,1.83
31,1398241,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Akritas,Ermis,2,1,3,"['19', '82']",['43'],3.72,3.6,1.84,1.95,1.8,1.64,2.15
32,1398248,Cyprus Second Division,2021/2022,2021-10-03 10:00:00,4,Olympiada Lympion,Anagennisi Deryneia,0,0,0,[],[],3.07,2.88,2.01,1.7,1.91,1.78,1.93
33,1398249,Cyprus Second Division,2021/2022,2021-10-15 13:00:00,5,Ermis,Nea Salamis,3,2,5,"['30', '47', '80']","['7', '90+5']",1.95,3.0,1.76,1.85,1.95,1.62,2.2
34,1398253,Cyprus Second Division,2021/2022,2021-10-15 13:00:00,5,Onisilos,Karmiotissa,1,3,4,['54'],"['33', '35', '89']",1.8,3.2,1.9,1.67,2.15,1.6,2.25
35,1398250,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Enosis,Olympiada Lympion,0,1,1,[],['3'],1.37,4.2,6.17,1.62,2.03,1.9,1.8
36,1398251,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Anagennisi Deryneia,Othellos,3,0,3,"['1', '50', '88']",[],2.2,3.0,2.92,1.93,1.69,1.8,1.9
37,1398252,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Alki Oroklini,Akritas,1,2,3,['60'],"['50', '64']",1.55,3.7,4.66,1.7,2.1,1.75,1.95
38,1398256,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Omonia 29is Maiou,Xylotympou,0,0,0,[],[],1.77,3.1,3.75,1.83,1.81,1.8,1.96
39,1398254,Cyprus Second Division,2021/2022,2021-10-17 09:30:00,5,ASIL Lysi,Ayia Napa,1,3,4,['60'],"['16', '20', '39']",2.5,3.2,2.5,2.05,1.75,1.8,1.96
40,1398255,Cyprus Second Division,2021/2022,2021-10-17 09:30:00,5,Ahironas,Omonia Aradippou,1,1,2,['16'],['41'],2.25,3.0,3.0,1.92,1.82,1.73,2.05
41,1398257,Cyprus Second Division,2021/2022,2021-10-22 13:00:00,6,Ayia Napa,Ermis,2,2,4,"['46', '90+5']","['21', '77']",2.4,3.4,1.51,1.95,1.85,1.8,1.96
42,1398262,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Karmiotissa,ASIL Lysi,1,0,1,['26'],[],1.53,3.75,5.0,1.65,1.98,1.8,1.88
43,1398258,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Akritas,Nea Salamis,0,0,0,[],[],3.0,3.2,2.1,1.75,1.95,1.72,1.98
44,1398259,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Alki Oroklini,Ahironas,2,1,3,"['10', '50']",['30'],1.55,3.48,4.53,1.8,1.84,1.91,1.85
45,1398261,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Xylotympou,Anagennisi Deryneia,0,1,1,[],['3'],2.25,3.0,2.9,2.15,1.61,1.87,1.82
46,1398263,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Othellos,Enosis,1,4,5,['63'],"['38', '52', '59', '84']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1398264,Cyprus Second Division,2021/2022,2021-10-24 09:30:00,6,Olympiada Lympion,Onisilos,0,0,0,[],[],2.25,3.0,3.0,1.8,1.8,1.85,1.91
48,1398260,Cyprus Second Division,2021/2022,2021-10-24 09:30:00,6,Omonia Aradippou,Omonia 29is Maiou,1,1,2,['64'],['87'],2.4,4.33,2.15,2.15,1.55,1.96,1.8
49,1398268,Cyprus Second Division,2021/2022,2021-10-29 13:00:00,7,Enosis,Xylotympou,1,0,1,['40'],[],1.21,4.2,4.05,1.9,1.9,2.0,1.7
50,1398266,Cyprus Second Division,2021/2022,2021-10-30 08:30:00,7,ASIL Lysi,Olympiada Lympion,2,3,5,"['31', '84']","['43', '90+1', '90+5']",2.48,2.92,2.48,1.9,1.75,1.91,1.85
51,1398267,Cyprus Second Division,2021/2022,2021-10-30 08:30:00,7,Onisilos,Othellos,4,0,4,"['31', '85', '9001', '9004']",[],1.99,3.3,2.91,1.87,1.91,1.68,2.05
52,1398269,Cyprus Second Division,2021/2022,2021-10-30 08:30:00,7,Anagennisi Deryneia,Omonia Aradippou,0,1,1,[],['65'],2.36,3.11,2.46,1.93,1.72,1.74,1.95
53,1398270,Cyprus Second Division,2021/2022,2021-10-30 09:30:00,7,Nea Salamis,Ayia Napa,4,1,5,"['1', '19', '31', '90+1']",['3'],1.53,3.78,4.46,1.92,1.86,2.0,1.71
54,1398265,Cyprus Second Division,2021/2022,2021-10-31 09:30:00,7,Ermis,Karmiotissa,1,0,1,['42'],[],2.28,3.1,2.6,1.9,1.84,1.71,2.0
55,1398271,Cyprus Second Division,2021/2022,2021-10-31 09:30:00,7,Omonia 29is Maiou,Alki Oroklini,0,2,2,[],"['34', '66']",2.8,3.05,2.17,1.94,1.77,1.8,1.88
56,1398272,Cyprus Second Division,2021/2022,2021-10-31 09:30:00,7,Ahironas,Akritas,0,1,1,[],['74'],2.4,3.0,2.5,1.91,1.8,1.66,2.05
57,1398280,Cyprus Second Division,2021/2022,2021-11-05 12:00:00,8,Olympiada Lympion,Ermis,0,1,1,[],['44'],3.6,3.25,1.85,1.98,1.65,2.16,1.66
58,1398278,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Othellos,ASIL Lysi,1,0,1,['66'],[],1.69,3.4,4.6,1.91,1.8,1.75,1.95
59,1398276,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Karmiotissa,Nea Salamis,2,1,3,"['40', '49']",['90+3'],3.36,3.24,2.02,1.96,1.75,1.82,1.87
60,1398277,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Akritas,Ayia Napa,1,2,3,['-1'],"['-1', '-1']",2.0,3.25,3.3,1.88,1.93,1.73,1.98
61,1398275,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Omonia Aradippou,Enosis,0,2,2,[],"['-1', '-1']",3.3,3.25,2.0,2.03,1.78,2.0,1.7
62,1398274,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Xylotympou,Onisilos,3,0,3,"['18', '31', '74']",[],2.86,3.2,2.27,1.91,1.8,1.68,2.05
63,1398273,Cyprus Second Division,2021/2022,2021-11-06 09:30:00,8,Alki Oroklini,Anagennisi Deryneia,2,1,3,"['16', '42']",['71'],1.93,3.4,3.46,1.96,1.75,1.87,1.82
64,1398279,Cyprus Second Division,2021/2022,2021-11-07 09:30:00,8,Ahironas,Omonia 29is Maiou,2,0,2,"['63', '72']",[],2.65,3.05,2.23,2.2,1.65,1.71,2.0
65,1398287,Cyprus Second Division,2021/2022,2021-11-19 14:00:00,9,Nea Salamis,Olympiada Lympion,3,0,3,"['6', '42', '43']",[],1.13,4.0,5.0,1.95,1.85,2.3,1.59
66,1398281,Cyprus Second Division,2021/2022,2021-11-20 09:30:00,9,Ayia Napa,Karmiotissa,0,1,1,[],['71'],3.11,3.3,1.91,1.95,1.83,1.8,1.9
67,1398282,Cyprus Second Division,2021/2022,2021-11-20 09:30:00,9,Ermis,Othellos,2,0,2,"['40', '51']",[],1.62,3.6,5.1,1.9,1.85,2.0,1.71
68,1398283,Cyprus Second Division,2021/2022,2021-11-20 09:30:00,9,ASIL Lysi,Xylotympou,1,1,2,['77'],['38'],2.25,3.2,2.76,2.06,1.6,1.8,1.9
69,1398284,Cyprus Second Division,2021/2022,2021-11-20 09:30:00,9,Onisilos,Omonia Aradippou,6,0,6,"['3', '18', '21', '24', '46', '87']",[],1.83,3.2,3.8,1.83,1.87,1.8,1.9
70,1398285,Cyprus Second Division,2021/2022,2021-11-20 09:30:00,9,Enosis,Alki Oroklini,0,0,0,[],[],2.13,3.16,2.74,1.92,1.86,1.68,2.05
71,1398286,Cyprus Second Division,2021/2022,2021-11-21 09:30:00,9,Anagennisi Deryneia,Ahironas,0,1,1,[],['90+3'],2.25,3.0,3.0,2.1,1.67,1.8,1.9
72,1398288,Cyprus Second Division,2021/2022,2021-11-21 09:30:00,9,Omonia 29is Maiou,Akritas,0,2,2,[],"['18', '90+1']",2.22,2.92,2.72,2.05,1.7,1.8,1.88
73,1398293,Cyprus Second Division,2021/2022,2021-11-26 14:00:00,10,Akritas,Karmiotissa,1,2,3,['69'],"['13', '55']",2.75,3.5,1.39,1.95,1.85,1.76,1.9
74,1398291,Cyprus Second Division,2021/2022,2021-11-27 09:30:00,10,Xylotympou,Ermis,2,3,5,"['31', '72']","['12', '40', '57']",3.46,3.0,1.97,2.03,1.62,1.8,1.9
75,1398292,Cyprus Second Division,2021/2022,2021-11-27 09:30:00,10,Othellos,Nea Salamis,1,4,5,['61'],"['8', '42', '57', '71']",5.03,3.64,1.48,1.95,1.83,1.9,1.8
76,1398289,Cyprus Second Division,2021/2022,2021-11-27 09:30:00,10,Alki Oroklini,Onisilos,3,0,3,"['15', '27', '88']",[],1.9,3.4,3.23,1.77,1.83,1.74,2.0
77,1398290,Cyprus Second Division,2021/2022,2021-11-27 09:30:00,10,Omonia Aradippou,ASIL Lysi,0,1,1,[],['63'],2.35,3.2,2.62,2.03,1.62,1.74,1.95
