Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Cyprus Second Division,2021/2022,2021-09-10 13:00:00,1,Omonia Aradippou,Othellos,0,1,1,[],['6'],2.6,3.0,2.5,1.8,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cyprus Second Division,2021/2022,2021-09-10 13:00:00,1,Enosis,Ermis,0,0,0,[],[],1.45,3.48,5.78,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Xylotympou,Akritas,2,1,3,"['45', '90+1']",['21'],2.05,3.4,3.0,1.73,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Alki Oroklini,Olympiada Lympion,2,3,5,"['22', '81']","['39', '44', '56']",1.43,4.3,6.0,1.6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Omonia 29is Maiou,Ayia Napa,2,1,3,"['5', '65']",['45+1'],1.91,3.5,3.3,1.65,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Anagennisi Deryneia,Nea Salamis,0,3,3,[],"['6', '15', '53']",0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Cyprus Second Division,2021/2022,2021-09-11 13:00:00,1,Onisilos,ASIL Lysi,2,1,3,"['13', '73']",['45+3'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Cyprus Second Division,2021/2022,2021-09-12 13:00:00,1,Ahironas,Karmiotissa,1,3,4,['-1'],"['-1', '-1', '-1']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Cyprus Second Division,2021/2022,2021-09-17 13:00:00,2,Akritas,ASIL Lysi,0,1,1,[],['27'],2.15,2.9,2.8,2.08,1.85,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Cyprus Second Division,2021/2022,2021-09-17 13:00:00,2,Nea Salamis,Enosis,0,1,1,[],['86'],1.83,3.05,3.35,1.9,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Ayia Napa,Anagennisi Deryneia,1,1,2,['74'],['90+4'],1.57,3.14,2.3,2.1,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Xylotympou,Omonia Aradippou,0,1,1,[],['61'],1.71,3.3,2.05,1.95,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Cyprus Second Division,2021/2022,2021-09-18 13:00:00,2,Othellos,Alki Oroklini,1,1,2,['56'],['14'],2.15,3.1,1.64,1.95,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Ermis,Onisilos,1,1,2,['66'],['89'],1.26,3.75,3.55,1.48,1.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Olympiada Lympion,Ahironas,0,1,1,[],['76'],1.91,3.5,3.5,1.57,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Cyprus Second Division,2021/2022,2021-09-19 13:00:00,2,Karmiotissa,Omonia 29is Maiou,0,1,1,[],['88'],1.83,3.76,3.91,1.52,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Cyprus Second Division,2021/2022,2021-09-24 13:00:00,3,Anagennisi Deryneia,Karmiotissa,0,2,2,[],"['3', '39']",4.2,3.4,1.75,1.6,1.62,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Alki Oroklini,Xylotympou,1,0,1,['60'],[],1.42,4.33,2.7,1.75,1.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Enosis,Ayia Napa,3,0,3,"['59', '62', '67']",[],1.21,3.75,4.1,1.8,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
20,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,Onisilos,Nea Salamis,1,1,2,['23'],['29'],3.15,3.8,1.32,1.8,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Cyprus Second Division,2021/2022,2021-09-25 13:00:00,3,ASIL Lysi,Ermis,0,1,1,[],['90+2'],2.6,3.25,1.45,1.65,1.59,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Omonia Aradippou,Akritas,1,3,4,['17'],"['54', '63', '90+5']",1.3,3.3,3.3,1.8,1.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
23,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Ahironas,Othellos,3,0,3,"['25', '67', '85']",[],2.4,3.2,1.52,2.05,1.81,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Cyprus Second Division,2021/2022,2021-09-26 13:00:00,3,Omonia 29is Maiou,Olympiada Lympion,0,1,1,[],['65'],1.57,3.5,5.0,1.95,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Cyprus Second Division,2021/2022,2021-10-01 11:00:00,4,Othellos,Omonia 29is Maiou,0,4,4,[],"['27', '40', '70', '88']",2.26,3.25,2.71,2.03,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Karmiotissa,Enosis,1,3,4,['45'],"['28', '32', '90+4']",0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Ayia Napa,Onisilos,0,1,1,[],['-1'],2.01,3.3,2.85,1.75,1.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Nea Salamis,ASIL Lysi,2,1,3,"['12', '34']",['32'],0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
29,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Omonia Aradippou,Alki Oroklini,0,1,1,[],['60'],3.02,3.06,2.03,1.78,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Xylotympou,Ahironas,2,1,3,"['64', '89']",['60'],1.64,3.3,4.2,1.96,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Cyprus Second Division,2021/2022,2021-10-02 10:00:00,4,Akritas,Ermis,2,1,3,"['19', '82']",['43'],3.72,3.6,1.84,1.95,1.64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Cyprus Second Division,2021/2022,2021-10-03 10:00:00,4,Olympiada Lympion,Anagennisi Deryneia,0,0,0,[],[],3.07,2.88,2.01,1.7,1.78,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Cyprus Second Division,2021/2022,2021-10-15 13:00:00,5,Ermis,Nea Salamis,3,2,5,"['30', '47', '80']","['7', '90+5']",1.95,3.0,1.76,1.85,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
34,Cyprus Second Division,2021/2022,2021-10-15 13:00:00,5,Onisilos,Karmiotissa,1,3,4,['54'],"['33', '35', '89']",1.8,3.2,1.9,1.67,1.6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Enosis,Olympiada Lympion,0,1,1,[],['3'],1.37,4.2,6.17,1.62,1.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Anagennisi Deryneia,Othellos,3,0,3,"['1', '50', '88']",[],2.2,3.0,2.92,1.93,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
37,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Alki Oroklini,Akritas,1,2,3,['60'],"['50', '64']",1.55,3.7,4.66,1.7,1.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,Cyprus Second Division,2021/2022,2021-10-16 09:30:00,5,Omonia 29is Maiou,Xylotympou,0,0,0,[],[],1.77,3.1,3.75,1.83,1.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Cyprus Second Division,2021/2022,2021-10-17 09:30:00,5,ASIL Lysi,Ayia Napa,1,3,4,['60'],"['16', '20', '39']",2.5,3.2,2.5,2.05,1.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,Cyprus Second Division,2021/2022,2021-10-17 09:30:00,5,Ahironas,Omonia Aradippou,1,1,2,['16'],['41'],2.25,3.0,3.0,1.92,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Cyprus Second Division,2021/2022,2021-10-22 13:00:00,6,Ayia Napa,Ermis,2,2,4,"['46', '90+5']","['21', '77']",2.4,3.4,1.51,1.95,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
42,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Karmiotissa,ASIL Lysi,1,0,1,['26'],[],1.53,3.75,5.0,1.65,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
43,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Akritas,Nea Salamis,0,0,0,[],[],3.0,3.2,2.1,1.75,1.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Alki Oroklini,Ahironas,2,1,3,"['10', '50']",['30'],1.55,3.48,4.53,1.8,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
45,Cyprus Second Division,2021/2022,2021-10-23 09:30:00,6,Xylotympou,Anagennisi Deryneia,0,1,1,[],['3'],2.25,3.0,2.9,2.15,1.87,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
