Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2567645,Czech Republic FNL,2022/2023,2022-07-29 12:00:00,1,Dukla Praha,Líšeň,0,1,1,[],['90'],1.67,3.5,4.33,1.7,2.1,1.67,2.1
2,2567638,Czech Republic FNL,2022/2023,2022-07-30 05:15:00,1,Vyškov,Chrudim,3,0,3,"['11', '17', '56']",[],2.38,3.25,2.62,1.78,1.97,1.73,2.0
3,2567644,Czech Republic FNL,2022/2023,2022-07-30 05:15:00,1,Třinec,Karviná,0,3,3,[],"['22', '71', '90+2']",3.4,3.25,1.95,1.8,1.91,1.67,2.1
4,2567640,Czech Republic FNL,2022/2023,2022-07-30 12:00:00,1,Příbram,Táborsko,1,1,2,['44'],['42'],2.45,3.1,2.63,1.85,1.95,1.67,2.1
5,2567642,Czech Republic FNL,2022/2023,2022-07-30 12:00:00,1,Vlašim,Vysočina Jihlava,0,2,2,[],"['19', '41']",1.67,3.4,4.5,1.85,1.95,1.8,1.91
6,2567639,Czech Republic FNL,2022/2023,2022-07-31 05:15:00,1,Sigma Olomouc II,Sparta Praha II,1,0,1,['45'],[],2.53,3.64,2.53,1.61,2.2,1.53,2.38
7,2567641,Czech Republic FNL,2022/2023,2022-07-31 05:15:00,1,Slavia Praha U21,Prostějov,0,1,1,[],['45+2'],1.97,3.65,3.53,1.68,2.06,1.73,2.0
8,2567643,Czech Republic FNL,2022/2023,2022-07-31 12:00:00,1,Varnsdorf,Opava,3,1,4,"['13', '27', '88']",['21'],2.25,3.25,2.8,1.8,2.0,1.67,2.1
9,2567650,Czech Republic FNL,2022/2023,2022-08-05 12:00:00,2,Karviná,Vlašim,3,2,5,"['6', '73', '81']","['34', '38']",1.73,3.5,4.33,1.8,2.0,1.73,2.0
10,2567647,Czech Republic FNL,2022/2023,2022-08-05 13:00:00,2,Vysočina Jihlava,Sigma Olomouc II,1,1,2,['3'],['45'],1.8,3.4,4.0,1.75,2.05,1.67,2.1
11,2567652,Czech Republic FNL,2022/2023,2022-08-05 13:00:00,2,Opava,Dukla Praha,3,0,3,"['5', '12', '82']",[],2.45,3.1,2.75,2.08,1.73,1.8,1.91
12,2567646,Czech Republic FNL,2022/2023,2022-08-06 05:15:00,2,Chrudim,Příbram,3,0,3,"['2', '15', '22']",[],2.24,3.13,2.9,1.97,1.78,1.67,2.1
13,2567648,Czech Republic FNL,2022/2023,2022-08-06 12:00:00,2,Táborsko,Slavia Praha U21,1,1,2,['49'],['54'],1.8,3.4,4.2,2.0,1.8,1.83,1.83
