Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2595137,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zlín,Mladá Boleslav,0,0,0,[],[],2.81,3.28,2.5,1.96,1.83,1.75,2.0
2,2595138,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zbrojovka Brno,Slovácko,2,2,4,"['21', '32']","['30', '71']",3.51,3.38,2.08,1.94,1.84,1.8,1.95
3,2595140,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Baník Ostrava,Sigma Olomouc,0,3,3,[],"['37', '51', '79']",1.87,3.56,4.02,1.88,1.91,1.8,1.95
4,2595133,Czech Republic First League,2022/2023,2022-07-30 14:00:00,1,Teplice,Viktoria Plzeň,2,2,4,"['23', '47']","['58', '71']",6.2,4.42,1.47,1.67,2.1,1.91,1.91
5,2595134,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Pardubice,České Budějovice,0,2,2,[],"['8', '67']",2.43,3.25,2.76,1.89,1.75,1.75,2.0
6,2595135,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Hradec Králové,Slavia Praha,1,0,1,['54'],[],7.2,4.7,1.37,1.64,2.05,2.05,1.7
7,2595139,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Jablonec,Bohemians 1905,0,3,3,[],"['37', '70', '87']",1.89,3.68,4.0,1.93,1.83,1.8,1.95
8,2595136,Czech Republic First League,2022/2023,2022-07-31 14:00:00,1,Sparta Praha,Slovan Liberec,1,2,3,['75'],"['2', '19']",1.35,4.9,7.5,1.65,2.18,1.95,1.8
9,2595144,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Viktoria Plzeň,Pardubice,2,1,3,"['21', '75']",['55'],1.23,5.6,10.25,1.55,2.3,2.0,1.72
10,2595143,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Slovan Liberec,Teplice,5,1,6,"['9', '21', '45+1', '53', '70']",['43'],1.66,3.62,4.73,1.98,1.74,1.95,1.8
11,2595145,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Sigma Olomouc,Zbrojovka Brno,0,2,2,[],"['20', '70']",1.74,3.55,4.28,1.88,1.82,1.8,1.95
12,2595148,Czech Republic First League,2022/2023,2022-08-06 14:00:00,2,Bohemians 1905,Baník Ostrava,3,3,6,"['6', '18', '22']","['5', '49', '79']",2.68,3.22,2.32,1.85,1.94,1.75,2.0
13,2595141,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,České Budějovice,Sparta Praha,0,2,2,[],"['2', '28']",4.0,3.75,1.83,1.73,2.1,1.75,2.0
