Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Czech Republic FNL,2021/2022,2021-07-23 13:00:00,1,Vysočina Jihlava,Varnsdorf,2,1,3,"['42', '54']",['90'],1.8,3.6,3.6,1.8,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Czech Republic FNL,2021/2022,2021-07-23 13:00:00,1,Táborsko,Zbrojovka Brno,0,1,1,[],['82'],3.6,3.5,1.8,1.69,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Czech Republic FNL,2021/2022,2021-07-24 05:15:00,1,Třinec,Ústí nad Labem,2,3,5,"['60', '64']","['3', '54', '84']",1.88,3.47,4.28,1.85,1.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,Czech Republic FNL,2021/2022,2021-07-24 05:15:00,1,Chrudim,Sparta Praha II,0,1,1,[],['55'],2.35,3.29,3.02,1.83,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Czech Republic FNL,2021/2022,2021-07-24 12:00:00,1,Dukla Praha,Vyškov,2,1,3,"['39', '45+1']",['78'],1.35,4.7,7.33,1.5,1.87,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6,Czech Republic FNL,2021/2022,2021-07-24 12:00:00,1,Opava,Vlašim,3,3,6,"['12', '54', '78']","['30', '41', '90+5']",2.0,3.25,3.25,1.75,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,Czech Republic FNL,2021/2022,2021-07-24 12:00:00,1,Líšeň,Viktoria Žižkov,3,2,5,"['56', '63', '86']","['1', '20']",2.12,3.22,3.05,1.87,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Czech Republic FNL,2021/2022,2021-07-24 12:00:00,1,Prostějov,Příbram,1,3,4,['48'],"['6', '45', '70']",2.8,3.25,2.2,1.75,1.69,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Czech Republic FNL,2021/2022,2021-07-30 13:00:00,2,Ústí nad Labem,Vysočina Jihlava,1,2,3,['90+2'],"['13', '89']",2.2,3.05,3.0,1.77,1.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,Czech Republic FNL,2021/2022,2021-07-31 05:15:00,2,Třinec,Dukla Praha,1,3,4,['31'],"['9', '81', '90+2']",2.8,3.05,2.4,1.85,1.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Czech Republic FNL,2021/2022,2021-07-31 05:15:00,2,Vyškov,Líšeň,1,1,2,['90+1'],['32'],3.8,3.25,1.9,2.0,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Czech Republic FNL,2021/2022,2021-07-31 12:00:00,2,Příbram,Táborsko,0,2,2,[],"['14', '45+2']",1.44,3.55,5.45,2.2,1.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Czech Republic FNL,2021/2022,2021-08-01 05:30:00,2,Sparta Praha II,Prostějov,4,0,4,"['24', '45+1', '55', '85']",[],1.8,3.51,3.63,1.75,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Czech Republic FNL,2021/2022,2021-08-01 12:00:00,2,Varnsdorf,Viktoria Žižkov,2,1,3,"['43', '90+5']",['11'],3.25,3.0,2.1,1.73,1.59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Czech Republic FNL,2021/2022,2021-08-01 12:00:00,2,Vlašim,Chrudim,4,1,5,"['19', '49', '68', '85']",['28'],1.85,3.25,3.75,1.8,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Czech Republic FNL,2021/2022,2021-08-01 15:00:00,2,Zbrojovka Brno,Opava,2,1,3,"['61', '83']",['16'],1.54,3.75,4.95,1.61,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Czech Republic FNL,2021/2022,2021-08-06 13:00:00,3,Vysočina Jihlava,Dukla Praha,0,0,0,[],[],2.3,3.05,2.6,1.67,1.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Czech Republic FNL,2021/2022,2021-08-07 05:15:00,3,Chrudim,Třinec,3,0,3,"['4', '89', '90+2']",[],1.87,3.45,3.43,1.7,1.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Czech Republic FNL,2021/2022,2021-08-07 12:00:00,3,Opava,Vyškov,1,0,1,['32'],[],1.44,4.2,5.5,1.51,1.77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Czech Republic FNL,2021/2022,2021-08-07 12:00:00,3,Líšeň,Ústí nad Labem,0,0,0,[],[],1.8,3.4,3.75,1.83,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Czech Republic FNL,2021/2022,2021-08-07 12:00:00,3,Prostějov,Zbrojovka Brno,2,0,2,"['41', '61']",[],4.33,3.5,1.67,1.61,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Czech Republic FNL,2021/2022,2021-08-08 05:15:00,3,Viktoria Žižkov,Příbram,2,0,2,"['58', '75']",[],3.25,3.0,2.1,1.7,1.61,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
23,Czech Republic FNL,2021/2022,2021-08-08 12:00:00,3,Varnsdorf,Sparta Praha II,3,1,4,"['28', '65', '86']",['78'],3.6,3.15,1.94,1.64,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Czech Republic FNL,2021/2022,2021-08-08 12:00:00,3,Táborsko,Vlašim,2,1,3,"['10', '76']",['89'],2.46,3.1,2.6,1.64,1.47,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Czech Republic FNL,2021/2022,2021-08-13 13:00:00,4,Ústí nad Labem,Prostějov,1,1,2,['73'],['45+3'],2.25,3.15,2.65,1.69,1.59,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Czech Republic FNL,2021/2022,2021-08-14 05:15:00,4,Vyškov,Táborsko,0,1,1,[],['87'],3.5,3.25,1.97,2.1,1.65,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Czech Republic FNL,2021/2022,2021-08-14 05:15:00,4,Dukla Praha,Chrudim,4,1,5,"['13', '42', '45', '50']",['31'],1.55,3.95,4.8,1.63,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
28,Czech Republic FNL,2021/2022,2021-08-14 12:00:00,4,Příbram,Varnsdorf,2,2,4,"['29', '49']","['9', '72']",1.66,3.8,4.1,1.61,1.71,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Czech Republic FNL,2021/2022,2021-08-15 05:30:00,4,Sparta Praha II,Viktoria Žižkov,0,3,3,[],"['16', '26', '63']",2.45,3.46,2.6,1.56,1.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Czech Republic FNL,2021/2022,2021-08-15 12:00:00,4,Vlašim,Líšeň,4,1,5,"['41', '47', '52', '90+2']",['33'],2.08,2.89,3.0,1.65,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
31,Czech Republic FNL,2021/2022,2021-08-15 15:00:00,4,Zbrojovka Brno,Vysočina Jihlava,4,0,4,"['13', '29', '50', '70']",[],1.62,3.35,4.55,1.69,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
