Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zlín,Mladá Boleslav,0,0,0,[],[],2.81,3.28,2.5,1.96,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Zbrojovka Brno,Slovácko,2,2,4,"['21', '32']","['30', '71']",3.51,3.38,2.08,1.94,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3,Czech Republic First League,2022/2023,2022-07-30 11:00:00,1,Baník Ostrava,Sigma Olomouc,0,3,3,[],"['37', '51', '79']",1.87,3.56,4.02,1.88,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Czech Republic First League,2022/2023,2022-07-30 14:00:00,1,Teplice,Viktoria Plzeň,2,2,4,"['23', '47']","['58', '71']",6.2,4.42,1.47,1.67,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Pardubice,České Budějovice,0,2,2,[],"['8', '67']",2.43,3.25,2.76,1.89,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Hradec Králové,Slavia Praha,1,0,1,['54'],[],7.2,4.7,1.37,1.64,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Czech Republic First League,2022/2023,2022-07-31 11:00:00,1,Jablonec,Bohemians 1905,0,3,3,[],"['37', '70', '87']",1.89,3.68,4.0,1.93,1.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Czech Republic First League,2022/2023,2022-07-31 14:00:00,1,Sparta Praha,Slovan Liberec,1,2,3,['75'],"['2', '19']",1.35,4.9,7.5,1.65,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Viktoria Plzeň,Pardubice,2,1,3,"['21', '75']",['55'],1.23,5.6,10.25,1.55,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Slovan Liberec,Teplice,5,1,6,"['9', '21', '45+1', '53', '70']",['43'],1.66,3.62,4.73,1.98,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Czech Republic First League,2022/2023,2022-08-06 11:00:00,2,Sigma Olomouc,Zbrojovka Brno,0,2,2,[],"['20', '70']",1.74,3.55,4.28,1.88,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Czech Republic First League,2022/2023,2022-08-06 14:00:00,2,Bohemians 1905,Baník Ostrava,3,3,6,"['6', '18', '22']","['5', '49', '79']",2.68,3.22,2.32,1.85,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,České Budějovice,Sparta Praha,0,2,2,[],"['2', '28']",4.0,3.75,1.83,1.73,1.75,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,Mladá Boleslav,Jablonec,2,2,4,"['21', '78']","['5', '34']",1.73,3.75,4.6,1.9,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Czech Republic First League,2022/2023,2022-08-07 11:00:00,2,Slovácko,Hradec Králové,1,0,1,['57'],[],1.8,3.5,4.5,2.05,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Czech Republic First League,2022/2023,2022-08-07 14:00:00,2,Slavia Praha,Zlín,4,1,5,"['9', '31', '85', '90+3']",['49'],1.2,6.5,15.0,1.49,2.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Baník Ostrava,Zlín,3,1,4,"['14', '34', '38']",['76'],1.72,3.6,4.2,1.6,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Teplice,Bohemians 1905,0,1,1,[],['85'],2.55,3.05,2.65,2.11,1.78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Czech Republic First League,2022/2023,2022-08-13 11:00:00,3,Zbrojovka Brno,Mladá Boleslav,3,1,4,"['49', '79', '90+4']",['26'],2.78,3.2,2.33,1.93,1.68,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Czech Republic First League,2022/2023,2022-08-13 14:00:00,3,Hradec Králové,Viktoria Plzeň,1,2,3,['44'],"['39', '84']",4.26,3.45,1.8,1.85,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
21,Czech Republic First League,2022/2023,2022-08-14 11:00:00,3,České Budějovice,Slovácko,2,2,4,"['19', '53']","['3', '83']",2.73,3.45,2.26,1.94,1.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
22,Czech Republic First League,2022/2023,2022-08-14 11:00:00,3,Jablonec,Slavia Praha,2,3,5,"['55', '73']","['8', '51', '61']",4.6,3.75,1.62,1.99,1.93,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
23,Czech Republic First League,2022/2023,2022-08-14 11:00:00,3,Pardubice,Slovan Liberec,2,1,3,"['43', '45+1']",['48'],2.45,3.25,2.61,2.01,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
24,Czech Republic First League,2022/2023,2022-08-14 14:00:00,3,Sparta Praha,Sigma Olomouc,2,0,2,"['11', '70']",[],1.32,4.8,7.6,1.65,1.93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,Czech Republic First League,2022/2023,2022-08-20 11:00:00,4,Baník Ostrava,Teplice,1,2,3,['37'],"['19', '80']",1.5,4.3,5.75,1.71,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
26,Czech Republic First League,2022/2023,2022-08-20 14:00:00,4,Mladá Boleslav,Sparta Praha,1,3,4,['38'],"['50', '58', '89']",3.3,3.6,2.02,1.67,1.62,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
