Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Denmark 1st Division,2022/2023,2022-07-22 13:30:00,1,Vendsyssel,Hillerød,5,1,6,"['14', '30', '61', '70', '75']",['47'],1.75,3.7,4.75,1.85,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Denmark 1st Division,2022/2023,2022-07-22 14:00:00,1,SønderjyskE,Fremad Amager,2,1,3,"['56', '76']",['90'],1.4,4.75,7.5,1.62,1.83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Denmark 1st Division,2022/2023,2022-07-23 10:00:00,1,Nykøbing,Fredericia,2,2,4,"['69', '70']","['6', '54']",3.2,3.7,2.05,1.54,1.5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Denmark 1st Division,2022/2023,2022-07-23 13:30:00,1,FC Helsingør,Vejle,0,6,6,[],"['15', '25', '59', '66', '69', '84']",2.25,3.4,3.2,1.85,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Denmark 1st Division,2022/2023,2022-07-24 08:00:00,1,Næstved,Hvidovre,2,2,4,"['22', '90+3']","['31', '43']",2.75,3.3,2.38,1.83,1.62,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Denmark 1st Division,2022/2023,2022-07-24 10:00:00,1,HB Køge,Hobro,0,0,0,[],[],2.01,2.95,3.0,2.05,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Denmark 1st Division,2022/2023,2022-07-29 13:50:00,2,Hobro,FC Helsingør,1,0,1,['75'],[],3.1,3.5,2.25,1.75,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Denmark 1st Division,2022/2023,2022-07-29 13:50:00,2,Fredericia,Næstved,0,1,1,[],['2'],1.62,4.33,4.5,1.5,1.53,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Denmark 1st Division,2022/2023,2022-07-30 09:00:00,2,Hillerød,SønderjyskE,1,5,6,['15'],"['23', '33', '37', '73', '78']",4.2,3.5,1.7,1.7,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,Denmark 1st Division,2022/2023,2022-07-30 10:00:00,2,Nykøbing,Hvidovre,0,2,2,[],"['41', '81']",2.8,3.25,2.2,1.73,1.57,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Denmark 1st Division,2022/2023,2022-07-30 11:00:00,2,Fremad Amager,Vejle,1,2,3,['85'],"['31', '77']",4.2,3.5,1.7,1.7,1.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Denmark 1st Division,2022/2023,2022-07-31 10:00:00,2,HB Køge,Vendsyssel,1,2,3,['11'],"['20', '80']",2.7,3.3,2.4,1.89,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Denmark 1st Division,2022/2023,2022-08-05 13:30:00,3,Hvidovre,Hillerød,3,1,4,"['11', '25', '59']",['56'],1.29,5.25,11.0,1.57,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Denmark 1st Division,2022/2023,2022-08-05 14:00:00,3,FC Helsingør,Fredericia,3,2,5,"['36', '39', '74']","['45', '81']",1.91,3.8,3.75,1.62,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Denmark 1st Division,2022/2023,2022-08-06 08:00:00,3,SønderjyskE,HB Køge,3,1,4,"['6', '25', '86']",['90+2'],1.46,4.72,6.99,1.67,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Denmark 1st Division,2022/2023,2022-08-06 09:00:00,3,Vendsyssel,Fremad Amager,1,2,3,['14'],"['7', '17']",1.95,3.77,3.88,1.67,1.57,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Denmark 1st Division,2022/2023,2022-08-07 08:00:00,3,Næstved,Hobro,2,0,2,"['21', '29']",[],2.0,3.3,3.3,1.88,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Denmark 1st Division,2022/2023,2022-08-07 10:00:00,3,Vejle,Nykøbing,2,0,2,"['38', '82']",[],1.6,3.75,4.6,1.58,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19,Denmark 1st Division,2022/2023,2022-08-11 13:00:00,4,Hillerød,HB Køge,0,2,2,[],"['7', '50']",5.75,4.2,1.57,1.62,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Fredericia,Vejle,0,1,1,[],['5'],3.75,3.8,1.91,1.65,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Fremad Amager,Næstved,0,0,0,[],[],2.75,3.6,2.45,1.67,1.53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Denmark 1st Division,2022/2023,2022-08-12 13:30:00,4,Hobro,SønderjyskE,0,3,3,[],"['6', '39', '49']",5.0,3.8,1.65,1.85,1.83,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Denmark 1st Division,2022/2023,2022-08-13 08:00:00,4,FC Helsingør,Hvidovre,0,3,3,[],"['5', '65', '81']",2.13,3.35,2.83,1.6,1.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
