Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Denmark Superliga,2022/2023,2022-07-15 14:00:00,1,Midtjylland,Randers,1,1,2,['54'],['60'],1.61,3.7,4.8,1.7,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Denmark Superliga,2022/2023,2022-07-17 09:00:00,1,Viborg,AaB,2,1,3,"['43', '85']",['77'],2.35,3.4,2.95,1.77,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Denmark Superliga,2022/2023,2022-07-17 09:00:00,1,Lyngby,Silkeborg,2,2,4,"['43', '51']","['55', '78']",3.8,3.55,1.95,1.75,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,Denmark Superliga,2022/2023,2022-07-17 11:00:00,1,København,Horsens,0,1,1,[],['61'],1.28,4.8,11.0,1.7,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Denmark Superliga,2022/2023,2022-07-17 13:00:00,1,Brøndby,AGF,1,0,1,['79'],[],2.0,3.5,3.8,1.95,1.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Denmark Superliga,2022/2023,2022-07-18 14:00:00,1,OB,Nordsjælland,0,2,2,[],"['3', '86']",2.0,3.2,3.15,1.78,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Denmark Superliga,2022/2023,2022-07-22 14:00:00,2,Midtjylland,Silkeborg,1,3,4,['51'],"['31', '57', '61']",1.82,3.6,3.95,1.68,1.57,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Denmark Superliga,2022/2023,2022-07-24 09:00:00,2,AGF,Viborg,3,1,4,"['9', '60', '76']",['74'],2.6,3.4,2.7,1.91,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Denmark Superliga,2022/2023,2022-07-24 09:00:00,2,Randers,OB,2,2,4,"['75', '77']","['29', '45']",2.11,3.7,3.2,1.87,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Denmark Superliga,2022/2023,2022-07-24 11:00:00,2,Brøndby,Nordsjælland,1,3,4,['56'],"['3', '71', '74']",2.2,3.55,3.15,1.75,1.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Denmark Superliga,2022/2023,2022-07-24 13:00:00,2,AaB,København,1,3,4,['79'],"['45+6', '71', '90+4']",3.4,3.3,2.0,1.86,1.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Denmark Superliga,2022/2023,2022-07-25 14:00:00,2,Horsens,Lyngby,1,0,1,['21'],[],2.15,3.2,3.1,1.85,1.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Denmark Superliga,2022/2023,2022-07-29 14:00:00,3,OB,Midtjylland,1,5,6,['32'],"['24', '52', '58', '61', '73']",3.5,3.5,2.0,1.7,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,Denmark Superliga,2022/2023,2022-07-31 09:00:00,3,AGF,Randers,0,0,0,[],[],2.5,3.3,2.88,1.88,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Denmark Superliga,2022/2023,2022-07-31 09:00:00,3,AaB,Horsens,0,0,0,[],[],1.61,4.1,5.3,1.79,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Denmark Superliga,2022/2023,2022-07-31 11:00:00,3,Viborg,København,4,2,6,"['27', '33', '55', '90+3']","['7', '62']",3.9,3.65,1.91,1.75,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Denmark Superliga,2022/2023,2022-07-31 13:00:00,3,Silkeborg,Brøndby,2,0,2,"['7', '83']",[],2.15,3.2,2.84,1.78,1.75,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,Denmark Superliga,2022/2023,2022-08-01 14:00:00,3,Nordsjælland,Lyngby,2,1,3,"['36', '80']",['67'],1.71,3.5,3.9,1.8,1.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Denmark Superliga,2022/2023,2022-08-05 13:00:00,4,Randers,Horsens,1,0,1,['22'],[],1.67,3.4,4.75,1.81,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Denmark Superliga,2022/2023,2022-08-05 15:00:00,4,Lyngby,Midtjylland,3,3,6,"['44', '61', '87']","['4', '15', '32']",4.5,3.4,1.7,1.75,1.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Denmark Superliga,2022/2023,2022-08-06 11:30:00,4,Nordsjælland,Viborg,1,0,1,['28'],[],2.6,3.52,2.63,1.79,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Denmark Superliga,2022/2023,2022-08-07 11:00:00,4,København,Brøndby,4,1,5,"['13', '33', '45', '64']",['19'],1.57,4.0,5.0,1.79,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Denmark Superliga,2022/2023,2022-08-07 13:00:00,4,OB,AGF,1,2,3,['38'],"['9', '87']",2.6,3.4,2.63,1.9,1.67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24,Denmark Superliga,2022/2023,2022-08-08 14:00:00,4,Silkeborg,AaB,3,1,4,"['43', '60', '90+3']",['85'],1.85,3.5,4.3,1.74,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
25,Denmark Superliga,2022/2023,2022-08-12 14:00:00,5,Horsens,Midtjylland,3,3,6,"['57', '89', '90+2']","['8', '23', '41']",4.5,3.6,1.81,1.74,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
26,Denmark Superliga,2022/2023,2022-08-12 16:00:00,5,København,Randers,1,3,4,['47'],"['58', '60', '70']",1.48,4.6,6.25,1.63,1.71,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
27,Denmark Superliga,2022/2023,2022-08-14 09:00:00,5,Viborg,Silkeborg,2,0,2,"['12', '22']",[],2.85,3.55,2.23,1.65,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,Denmark Superliga,2022/2023,2022-08-14 11:00:00,5,AaB,Nordsjælland,0,0,0,[],[],2.4,3.65,2.57,1.62,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Denmark Superliga,2022/2023,2022-08-14 13:00:00,5,Brøndby,OB,2,0,2,"['13', '32']",[],1.77,3.82,4.34,1.7,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Denmark Superliga,2022/2023,2022-08-15 14:00:00,5,AGF,Lyngby,1,0,1,['20'],[],1.57,3.6,4.8,1.73,1.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Denmark Superliga,2022/2023,2022-08-19 14:00:00,6,Lyngby,København,0,3,3,[],"['15', '49', '52']",4.7,3.85,1.59,1.67,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Denmark Superliga,2022/2023,2022-08-20 11:00:00,6,Midtjylland,AGF,0,2,2,[],"['61', '86']",1.65,4.1,4.9,1.68,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Denmark Superliga,2022/2023,2022-08-21 09:00:00,6,Nordsjælland,Silkeborg,0,2,2,[],"['3', '15']",2.3,3.5,2.7,1.63,1.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,Denmark Superliga,2022/2023,2022-08-21 11:00:00,6,Randers,Viborg,1,0,1,['48'],[],2.2,3.4,3.0,1.75,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Denmark Superliga,2022/2023,2022-08-21 13:00:00,6,AaB,Brøndby,2,1,3,"['10', '87']",['58'],2.38,3.3,2.8,1.93,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
36,Denmark Superliga,2022/2023,2022-08-22 14:00:00,6,OB,Horsens,1,0,1,['84'],[],2.24,3.52,3.13,1.69,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Denmark Superliga,2022/2023,2022-08-26 14:00:00,7,Horsens,AGF,2,1,3,"['59', '80']",['28'],2.83,2.95,2.37,1.92,1.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Denmark Superliga,2022/2023,2022-08-28 09:00:00,7,Randers,AaB,1,0,1,['3'],[],2.15,3.5,3.05,1.93,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
39,Denmark Superliga,2022/2023,2022-08-28 09:00:00,7,Viborg,Lyngby,2,1,3,"['90+1', '90+4']",['81'],1.9,3.5,3.7,1.76,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
