Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1565045,Ecuador Primera Categoría Serie A,2022,2022-02-18 21:00:00,1,CS Emelec,Macará,4,0,4,"['8', '12', '27', '45']",[],1.38,4.3,6.75,1.87,1.88,2.19,1.64
2,1565042,Ecuador Primera Categoría Serie A,2022,2022-02-19 17:00:00,1,Mushuc Runa SC,CD Universidad Católica,1,2,3,['35'],"['26', '53']",2.76,3.4,2.18,1.75,1.96,1.66,2.16
3,1565047,Ecuador Primera Categoría Serie A,2022,2022-02-19 19:30:00,1,LDU Quito,Gualaceo SC,1,0,1,['64'],[],1.15,6.4,13.0,1.58,2.3,2.2,1.62
4,1565040,Ecuador Primera Categoría Serie A,2022,2022-02-19 22:00:00,1,Delfin SC,Barcelona,0,1,1,[],['90'],3.2,3.5,2.0,1.83,1.93,1.71,2.08
5,1565043,Ecuador Primera Categoría Serie A,2022,2022-02-20 16:00:00,1,Orense SC,SD Aucas,1,1,2,['85'],['61'],2.4,3.1,2.75,1.95,1.75,1.81,1.96
6,1565046,Ecuador Primera Categoría Serie A,2022,2022-02-20 18:30:00,1,Guayaquil City FC,Deportivo Cuenca,2,0,2,"['12', '25']",[],1.17,5.75,15.0,2.0,1.8,2.1,1.68
7,1565044,Ecuador Primera Categoría Serie A,2022,2022-02-20 21:00:00,1,Cumbayá,CSD Independiente del Valle,0,1,1,[],['90+9'],6.25,4.3,1.43,1.7,2.0,2.1,1.68
8,1565041,Ecuador Primera Categoría Serie A,2022,2022-02-21 21:00:00,1,Técnico Universitario,9 de Octubre,2,1,3,"['33', '44']",['83'],2.55,2.9,3.0,2.38,1.55,1.9,1.83
9,1565050,Ecuador Primera Categoría Serie A,2022,2022-02-25 21:00:00,2,Deportivo Cuenca,LDU Quito,2,0,2,"['57', '63']",[],4.05,2.35,2.35,3.4,1.25,0.0,0.0
10,1565054,Ecuador Primera Categoría Serie A,2022,2022-02-26 17:00:00,2,SD Aucas,Delfin SC,3,0,3,"['39', '90', '90+3']",[],1.62,3.75,4.5,1.88,1.9,1.83,1.83
11,1565049,Ecuador Primera Categoría Serie A,2022,2022-02-26 19:30:00,2,CD Universidad Católica,Guayaquil City FC,1,1,2,['10'],['32'],1.4,4.2,6.0,1.91,1.87,2.0,1.73
12,1565052,Ecuador Primera Categoría Serie A,2022,2022-02-26 22:00:00,2,Barcelona,Técnico Universitario,1,0,1,['90+1'],[],1.33,4.75,7.0,1.87,1.91,2.1,1.67
13,1565051,Ecuador Primera Categoría Serie A,2022,2022-02-27 16:00:00,2,Gualaceo SC,Cumbayá,0,1,1,[],['50'],2.1,3.2,3.2,2.25,1.61,1.91,1.8
14,1565053,Ecuador Primera Categoría Serie A,2022,2022-02-27 18:30:00,2,9 de Octubre,Mushuc Runa SC,2,0,2,"['13', '61']",[],1.8,3.4,4.0,1.89,1.81,1.91,1.8
15,1565048,Ecuador Primera Categoría Serie A,2022,2022-02-27 21:00:00,2,CSD Independiente del Valle,CS Emelec,0,1,1,[],['61'],1.84,3.45,3.75,1.9,1.85,1.83,1.83
16,1565055,Ecuador Primera Categoría Serie A,2022,2022-02-28 21:00:00,2,Macará,Orense SC,1,0,1,['44'],[],2.2,3.25,2.9,2.23,1.62,1.96,1.83
17,1565057,Ecuador Primera Categoría Serie A,2022,2022-03-04 21:00:00,3,CS Emelec,Guayaquil City FC,2,2,4,"['6', '32']","['10', '90+6']",1.35,4.95,8.6,1.61,2.15,2.15,1.64
18,1565061,Ecuador Primera Categoría Serie A,2022,2022-03-05 17:00:00,3,Técnico Universitario,Mushuc Runa SC,1,3,4,['45+1'],"['25', '28', '37']",2.22,3.28,3.18,2.22,1.76,2.0,1.77
19,1565058,Ecuador Primera Categoría Serie A,2022,2022-03-05 19:30:00,3,LDU Quito,CD Universidad Católica,2,1,3,"['82', '83']",['45+2'],1.79,3.76,4.04,1.82,2.13,1.73,2.05
20,1565056,Ecuador Primera Categoría Serie A,2022,2022-03-05 22:00:00,3,9 de Octubre,Barcelona,1,3,4,['45+7'],"['1', '36', '45']",2.85,3.3,2.41,2.11,1.83,1.77,2.04
21,1565062,Ecuador Primera Categoría Serie A,2022,2022-03-06 16:00:00,3,Cumbayá,Orense SC,1,1,2,['45+1'],['50'],2.25,3.05,3.05,2.1,1.68,1.83,1.83
