Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1903642,Ecuador Primera Categoría Serie B,2022,2022-03-15 17:30:00,1,Independiente Juniors,CD El Nacional,0,0,0,[],[],1.4,3.2,2.6,2.2,1.65,2.0,1.73
2,1903643,Ecuador Primera Categoría Serie B,2022,2022-03-15 21:00:00,1,América de Quito,CD Puerto Quito,0,0,0,[],[],1.24,3.4,3.4,2.4,1.53,2.3,1.57
3,1903644,Ecuador Primera Categoría Serie B,2022,2022-03-16 17:00:00,1,Chacaritas,Guayaquil,2,0,2,"['18', '67']",[],1.42,3.4,2.55,2.0,1.8,1.93,1.78
4,1903645,Ecuador Primera Categoría Serie B,2022,2022-03-16 21:00:00,1,CD Olmedo,Libertad,0,2,2,[],"['23', '49']",1.23,3.5,3.5,1.85,1.95,1.9,1.86
5,1903646,Ecuador Primera Categoría Serie B,2022,2022-03-17 21:00:00,1,Imbabura SC,Manta FC,0,0,0,[],[],1.86,2.9,1.83,2.3,1.6,1.95,1.77
6,1903647,Ecuador Primera Categoría Serie B,2022,2022-03-22 21:00:00,2,CD El Nacional,CD Olmedo,1,1,2,['17'],['35'],1.27,3.25,3.4,2.1,1.7,1.86,1.8
7,1903648,Ecuador Primera Categoría Serie B,2022,2022-03-23 17:00:00,2,CD Puerto Quito,Independiente Juniors,0,1,1,[],['33'],1.55,2.9,2.2,2.35,1.57,2.05,1.7
8,1903649,Ecuador Primera Categoría Serie B,2022,2022-03-23 18:30:00,2,Guayaquil,Imbabura SC,1,2,3,['46'],"['57', '86']",1.32,3.1,2.85,2.5,1.5,2.2,1.6
9,1903650,Ecuador Primera Categoría Serie B,2022,2022-03-23 21:00:00,2,Manta FC,América de Quito,1,1,2,['80'],['1'],1.4,3.0,2.55,2.4,1.53,2.14,1.67
10,1903651,Ecuador Primera Categoría Serie B,2022,2022-03-23 21:00:00,2,Libertad,Chacaritas,5,1,6,"['17', '53', '63', '86', '90+4']",['30'],1.65,3.0,2.0,2.6,1.48,2.1,1.65
