Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Ecuador Primera Categoría Serie B,2022,2022-03-15 17:30:00,1,Independiente Juniors,CD El Nacional,0,0,0,[],[],1.4,3.2,2.6,2.2,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Ecuador Primera Categoría Serie B,2022,2022-03-15 21:00:00,1,América de Quito,CD Puerto Quito,0,0,0,[],[],1.24,3.4,3.4,2.4,2.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Ecuador Primera Categoría Serie B,2022,2022-03-16 17:00:00,1,Chacaritas,Guayaquil,2,0,2,"['18', '67']",[],1.42,3.4,2.55,2.0,1.93,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Ecuador Primera Categoría Serie B,2022,2022-03-16 21:00:00,1,CD Olmedo,Libertad,0,2,2,[],"['23', '49']",1.23,3.5,3.5,1.85,1.9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ecuador Primera Categoría Serie B,2022,2022-03-17 21:00:00,1,Imbabura SC,Manta FC,0,0,0,[],[],1.86,2.9,1.83,2.3,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Ecuador Primera Categoría Serie B,2022,2022-03-22 21:00:00,2,CD El Nacional,CD Olmedo,1,1,2,['17'],['35'],1.27,3.25,3.4,2.1,1.86,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,Ecuador Primera Categoría Serie B,2022,2022-03-23 17:00:00,2,CD Puerto Quito,Independiente Juniors,0,1,1,[],['33'],1.55,2.9,2.2,2.35,2.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Ecuador Primera Categoría Serie B,2022,2022-03-23 18:30:00,2,Guayaquil,Imbabura SC,1,2,3,['46'],"['57', '86']",1.32,3.1,2.85,2.5,2.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Ecuador Primera Categoría Serie B,2022,2022-03-23 21:00:00,2,Manta FC,América de Quito,1,1,2,['80'],['1'],1.4,3.0,2.55,2.4,2.14,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Ecuador Primera Categoría Serie B,2022,2022-03-23 21:00:00,2,Libertad,Chacaritas,5,1,6,"['17', '53', '63', '86', '90+4']",['30'],1.65,3.0,2.0,2.6,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
