Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Ecuador Primera Categoría Serie A,2022,2022-02-18 21:00:00,1,CS Emelec,Macará,4,0,4,"['8', '12', '27', '45']",[],1.38,4.3,6.75,1.87,2.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Ecuador Primera Categoría Serie A,2022,2022-02-19 17:00:00,1,Mushuc Runa SC,CD Universidad Católica,1,2,3,['35'],"['26', '53']",2.76,3.4,2.18,1.75,1.66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Ecuador Primera Categoría Serie A,2022,2022-02-19 19:30:00,1,LDU Quito,Gualaceo SC,1,0,1,['64'],[],1.15,6.4,13.0,1.58,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Ecuador Primera Categoría Serie A,2022,2022-02-19 22:00:00,1,Delfin SC,Barcelona,0,1,1,[],['90'],3.2,3.5,2.0,1.83,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ecuador Primera Categoría Serie A,2022,2022-02-20 16:00:00,1,Orense SC,SD Aucas,1,1,2,['85'],['61'],2.4,3.1,2.75,1.95,1.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Ecuador Primera Categoría Serie A,2022,2022-02-20 18:30:00,1,Guayaquil City FC,Deportivo Cuenca,2,0,2,"['12', '25']",[],1.17,5.75,15.0,2.0,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Ecuador Primera Categoría Serie A,2022,2022-02-20 21:00:00,1,Cumbayá,CSD Independiente del Valle,0,1,1,[],['90+9'],6.25,4.3,1.43,1.7,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Ecuador Primera Categoría Serie A,2022,2022-02-21 21:00:00,1,Técnico Universitario,9 de Octubre,2,1,3,"['33', '44']",['83'],2.55,2.9,3.0,2.38,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,Ecuador Primera Categoría Serie A,2022,2022-02-25 21:00:00,2,Deportivo Cuenca,LDU Quito,2,0,2,"['57', '63']",[],4.05,2.35,2.35,3.4,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,Ecuador Primera Categoría Serie A,2022,2022-02-26 17:00:00,2,SD Aucas,Delfin SC,3,0,3,"['39', '90', '90+3']",[],1.62,3.75,4.5,1.88,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Ecuador Primera Categoría Serie A,2022,2022-02-26 19:30:00,2,CD Universidad Católica,Guayaquil City FC,1,1,2,['10'],['32'],1.4,4.2,6.0,1.91,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Ecuador Primera Categoría Serie A,2022,2022-02-26 22:00:00,2,Barcelona,Técnico Universitario,1,0,1,['90+1'],[],1.33,4.75,7.0,1.87,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Ecuador Primera Categoría Serie A,2022,2022-02-27 16:00:00,2,Gualaceo SC,Cumbayá,0,1,1,[],['50'],2.1,3.2,3.2,2.25,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Ecuador Primera Categoría Serie A,2022,2022-02-27 18:30:00,2,9 de Octubre,Mushuc Runa SC,2,0,2,"['13', '61']",[],1.8,3.4,4.0,1.89,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Ecuador Primera Categoría Serie A,2022,2022-02-27 21:00:00,2,CSD Independiente del Valle,CS Emelec,0,1,1,[],['61'],1.84,3.45,3.75,1.9,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Ecuador Primera Categoría Serie A,2022,2022-02-28 21:00:00,2,Macará,Orense SC,1,0,1,['44'],[],2.2,3.25,2.9,2.23,1.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Ecuador Primera Categoría Serie A,2022,2022-03-04 21:00:00,3,CS Emelec,Guayaquil City FC,2,2,4,"['6', '32']","['10', '90+6']",1.35,4.95,8.6,1.61,2.15,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
18,Ecuador Primera Categoría Serie A,2022,2022-03-05 17:00:00,3,Técnico Universitario,Mushuc Runa SC,1,3,4,['45+1'],"['25', '28', '37']",2.22,3.28,3.18,2.22,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,Ecuador Primera Categoría Serie A,2022,2022-03-05 19:30:00,3,LDU Quito,CD Universidad Católica,2,1,3,"['82', '83']",['45+2'],1.79,3.76,4.04,1.82,1.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Ecuador Primera Categoría Serie A,2022,2022-03-05 22:00:00,3,9 de Octubre,Barcelona,1,3,4,['45+7'],"['1', '36', '45']",2.85,3.3,2.41,2.11,1.77,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,Ecuador Primera Categoría Serie A,2022,2022-03-06 16:00:00,3,Cumbayá,Orense SC,1,1,2,['45+1'],['50'],2.25,3.05,3.05,2.1,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,Ecuador Primera Categoría Serie A,2022,2022-03-06 18:30:00,3,Delfin SC,Macará,1,0,1,['12'],[],1.65,3.6,4.5,1.86,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Ecuador Primera Categoría Serie A,2022,2022-03-06 21:00:00,3,CSD Independiente del Valle,SD Aucas,1,0,1,['45'],[],1.65,3.75,4.3,1.71,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Ecuador Primera Categoría Serie A,2022,2022-03-07 21:00:00,3,Deportivo Cuenca,Gualaceo SC,2,1,3,"['20', '81']",['40'],1.6,3.5,5.0,2.1,2.19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Ecuador Primera Categoría Serie A,2022,2022-03-11 21:00:00,4,SD Aucas,Deportivo Cuenca,0,0,0,[],[],1.73,3.28,3.42,1.9,1.86,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Ecuador Primera Categoría Serie A,2022,2022-03-12 17:00:00,4,Mushuc Runa SC,Cumbayá,4,2,6,"['3', '14', '69', '90+3']","['17', '59']",2.11,3.2,3.2,2.08,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
27,Ecuador Primera Categoría Serie A,2022,2022-03-12 19:30:00,4,Técnico Universitario,LDU Quito,1,2,3,['76'],"['45+1', '52']",3.15,3.25,2.11,2.05,1.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28,Ecuador Primera Categoría Serie A,2022,2022-03-12 22:00:00,4,Barcelona,CSD Independiente del Valle,2,0,2,"['5', '71']",[],2.13,3.2,3.15,1.85,1.87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29,Ecuador Primera Categoría Serie A,2022,2022-03-13 16:00:00,4,Orense SC,9 de Octubre,2,1,3,"['62', '90+1']",['84'],2.38,3.05,2.85,1.98,1.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Ecuador Primera Categoría Serie A,2022,2022-03-13 18:30:00,4,CD Universidad Católica,Macará,2,2,4,"['72', '90+1']","['23', '41']",1.62,3.6,4.75,1.9,1.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Ecuador Primera Categoría Serie A,2022,2022-03-13 21:00:00,4,Gualaceo SC,CS Emelec,2,1,3,"['36', '37']",['84'],3.35,3.1,2.1,2.0,1.95,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
