Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,4372317,Egypt Egyptian Premier League,2022/2023,2022-10-18 10:00:00,1,Aswan FC,Al Ittihad,0,1,1,[],['85'],2.95,2.95,2.5,2.3,1.57,2.0,1.7
2,4372316,Egypt Egyptian Premier League,2022/2023,2022-10-18 12:00:00,1,National Bank of Egypt,Pharco,1,1,2,['17'],['90+6'],2.14,2.52,3.38,2.5,1.5,1.9,1.86
3,4372318,Egypt Egyptian Premier League,2022/2023,2022-10-18 14:00:00,1,Al Masry,Ceramica Cleopatra,0,3,3,[],"['15', '30', '59']",2.05,3.1,3.75,2.2,1.62,1.86,1.86
4,4372319,Egypt Egyptian Premier League,2022/2023,2022-10-19 12:00:00,1,Ismaily SC,Al Ahly,0,1,1,[],['73'],6.5,3.5,1.55,2.25,1.6,2.2,1.58
5,4372320,Egypt Egyptian Premier League,2022/2023,2022-10-19 12:00:00,1,ENPPI,Pyramids FC,1,1,2,['58'],['20'],5.75,3.75,1.53,1.95,1.78,1.85,1.91
6,4372321,Egypt Egyptian Premier League,2022/2023,2022-10-19 14:00:00,1,Zamalek,Smouha SC,2,0,2,"['79', '90+4']",[],1.63,3.35,4.6,1.83,1.87,1.67,2.14
7,4372322,Egypt Egyptian Premier League,2022/2023,2022-10-20 10:00:00,1,Al Mokawloon,Ghazl El Mehalla,1,1,2,['51'],['61'],2.1,2.8,3.5,2.6,1.44,2.38,1.55
8,4372323,Egypt Egyptian Premier League,2022/2023,2022-10-20 12:00:00,1,Haras El Hodood,Coca-Cola,0,2,2,[],"['75', '87']",4.63,3.28,1.79,2.34,1.56,2.16,1.66
9,4372324,Egypt Egyptian Premier League,2022/2023,2022-10-20 14:00:00,1,El Daklyeh FC,El Geish,0,0,0,[],[],4.75,3.3,1.65,2.25,1.57,2.2,1.6
10,4407632,Egypt Egyptian Premier League,2022/2023,2022-10-23 10:00:00,2,Pyramids FC,Al Masry,0,0,0,[],[],1.48,3.73,5.82,1.85,1.87,1.88,1.88
11,4407633,Egypt Egyptian Premier League,2022/2023,2022-10-23 12:00:00,2,Ceramica Cleopatra,Zamalek,0,2,2,[],"['10', '87']",3.76,3.21,2.14,1.99,1.78,1.68,2.05
12,4407634,Egypt Egyptian Premier League,2022/2023,2022-10-23 14:00:00,2,Al Ahly,Aswan FC,1,0,1,['17'],[],1.15,6.0,15.0,1.83,1.98,2.65,1.46
13,4407635,Egypt Egyptian Premier League,2022/2023,2022-10-24 10:00:00,2,Ghazl El Mehalla,Ismaily SC,2,1,3,"['12', '75']",['87'],2.75,2.8,2.7,2.5,1.5,2.2,1.64
14,4407636,Egypt Egyptian Premier League,2022/2023,2022-10-24 12:00:00,2,Al Ittihad,El Daklyeh FC,2,0,2,"['36', '70']",[],2.44,3.0,3.0,2.11,1.73,1.73,2.0
15,4407637,Egypt Egyptian Premier League,2022/2023,2022-10-24 14:00:00,2,Coca-Cola,Al Mokawloon,0,0,0,[],[],2.0,3.0,3.6,2.2,1.6,1.87,1.9
16,4407638,Egypt Egyptian Premier League,2022/2023,2022-10-25 12:00:00,2,Smouha SC,National Bank of Egypt,1,1,2,['43'],['31'],2.32,3.25,2.62,2.3,1.57,1.67,2.1
17,4407639,Egypt Egyptian Premier League,2022/2023,2022-10-25 14:00:00,2,El Geish,ENPPI,2,1,3,"['15', '67']",['13'],2.65,2.63,3.28,2.53,1.48,1.91,1.82
18,4407640,Egypt Egyptian Premier League,2022/2023,2022-10-26 12:00:00,2,Pharco,Haras El Hodood,1,0,1,['90+2'],[],2.35,2.75,3.22,2.56,1.45,2.28,1.6
19,4407641,Egypt Egyptian Premier League,2022/2023,2022-10-29 10:00:00,3,Aswan FC,Ghazl El Mehalla,0,1,1,[],['90'],3.1,2.6,2.45,2.4,1.5,2.1,1.67
20,4407642,Egypt Egyptian Premier League,2022/2023,2022-10-29 12:00:00,3,Al Masry,ENPPI,2,0,2,"['73', '90+3']",[],2.06,2.86,3.63,2.15,1.65,2.0,1.77
21,4407645,Egypt Egyptian Premier League,2022/2023,2022-10-31 12:00:00,3,Al Ittihad,El Geish,3,1,4,"['68', '79', '90']",['25'],2.35,2.7,3.3,2.38,1.52,2.0,1.75
22,4407643,Egypt Egyptian Premier League,2022/2023,2022-10-31 14:00:00,3,Al Mokawloon,Pharco,0,0,0,[],[],2.15,2.65,3.88,2.69,1.41,2.1,1.68
23,4407647,Egypt Egyptian Premier League,2022/2023,2022-11-01 12:00:00,3,Haras El Hodood,Smouha SC,0,0,0,[],[],2.75,2.9,2.5,2.1,1.69,1.9,1.83
24,4407644,Egypt Egyptian Premier League,2022/2023,2022-11-01 14:00:00,3,National Bank of Egypt,Ceramica Cleopatra,3,1,4,"['2', '26', '56']",['65'],2.6,2.7,2.9,2.25,1.57,1.8,1.95
25,4407646,Egypt Egyptian Premier League,2022/2023,2022-11-02 12:00:00,3,El Daklyeh FC,Al Ahly,1,4,5,['13'],"['2', '6', '47', '53']",6.5,3.2,1.57,2.15,1.62,2.02,1.76
