Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Egypt Egyptian Premier League,2021/2022,2021-10-25 10:00:00,1,National Bank of Egypt,El Geish,3,0,3,"['4', '80', '90+6']",[],2.95,2.8,2.5,2.35,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Egypt Egyptian Premier League,2021/2022,2021-10-25 12:30:00,1,Smouha SC,Al Ittihad,4,4,8,"['11', '18', '38', '53']","['50', '73', '89', '90+5']",2.5,2.9,2.85,2.25,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Egypt Egyptian Premier League,2021/2022,2021-10-25 15:00:00,1,Coca-Cola,Pharco,1,0,1,['67'],[],2.6,2.9,2.6,2.18,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Egypt Egyptian Premier League,2021/2022,2021-10-26 10:00:00,1,Al Mokawloon,El Sharqia Dokhan,1,0,1,['17'],[],2.2,3.0,3.0,2.25,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Egypt Egyptian Premier League,2021/2022,2021-10-26 12:30:00,1,El Gounah,Ceramica Cleopatra,1,1,2,['48'],['36'],3.1,2.8,2.5,2.15,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Egypt Egyptian Premier League,2021/2022,2021-10-26 15:00:00,1,ENPPI,Zamalek,0,2,2,[],"['45+7', '85']",1.4,4.18,7.0,1.95,2.21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Egypt Egyptian Premier League,2021/2022,2021-10-27 12:30:00,1,Pyramids FC,Misr Lel Makasa,2,1,3,"['44', '60']",['49'],1.35,4.5,7.25,1.71,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Egypt Egyptian Premier League,2021/2022,2021-10-27 15:00:00,1,Ismaily SC,Al Ahly,0,4,4,[],"['21', '23', '32', '87']",7.75,4.45,1.34,1.86,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Egypt Egyptian Premier League,2021/2022,2021-10-28 12:30:00,1,Ghazl El Mehalla,Al Masry,1,1,2,['9'],['49'],20.07,1.06,11.55,3.16,1.92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Egypt Egyptian Premier League,2021/2022,2021-10-30 12:30:00,2,Al Ittihad,Coca-Cola,3,2,5,"['8', '51', '65']","['42', '47']",1.83,3.4,3.6,2.17,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
