Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Egypt Second Division,2022/2023,2022-10-11 10:00:00,1,Helal Aldabaa,Gomhoreyat Shepin,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Kafr El Sheikh,El Mansura,1,2,3,['5'],"['19', '59']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Sporting Alexandria,El Hamam,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,El Olympi,Abu Qair Semad,4,1,5,"['23', '48', '56', '70']",['9'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,El Magd,Itehad Nabaroh,2,0,2,"['-1', '-1']",[],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Pioneers,Proxy,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Dekernes,Al Masry Salloum,2,1,3,"['-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Tanta SC,Baladiyyat Al Mehalla,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Egypt Second Division,2022/2023,2022-10-12 10:00:00,1,Telecom Egypt SC,Kahraba Ismailia,4,1,5,"['-1', '-1', '-1', '-1']",['-1'],0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,Asmant Asyut,Asyut Petroleum,2,4,6,"['-1', '-1']","['-1', '-1', '-1', '-1']",0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,Telephonaat Beni Suef,Mallawi,0,1,1,[],['65'],0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,Al Nasr Taa'den,Tamya,1,0,1,['-1'],[],0.0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,El Madina El Monowara,Kima Aswan,0,1,1,[],['-1'],0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,Misr Lel Makasa,Dayrout,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Egypt Second Division,2022/2023,2022-10-13 10:00:00,1,Aluminium Nag Hammadi,El Gounah,0,0,0,[],[],0.0,0.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
