Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1276788,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Salford City,Leyton Orient,1,1,2,['41'],['33'],1.95,3.3,3.95,2.15,1.67,2.05,1.77
2,1276779,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Exeter City,Bradford City,0,0,0,[],[],2.55,3.1,2.85,2.15,1.67,1.95,1.83
3,1276780,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Forest Green Rovers,Sutton United,2,1,3,"['30', '90+1']",['69'],1.83,3.5,4.2,1.95,1.8,1.91,1.87
4,1276781,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Harrogate Town,Rochdale,3,2,5,"['5', '10', '90+1']","['15', '49']",2.2,3.25,3.25,2.05,1.74,1.87,1.91
5,1276782,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Hartlepool United,Crawley Town,1,0,1,['88'],[],2.2,3.2,3.3,2.1,1.71,1.91,1.87
6,1276783,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Mansfield Town,Bristol Rovers,2,1,3,"['42', '90+6']",['62'],2.35,3.15,3.05,2.15,1.69,1.95,1.83
7,1276784,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Northampton Town,Port Vale,1,0,1,['23'],[],2.3,3.05,3.2,2.25,1.61,2.05,1.77
8,1276785,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Oldham Athletic,Newport County,0,1,1,[],['88'],3.05,3.35,2.25,2.0,1.8,1.87,1.91
9,1276791,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Tranmere Rovers,Walsall,1,0,1,['73'],[],2.0,3.3,3.85,2.25,1.62,2.05,1.74
10,1276789,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Scunthorpe United,Swindon Town,1,3,4,['48'],"['57', '68', '88']",2.65,3.05,2.75,2.25,1.62,2.0,1.8
11,1276790,England EFL League Two,2021/2022,2021-08-07 11:00:00,1,Stevenage,Barrow,1,0,1,['46'],[],2.25,3.2,3.25,2.23,1.58,2.1,1.71
12,1276778,England EFL League Two,2021/2022,2021-08-07 11:15:00,1,Carlisle United,Colchester United,0,0,0,[],[],2.45,3.45,2.25,2.4,1.53,2.1,1.67
13,1276803,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Walsall,Forest Green Rovers,1,3,4,['90+2'],"['20', '43', '45+3']",2.7,3.05,2.65,2.25,1.62,2.0,1.77
14,1276802,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Swindon Town,Carlisle United,1,2,3,['30'],"['13', '43']",2.65,3.25,2.6,2.1,1.71,1.91,1.87
15,1277150,England EFL League Two,2021/2022,2021-08-14 11:00:00,31,Salford City,Sutton United,0,0,0,[],[],1.87,3.4,4.25,2.2,1.67,2.05,1.77
16,1276800,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Rochdale,Scunthorpe United,0,0,0,[],[],1.65,3.8,5.25,2.1,1.71,2.1,1.69
17,1276799,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Port Vale,Tranmere Rovers,0,0,0,[],[],2.25,3.15,3.25,2.25,1.62,2.05,1.74
18,1277171,England EFL League Two,2021/2022,2021-08-14 11:00:00,33,Mansfield Town,Newport County,2,1,3,"['7', '43']",['9'],1.95,3.05,4.25,2.3,1.61,2.1,1.71
19,1276793,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Bradford City,Oldham Athletic,2,1,3,"['32', '90+8']",['90+2'],1.77,3.65,4.45,1.8,1.95,1.8,1.95
20,1276795,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Colchester United,Northampton Town,0,1,1,[],['22'],2.7,3.05,2.65,2.25,1.62,2.0,1.77
21,1276794,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Bristol Rovers,Stevenage,0,2,2,[],"['88', '90+6']",2.25,3.2,3.15,2.25,1.62,2.05,1.74
22,1276792,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Barrow,Hartlepool United,3,2,5,"['3', '47', '72']","['17', '61']",2.05,3.35,3.45,2.25,1.62,2.05,1.74
23,1276797,England EFL League Two,2021/2022,2021-08-14 11:00:00,2,Leyton Orient,Exeter City,3,0,3,"['7', '25', '77']",[],2.35,3.15,3.05,2.1,1.71,1.87,1.91
24,1276815,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Walsall,Scunthorpe United,1,1,2,['47'],['90'],1.87,3.45,4.1,2.1,1.71,1.91,1.87
25,1276812,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Rochdale,Forest Green Rovers,1,2,3,['48'],"['33', '49']",3.1,3.15,2.3,2.0,1.8,1.8,2.0
26,1276814,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Swindon Town,Tranmere Rovers,0,0,0,[],[],2.55,3.25,2.7,2.0,1.77,1.83,1.95
27,1276808,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Crawley Town,Salford City,2,1,3,"['38', '75']",['7'],3.7,3.35,2.0,2.1,1.71,2.0,1.8
28,1276811,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Port Vale,Carlisle United,0,0,0,[],[],2.35,3.15,3.0,2.2,1.65,2.0,1.8
29,1276806,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Bristol Rovers,Oldham Athletic,1,0,1,['35'],[],1.95,3.45,3.8,1.91,1.87,1.83,1.91
30,1276807,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Colchester United,Mansfield Town,1,1,2,['90+5'],['72'],3.1,3.0,2.4,2.3,1.59,2.05,1.74
31,1276805,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Bradford City,Stevenage,4,1,5,"['1', '30', '38', '88']",['17'],2.3,3.0,3.35,2.3,1.61,2.0,1.77
32,1276804,England EFL League Two,2021/2022,2021-08-17 15:45:00,3,Barrow,Exeter City,0,0,0,[],[],2.35,3.0,3.2,2.2,1.65,1.95,1.83
33,1276827,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Tranmere Rovers,Newport County,0,1,1,[],['60'],2.45,3.1,2.95,2.4,1.56,2.15,1.67
34,1276826,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Stevenage,Port Vale,1,1,2,['33'],['20'],2.6,3.0,2.85,2.3,1.61,2.0,1.77
35,1276824,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Salford City,Swindon Town,0,1,1,[],['49'],1.83,3.35,4.35,2.15,1.67,2.05,1.74
36,1276823,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Oldham Athletic,Colchester United,1,2,3,['73'],"['9', '12']",2.5,3.4,2.7,1.95,1.8,1.8,1.95
37,1276822,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Northampton Town,Rochdale,1,3,4,['21'],"['17', '73', '90+5']",1.95,3.55,3.75,1.95,1.8,1.91,1.87
38,1276821,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Mansfield Town,Bradford City,2,3,5,"['37', '52']","['19', '61', '87']",2.15,3.1,3.6,2.05,1.74,1.83,1.91
39,1276820,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Hartlepool United,Walsall,2,0,2,"['23', '57']",[],2.25,3.2,3.2,2.1,1.71,1.91,1.87
40,1276825,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Scunthorpe United,Sutton United,1,1,2,['51'],['84'],3.1,3.25,2.3,2.25,1.62,2.05,1.74
41,1276818,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Forest Green Rovers,Crawley Town,6,3,9,"['1', '24', '48', '67', '69', '78']","['14', '30', '86']",1.71,3.45,5.25,1.8,1.95,1.77,2.0
42,1276817,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Exeter City,Bristol Rovers,4,1,5,"['3', '15', '22', '24']",['70'],2.35,3.1,3.15,2.05,1.74,1.83,1.95
43,1276816,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Carlisle United,Leyton Orient,1,1,2,['9'],['74'],2.2,3.15,3.35,2.1,1.71,1.91,1.87
44,1276819,England EFL League Two,2021/2022,2021-08-21 11:00:00,4,Harrogate Town,Barrow,2,1,3,"['60', '81']",['17'],2.2,3.35,3.2,1.95,1.83,1.8,1.95
45,1276809,England EFL League Two,2021/2022,2021-08-24 15:45:00,3,Leyton Orient,Harrogate Town,0,2,2,[],"['8', '31']",2.4,3.1,3.0,2.1,1.71,1.91,1.87
46,1276834,England EFL League Two,2021/2022,2021-08-27 15:45:00,5,Rochdale,Colchester United,1,1,2,['61'],['40'],2.2,3.3,3.2,2.2,1.65,1.95,1.8
47,1276839,England EFL League Two,2021/2022,2021-08-28 11:00:00,5,Walsall,Stevenage,1,0,1,['5'],[],2.95,3.05,2.45,2.4,1.54,2.15,1.69
48,1276838,England EFL League Two,2021/2022,2021-08-28 11:00:00,5,Swindon Town,Mansfield Town,1,0,1,['59'],[],2.9,3.3,2.4,2.05,1.74,1.87,1.91
