Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3222181,England Premier League 2 Division One U23,2022/2023,2022-08-05 11:00:00,1,Fulham U21,West Ham United U21,3,1,4,"['41', '65', '75']",['69'],2.05,3.4,2.9,1.55,2.38,1.51,2.35
2,3222182,England Premier League 2 Division One U23,2022/2023,2022-08-05 15:00:00,1,Everton U21,Blackburn Rovers U21,2,0,2,"['42', '47']",[],2.1,3.6,2.75,1.46,2.45,0.0,0.0
3,3222183,England Premier League 2 Division One U23,2022/2023,2022-08-06 09:00:00,1,Arsenal U21,Manchester United U21,3,1,4,"['41', '46', '50']",['14'],2.3,3.5,2.55,1.41,2.53,1.39,2.7
4,3222184,England Premier League 2 Division One U23,2022/2023,2022-08-07 10:00:00,1,Liverpool U21,Manchester City U21,0,3,3,[],"['8', '62', '69']",3.74,4.04,1.75,1.36,2.7,1.42,2.6
5,3222185,England Premier League 2 Division One U23,2022/2023,2022-08-08 15:00:00,1,Crystal Palace U21,Brighton U21,3,2,5,"['8', '38', '40']","['13', '72']",2.2,3.6,2.7,1.37,2.76,1.33,3.0
6,3222186,England Premier League 2 Division One U23,2022/2023,2022-08-08 15:00:00,1,Leicester City U21,Tottenham Hotspur U21,2,2,4,"['10', '48']","['16', '67']",2.6,3.6,2.3,1.37,2.76,1.34,2.95
7,3222187,England Premier League 2 Division One U23,2022/2023,2022-08-08 15:00:00,1,Wolves U21,Chelsea U21,1,7,8,['79'],"['7', '13', '45+1', '57', '73', '82', '86']",2.0,3.3,3.0,1.44,2.51,1.5,2.51
8,3222191,England Premier League 2 Division One U23,2022/2023,2022-08-12 15:00:00,2,West Ham United U21,Arsenal U21,2,3,5,"['13', '58']","['15', '44', '55']",1.91,3.75,3.3,1.37,2.76,1.42,2.61
9,3222190,England Premier League 2 Division One U23,2022/2023,2022-08-12 15:00:00,2,Tottenham Hotspur U21,Everton U21,0,2,2,[],"['3', '32']",1.91,4.0,3.0,1.37,2.76,1.36,2.84
10,3222189,England Premier League 2 Division One U23,2022/2023,2022-08-12 15:00:00,2,Manchester United U21,Crystal Palace U21,1,5,6,['45+1'],"['6', '31', '48', '54', '87']",2.1,4.0,2.63,1.32,2.98,1.32,3.04
11,3222188,England Premier League 2 Division One U23,2022/2023,2022-08-14 10:00:00,2,Blackburn Rovers U21,Wolves U21,0,1,1,[],['85'],2.55,3.9,2.3,1.42,2.57,0.0,0.0
12,3222192,England Premier League 2 Division One U23,2022/2023,2022-08-14 10:00:00,2,Manchester City U21,Leicester City U21,3,1,4,"['22', '59', '69']",['42'],1.36,5.0,5.5,1.28,3.15,1.6,2.27
13,3222193,England Premier League 2 Division One U23,2022/2023,2022-08-14 11:00:00,2,Brighton U21,Liverpool U21,1,1,2,['86'],['89'],3.1,3.61,1.98,1.38,2.72,1.37,2.98
14,3222194,England Premier League 2 Division One U23,2022/2023,2022-08-15 15:00:00,2,Chelsea U21,Fulham U21,0,3,3,[],"['22', '39', '69']",2.3,3.6,2.5,1.43,2.54,1.39,2.89
15,3222195,England Premier League 2 Division One U23,2022/2023,2022-08-19 11:00:00,3,Fulham U21,Crystal Palace U21,2,2,4,"['15', '18']","['51', '74']",1.75,4.0,3.56,1.3,3.09,1.35,2.88
16,3222197,England Premier League 2 Division One U23,2022/2023,2022-08-19 15:00:00,3,Everton U21,Manchester United U21,2,2,4,"['30', '38']","['11', '27']",3.05,3.7,2.08,1.38,2.72,1.42,2.77
17,3222198,England Premier League 2 Division One U23,2022/2023,2022-08-19 15:00:00,3,Leicester City U21,West Ham United U21,3,1,4,"['7', '25', '66']",['32'],3.75,3.85,1.81,1.37,2.76,1.35,2.95
18,3222199,England Premier League 2 Division One U23,2022/2023,2022-08-20 10:00:00,3,Liverpool U21,Blackburn Rovers U21,1,0,1,['73'],[],1.81,4.04,3.5,1.35,2.79,0.0,0.0
19,3222196,England Premier League 2 Division One U23,2022/2023,2022-08-20 10:00:00,3,Arsenal U21,Chelsea U21,4,1,5,"['29', '33', '79', '90+1']",['43'],3.07,3.84,2.0,1.38,2.72,1.34,3.0
20,3222200,England Premier League 2 Division One U23,2022/2023,2022-08-21 08:00:00,3,Manchester City U21,Tottenham Hotspur U21,0,0,0,[],[],1.55,4.75,4.0,1.28,3.03,1.38,2.76
21,3222201,England Premier League 2 Division One U23,2022/2023,2022-08-22 15:00:00,3,Wolves U21,Brighton U21,2,0,2,"['24', '30']",[],1.98,3.78,3.17,1.41,2.54,1.4,2.7
22,3222202,England Premier League 2 Division One U23,2022/2023,2022-08-26 09:00:00,4,Crystal Palace U21,Wolves U21,2,1,3,"['15', '90+3']",['3'],2.3,3.7,2.4,1.37,2.67,1.4,2.85
23,3222204,England Premier League 2 Division One U23,2022/2023,2022-08-26 15:00:00,4,Brighton U21,Arsenal U21,2,2,4,"['3', '73']","['7', '47']",2.87,3.5,2.1,1.39,2.68,1.42,2.6
24,3222205,England Premier League 2 Division One U23,2022/2023,2022-08-26 15:00:00,4,Chelsea U21,Manchester City U21,2,2,4,"['35', '81']","['45+1', '49']",2.87,3.6,2.05,1.34,2.89,1.36,2.84
25,3222206,England Premier League 2 Division One U23,2022/2023,2022-08-26 15:00:00,4,Manchester United U21,Fulham U21,2,2,4,"['35', '90+5']","['16', '47']",3.1,3.6,1.95,1.36,2.8,1.42,2.7
26,3222207,England Premier League 2 Division One U23,2022/2023,2022-08-26 15:00:00,4,Tottenham Hotspur U21,Liverpool U21,3,3,6,"['5', '42', '44']","['53', '69', '77']",2.9,3.6,2.0,1.33,2.93,1.34,2.93
27,3222203,England Premier League 2 Division One U23,2022/2023,2022-08-27 08:00:00,4,Blackburn Rovers U21,Leicester City U21,0,4,4,[],"['2', '33', '38', '45+1']",2.0,3.5,3.0,1.35,2.84,0.0,0.0
28,3222208,England Premier League 2 Division One U23,2022/2023,2022-08-27 08:00:00,4,West Ham United U21,Everton U21,1,2,3,['76'],"['36', '78']",1.67,4.0,3.75,1.33,2.93,1.42,2.61
29,3222210,England Premier League 2 Division One U23,2022/2023,2022-09-03 08:00:00,5,Everton U21,Chelsea U21,0,2,2,[],"['46', '48']",3.75,3.9,1.7,1.36,2.8,1.4,2.68
30,3222211,England Premier League 2 Division One U23,2022/2023,2022-09-03 09:00:00,5,Arsenal U21,Blackburn Rovers U21,4,1,5,"['11', '20', '78', '90+3']",['56'],1.77,3.75,3.75,1.35,2.84,0.0,0.0
31,3222212,England Premier League 2 Division One U23,2022/2023,2022-09-03 09:00:00,5,Leicester City U21,Brighton U21,1,4,5,['26'],"['10', '22', '45', '89']",2.3,4.0,2.4,1.35,2.84,1.35,2.88
32,3222213,England Premier League 2 Division One U23,2022/2023,2022-09-03 10:00:00,5,Liverpool U21,Manchester United U21,2,2,4,"['36', '59']","['49', '56']",1.9,3.55,3.3,1.38,2.72,1.37,2.8
33,3222214,England Premier League 2 Division One U23,2022/2023,2022-09-03 10:00:00,5,Manchester City U21,West Ham United U21,4,1,5,"['50', '57', '86', '90']",['52'],1.63,4.1,4.2,1.31,3.04,1.38,2.76
