Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,England Championship,2022/2023,2022-07-29 16:00:00,1,Huddersfield Town,Burnley,0,1,1,[],['18'],2.5,3.25,2.8,1.89,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,England Championship,2022/2023,2022-07-30 11:00:00,1,Rotherham United,Swansea City,1,1,2,['16'],['38'],3.37,3.51,2.19,1.93,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,England Championship,2022/2023,2022-07-30 11:00:00,1,Millwall,Stoke City,2,0,2,"['12', '65']",[],2.07,3.46,3.72,2.03,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,England Championship,2022/2023,2022-07-30 11:00:00,1,Luton Town,Birmingham City,0,0,0,[],[],1.93,3.65,4.03,1.92,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,England Championship,2022/2023,2022-07-30 11:00:00,1,Wigan Athletic,Preston North End,0,0,0,[],[],2.34,3.18,3.37,2.03,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,England Championship,2022/2023,2022-07-30 11:00:00,1,Cardiff City,Norwich City,1,0,1,['49'],[],3.17,3.38,2.34,1.93,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,England Championship,2022/2023,2022-07-30 11:00:00,1,Blackpool,Reading,1,0,1,['9'],[],2.07,3.56,3.63,1.93,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,England Championship,2022/2023,2022-07-30 11:00:00,1,Blackburn Rovers,Queens Park Rangers,1,0,1,['34'],[],2.12,3.54,3.51,1.93,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,England Championship,2022/2023,2022-07-30 11:00:00,1,Hull City,Bristol City,2,1,3,"['72', '90+4']",['30'],1.97,3.55,3.96,1.99,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,England Championship,2022/2023,2022-07-30 13:30:00,1,Middlesbrough,West Bromwich Albion,1,1,2,['10'],['51'],2.28,3.48,3.2,1.92,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,England Championship,2022/2023,2022-07-31 08:00:00,1,Sunderland,Coventry City,1,1,2,['12'],['84'],2.6,3.35,2.7,1.98,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
