Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,AFC Wimbledon,Gillingham,2,0,2,"['15', '71']",[],2.22,3.29,3.26,1.91,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Walsall,Hartlepool United,4,0,4,"['21', '27', '58', '73']",[],1.89,3.42,4.11,2.0,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Tranmere Rovers,Stevenage,1,2,3,['51'],"['40', '84']",1.91,3.43,4.03,2.3,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Sutton United,Newport County,1,1,2,['24'],['38'],2.2,3.44,3.17,1.96,1.8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Salford City,Mansfield Town,2,0,2,"['5', '28']",[],2.24,3.1,3.44,2.0,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Rochdale,Crewe Alexandra,1,2,3,['69'],"['14', '22']",2.25,3.11,3.39,1.75,1.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Stockport County,Barrow,2,3,5,"['49', '70']","['6', '20', '33']",1.57,3.9,5.75,1.75,2.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Leyton Orient,Grimsby Town,2,0,2,"['49', '56']",[],1.93,3.42,3.93,1.85,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
9,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Harrogate Town,Swindon Town,3,0,3,"['43', '51', '76']",[],2.59,3.53,2.56,1.89,1.53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,England EFL League Two,2022/2023,2022-07-30 11:00:00,1,Carlisle United,Crawley Town,1,0,1,['5'],[],2.23,3.13,3.42,1.85,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
