Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,England League Cup,2021/2022,2021-07-31 11:00:00,0,AFC Bournemouth,Milton Keynes Dons,5,0,5,"['35', '47', '72', '80', '83']",[],1.5,4.5,6.0,1.57,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,England League Cup,2021/2022,2021-08-01 09:00:00,0,Sheffield Wednesday,Huddersfield Town,0,0,0,[],[],2.4,3.2,3.1,2.25,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,England League Cup,2021/2022,2021-08-10 15:00:00,0,Cardiff City,Sutton United,3,2,5,"['44', '50', '84']","['4', '90']",1.5,4.2,6.5,2.13,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,England League Cup,2021/2022,2021-08-10 15:00:00,0,Hartlepool United,Crewe Alexandra,0,1,1,[],['50'],2.88,3.5,2.38,1.92,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,England League Cup,2021/2022,2021-08-10 15:30:00,0,Crawley Town,Gillingham,2,2,4,"['55', '90+7']","['3', '90+5']",2.6,3.3,2.7,2.05,1.75,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,England League Cup,2021/2022,2021-08-10 15:45:00,0,Hull City,Wigan Athletic,1,1,2,['55'],['50'],1.7,4.0,4.75,1.83,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
7,England League Cup,2021/2022,2021-08-10 15:45:00,0,Exeter City,Wycombe Wanderers,0,0,0,[],[],3.75,3.5,2.0,1.88,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,England League Cup,2021/2022,2021-08-10 15:45:00,0,Ipswich Town,Newport County,0,1,1,[],['4'],1.67,3.75,5.25,2.31,2.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,England League Cup,2021/2022,2021-08-10 15:45:00,0,Stevenage,Luton Town,2,2,4,"['2', '26']","['5', '40']",3.75,3.4,2.05,2.15,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,England League Cup,2021/2022,2021-08-10 15:45:00,0,Millwall,Portsmouth,2,1,3,"['21', '27']",['4'],1.91,3.5,4.2,2.0,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,England League Cup,2021/2022,2021-08-10 15:45:00,0,Birmingham City,Colchester United,1,0,1,['75'],[],1.65,3.75,5.5,2.15,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
