Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,England Premier League 2 Division Two U23,2021/2022,2021-08-13 15:00:00,1,Aston Villa U23,Nottingham Forest U23,5,2,7,"['40', '47', '50', '52', '89']","['9', '25']",1.91,3.75,3.1,1.44,1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,England Premier League 2 Division Two U23,2021/2022,2021-08-15 10:00:00,1,Southampton U23,Norwich City U23,0,3,3,[],"['18', '31', '55']",2.1,3.3,3.0,1.69,1.61,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Newcastle United U23,Reading U23,1,1,2,['25'],['78'],1.97,3.9,3.15,1.4,1.45,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Stoke City U23,Birmingham City U23,2,1,3,"['16', '34']",['84'],1.95,3.84,3.24,1.4,1.39,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Sunderland U23,Fulham U23,3,4,7,"['37', '56', '64']","['31', '50', '75', '90+1']",2.04,3.72,3.1,1.45,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,West Bromwich Albion U23,Burnley U23,3,2,5,"['50', '64', '68']","['90+1', '90+4']",2.29,3.72,2.66,1.57,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
7,England Premier League 2 Division Two U23,2021/2022,2021-08-16 15:00:00,1,Wolves U23,Middlesbrough U23,2,1,3,"['15', '69']",['71'],3.84,4.05,1.74,1.45,1.44,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Fulham U23,West Bromwich Albion U23,3,0,3,"['11', '30', '45']",[],2.0,3.6,2.9,1.42,1.38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Middlesbrough U23,Aston Villa U23,1,2,3,['34'],"['7', '31']",1.86,3.76,3.2,1.42,1.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,England Premier League 2 Division Two U23,2021/2022,2021-08-20 15:00:00,2,Norwich City U23,Stoke City U23,0,1,1,[],['41'],2.55,3.4,2.3,2.38,1.45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,England Premier League 2 Division Two U23,2021/2022,2021-08-23 15:00:00,2,Reading U23,Wolves U23,3,0,3,"['22', '39', '83']",[],3.25,3.75,1.95,1.42,1.41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12,England Premier League 2 Division Two U23,2021/2022,2021-08-23 15:00:00,2,Nottingham Forest U23,Southampton U23,0,0,0,[],[],2.0,4.0,2.75,1.4,1.39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
