Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1585841,Estonia Meistriliiga,2022,2022-03-01 13:00:00,1,Tallinna FC Levadia,Tallinna Kalev,5,1,6,"['20', '26', '55', '87', '90+5']",['72'],1.01,10.5,25.0,1.16,4.48,3.3,1.3
2,1585842,Estonia Meistriliiga,2022,2022-03-01 15:00:00,1,Vaprus,Paide,1,3,4,['27'],"['10', '17', '41']",18.75,8.35,1.08,1.28,3.33,2.2,1.6
3,1585843,Estonia Meistriliiga,2022,2022-03-02 13:00:00,1,Nõmme Kalju,Kuressaare,2,0,2,"['55', '89']",[],1.41,4.22,6.5,1.65,2.12,2.05,1.68
4,1585844,Estonia Meistriliiga,2022,2022-03-02 14:30:00,1,Tammeka,Tallinna FC Flora,0,4,4,[],"['8', '10', '56', '65']",12.0,5.95,1.18,1.52,2.36,2.2,1.58
5,1585845,Estonia Meistriliiga,2022,2022-03-02 15:30:00,1,Legion,Trans,0,2,2,[],"['27', '76']",7.3,4.65,1.37,1.68,2.05,1.98,1.74
6,1585846,Estonia Meistriliiga,2022,2022-03-05 09:30:00,2,Kuressaare,Trans,1,2,3,['74'],"['86', '88']",2.82,3.14,2.45,1.94,1.88,1.85,1.91
7,1585847,Estonia Meistriliiga,2022,2022-03-05 12:00:00,2,Vaprus,Tallinna FC Levadia,0,8,8,[],"['24', '30', '47', '58', '62', '87', '88', '90']",14.0,8.75,1.1,1.19,4.16,2.25,1.61
8,1585848,Estonia Meistriliiga,2022,2022-03-05 14:30:00,2,Legion,Tammeka,1,1,2,['33'],['49'],2.77,3.6,2.29,1.69,2.05,1.81,1.91
9,1585849,Estonia Meistriliiga,2022,2022-03-06 09:30:00,2,Tallinna FC Flora,Tallinna Kalev,7,1,8,"['17', '25', '32', '59', '61', '69', '76']",['4'],1.01,19.0,50.0,1.11,5.7,3.44,1.27
10,1585850,Estonia Meistriliiga,2022,2022-03-06 12:15:00,2,Paide,Nõmme Kalju,2,3,5,"['34', '85']","['16', '42', '87']",1.75,4.0,3.72,1.47,2.5,1.49,2.54
11,1585851,Estonia Meistriliiga,2022,2022-03-12 09:30:00,3,Tallinna Kalev,Kuressaare,0,3,3,[],"['56', '59', '61']",5.0,4.0,1.5,1.57,2.25,1.68,2.07
12,1585852,Estonia Meistriliiga,2022,2022-03-12 12:00:00,3,Trans,Tammeka,0,2,2,[],"['41', '83']",1.94,3.56,3.5,1.61,2.15,1.63,2.16
13,1585853,Estonia Meistriliiga,2022,2022-03-12 14:30:00,3,Tallinna FC Levadia,Legion,2,0,2,"['17', '86']",[],1.04,13.0,51.0,1.37,3.0,2.96,1.35
14,1585854,Estonia Meistriliiga,2022,2022-03-13 09:30:00,3,Nõmme Kalju,Vaprus,2,0,2,"['45', '85']",[],1.04,13.0,41.0,1.17,4.42,2.15,1.62
15,1585855,Estonia Meistriliiga,2022,2022-03-13 12:15:00,3,Paide,Tallinna FC Flora,1,2,3,['66'],"['14', '90+1']",2.95,3.75,2.03,1.29,3.27,1.42,2.7
16,1585856,Estonia Meistriliiga,2022,2022-03-19 09:30:00,4,Nõmme Kalju,Tallinna FC Flora,1,2,3,['12'],"['72', '78']",5.25,4.4,1.47,1.49,2.44,1.65,2.1
17,1585858,Estonia Meistriliiga,2022,2022-03-19 14:30:00,4,Legion,Kuressaare,2,2,4,"['30', '88']","['73', '84']",3.24,3.7,1.95,1.56,2.27,1.65,2.1
18,1585859,Estonia Meistriliiga,2022,2022-03-20 09:30:00,4,Vaprus,Tallinna Kalev,3,1,4,"['68', '80', '85']",['90+1'],2.25,3.6,2.65,1.46,2.52,1.46,2.55
19,1585860,Estonia Meistriliiga,2022,2022-03-20 12:15:00,4,Tammeka,Paide,1,3,4,['14'],"['36', '59', '88']",5.5,5.6,1.3,1.46,2.52,1.8,1.9
20,1585861,Estonia Meistriliiga,2022,2022-04-01 13:00:00,5,Tallinna Kalev,Paide,0,3,3,[],"['52', '60', '81']",12.0,6.5,1.15,1.28,3.3,1.9,1.86
21,1585862,Estonia Meistriliiga,2022,2022-04-02 08:30:00,5,Legion,Nõmme Kalju,2,4,6,"['36', '85']","['17', '44', '45+1', '89']",3.67,3.77,1.76,1.31,3.35,2.05,1.7
22,1585863,Estonia Meistriliiga,2022,2022-04-02 13:30:00,5,Tallinna FC Levadia,Tammeka,4,0,4,"['9', '12', '77', '82']",[],1.12,7.25,15.0,1.29,3.27,2.2,1.6
23,1585864,Estonia Meistriliiga,2022,2022-04-03 08:30:00,5,Tallinna FC Flora,Trans,1,0,1,['22'],[],1.1,6.8,14.0,1.39,2.76,2.2,1.6
24,1585865,Estonia Meistriliiga,2022,2022-04-03 11:15:00,5,Kuressaare,Vaprus,3,2,5,"['14', '32', '45+2']","['66', '90+2']",1.67,3.7,4.0,1.59,2.22,1.5,2.4
25,1585866,Estonia Meistriliiga,2022,2022-04-09 08:30:00,6,Tallinna FC Flora,Legion,2,0,2,"['7', '53']",[],1.07,9.5,26.0,1.39,2.77,2.5,1.48
26,1585867,Estonia Meistriliiga,2022,2022-04-09 11:00:00,6,Trans,Vaprus,3,1,4,"['18', '73', '81']",['90+2'],1.34,4.6,6.25,1.6,2.3,1.8,1.9
27,1585868,Estonia Meistriliiga,2022,2022-04-09 13:30:00,6,Tammeka,Kuressaare,1,0,1,['16'],[],2.4,3.45,2.4,1.53,2.4,1.45,2.6
28,1585869,Estonia Meistriliiga,2022,2022-04-10 08:30:00,6,Nõmme Kalju,Tallinna Kalev,2,1,3,"['28', '33']",['45+1'],1.14,6.2,11.0,1.29,3.27,2.0,1.7
29,1585870,Estonia Meistriliiga,2022,2022-04-10 11:15:00,6,Paide,Tallinna FC Levadia,0,1,1,[],['90+3'],2.8,3.5,2.08,1.53,2.4,1.48,2.45
30,1585871,Estonia Meistriliiga,2022,2022-04-12 12:00:00,7,Kuressaare,Tallinna FC Flora,0,3,3,[],"['31', '58', '80']",36.0,9.0,1.03,1.29,3.27,1.86,1.83
31,1585872,Estonia Meistriliiga,2022,2022-04-12 14:00:00,7,Vaprus,Tammeka,1,2,3,['76'],"['32', '78']",4.65,4.45,1.56,1.53,2.34,1.52,2.35
32,1585873,Estonia Meistriliiga,2022,2022-04-13 11:30:00,7,Paide,Legion,5,0,5,"['2', '12', '71', '72', '90+2']",[],1.09,8.75,19.5,1.38,2.81,2.15,1.6
33,1585874,Estonia Meistriliiga,2022,2022-04-13 12:00:00,7,Trans,Tallinna Kalev,5,0,5,"['4', '16', '54', '77', '88']",[],1.37,4.6,6.25,1.6,2.23,1.74,1.95
34,1585875,Estonia Meistriliiga,2022,2022-04-13 13:30:00,7,Tallinna FC Levadia,Nõmme Kalju,1,1,2,['52'],['41'],1.55,4.0,4.75,1.61,2.18,1.65,2.1
35,1585876,Estonia Meistriliiga,2022,2022-04-16 08:30:00,8,Vaprus,Tallinna FC Flora,0,2,2,[],"['34', '65']",24.0,13.0,1.04,1.17,4.42,2.39,1.55
