Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Estonia Meistriliiga,2022,2022-03-01 13:00:00,1,Tallinna FC Levadia,Tallinna Kalev,5,1,6,"['20', '26', '55', '87', '90+5']",['72'],1.01,10.5,25.0,1.16,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,Estonia Meistriliiga,2022,2022-03-01 15:00:00,1,Vaprus,Paide,1,3,4,['27'],"['10', '17', '41']",18.75,8.35,1.08,1.28,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3,Estonia Meistriliiga,2022,2022-03-02 13:00:00,1,Nõmme Kalju,Kuressaare,2,0,2,"['55', '89']",[],1.41,4.22,6.5,1.65,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Estonia Meistriliiga,2022,2022-03-02 14:30:00,1,Tammeka,Tallinna FC Flora,0,4,4,[],"['8', '10', '56', '65']",12.0,5.95,1.18,1.52,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,Estonia Meistriliiga,2022,2022-03-02 15:30:00,1,Legion,Trans,0,2,2,[],"['27', '76']",7.3,4.65,1.37,1.68,1.98,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Estonia Meistriliiga,2022,2022-03-05 09:30:00,2,Kuressaare,Trans,1,2,3,['74'],"['86', '88']",2.82,3.14,2.45,1.94,1.85,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Estonia Meistriliiga,2022,2022-03-05 12:00:00,2,Vaprus,Tallinna FC Levadia,0,8,8,[],"['24', '30', '47', '58', '62', '87', '88', '90']",14.0,8.75,1.1,1.19,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,Estonia Meistriliiga,2022,2022-03-05 14:30:00,2,Legion,Tammeka,1,1,2,['33'],['49'],2.77,3.6,2.29,1.69,1.81,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Estonia Meistriliiga,2022,2022-03-06 09:30:00,2,Tallinna FC Flora,Tallinna Kalev,7,1,8,"['17', '25', '32', '59', '61', '69', '76']",['4'],1.01,19.0,50.0,1.11,3.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Estonia Meistriliiga,2022,2022-03-06 12:15:00,2,Paide,Nõmme Kalju,2,3,5,"['34', '85']","['16', '42', '87']",1.75,4.0,3.72,1.47,1.49,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11,Estonia Meistriliiga,2022,2022-03-12 09:30:00,3,Tallinna Kalev,Kuressaare,0,3,3,[],"['56', '59', '61']",5.0,4.0,1.5,1.57,1.68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Estonia Meistriliiga,2022,2022-03-12 12:00:00,3,Trans,Tammeka,0,2,2,[],"['41', '83']",1.94,3.56,3.5,1.61,1.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Estonia Meistriliiga,2022,2022-03-12 14:30:00,3,Tallinna FC Levadia,Legion,2,0,2,"['17', '86']",[],1.04,13.0,51.0,1.37,2.96,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Estonia Meistriliiga,2022,2022-03-13 09:30:00,3,Nõmme Kalju,Vaprus,2,0,2,"['45', '85']",[],1.04,13.0,41.0,1.17,2.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Estonia Meistriliiga,2022,2022-03-13 12:15:00,3,Paide,Tallinna FC Flora,1,2,3,['66'],"['14', '90+1']",2.95,3.75,2.03,1.29,1.42,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16,Estonia Meistriliiga,2022,2022-03-19 09:30:00,4,Nõmme Kalju,Tallinna FC Flora,1,2,3,['12'],"['72', '78']",5.25,4.4,1.47,1.49,1.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
