Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1269834,Europe UEFA Champions League,2021/2022,2021-06-22 15:00:00,1,S.S. Folgore,Prishtina,0,2,2,[],"['51', '90+1']",10.0,6.0,1.25,1.72,2.13,3.45,1.26
2,1269835,Europe UEFA Champions League,2021/2022,2021-06-22 15:00:00,1,HB,Inter Club d'Escaldes,0,1,1,[],['61'],1.37,4.7,7.5,1.76,1.92,2.4,1.53
3,1270839,Europe UEFA Champions League,2021/2022,2021-06-25 15:00:00,0,Prishtina,Inter Club d'Escaldes,2,0,2,"['44', '58']",[],1.45,4.0,6.5,1.8,1.96,2.35,1.56
4,1272400,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,Ferencváros,Prishtina,3,0,3,"['71', '74', '78']",[],1.09,10.25,20.0,1.47,2.65,2.8,1.4
5,1269840,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,HJK,Budućnost,3,1,4,"['5', '7', '13']",['35'],1.25,6.0,10.75,1.62,2.25,2.15,1.67
6,1269848,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,Tallinna FC Flora,Hibernians,2,0,2,"['75', '89']",[],1.67,3.8,5.25,1.91,1.87,1.91,1.83
7,1269841,Europe UEFA Champions League,2021/2022,2021-07-06 14:00:00,0,CFR Cluj,Borac Banja Luka,3,1,4,"['11', '28', '60']",['45+1'],1.33,4.85,9.5,1.81,1.91,2.55,1.48
8,1269847,Europe UEFA Champions League,2021/2022,2021-07-06 14:00:00,0,Žalgiris,Linfield,3,1,4,"['38', '45', '66']",['54'],1.58,3.62,4.77,1.78,1.98,2.5,1.49
9,1269850,Europe UEFA Champions League,2021/2022,2021-07-06 14:30:00,0,Fola Esch,Lincoln Red Imps,2,2,4,"['65', '66']","['26', '50']",1.33,4.5,7.0,1.58,2.28,2.05,1.74
10,1269842,Europe UEFA Champions League,2021/2022,2021-07-06 15:00:00,0,Shkendija,Mura,0,1,1,[],['28'],2.7,3.3,2.7,1.83,2.0,1.83,1.91
11,1269838,Europe UEFA Champions League,2021/2022,2021-07-07 13:00:00,0,FK Bodo - Glimt,Legia Warszawa,2,3,5,"['45+1', '78']","['2', '41', '61']",2.1,3.5,3.4,1.8,2.0,1.71,2.1
12,1269844,Europe UEFA Champions League,2021/2022,2021-07-07 13:00:00,0,Dinamo Tbilisi,Neftçi,1,2,3,['36'],"['24', '58']",2.7,2.8,2.65,2.2,1.54,1.95,1.71
13,1269836,Europe UEFA Champions League,2021/2022,2021-07-07 13:30:00,0,Slovan Bratislava,Shamrock Rovers,2,0,2,"['28', '47']",[],1.43,4.5,7.25,1.95,1.83,2.2,1.62
14,1269849,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Dinamo Zagreb,Valur,3,2,5,"['8', '41', '71']","['88', '90']",1.12,8.5,29.0,1.55,2.3,2.4,1.53
15,1269845,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Maccabi Haifa,Kairat,1,1,2,['45'],['76'],1.73,3.6,4.4,1.8,1.9,1.71,1.95
16,1269843,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Teuta Durrës,Sheriff,0,4,4,[],"['14', '45+1', '56', '89']",3.18,3.38,2.2,1.99,1.81,2.0,1.71
17,1269837,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Malmö FF,Riga,1,0,1,['50'],[],1.16,6.75,15.0,1.53,2.35,2.5,1.49
18,1269846,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Ludogorets,Shakhtyor,1,0,1,['90+2'],[],1.57,4.0,6.5,1.85,1.95,2.0,1.77
19,1269839,Europe UEFA Champions League,2021/2022,2021-07-07 15:00:00,0,Connah's Quay,Alashkert,2,2,4,"['19', '79']","['21', '44']",4.33,3.4,1.93,1.67,2.2,1.95,1.74
20,1269864,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Hibernians,Tallinna FC Flora,0,3,3,[],"['25', '33', '87']",3.5,3.3,2.1,2.15,1.69,1.95,1.8
21,1269851,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Lincoln Red Imps,Fola Esch,5,0,5,"['18', '39', '58', '67', '73']",[],3.3,3.75,2.05,1.62,2.25,1.56,2.35
22,1269853,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Riga,Malmö FF,1,1,2,['57'],['33'],8.25,4.85,1.36,1.74,2.05,2.15,1.67
23,1269859,Europe UEFA Champions League,2021/2022,2021-07-13 14:00:00,0,Sheriff,Teuta Durrës,1,0,1,['6'],[],1.28,5.25,10.5,1.65,2.1,2.15,1.65
24,1272401,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Prishtina,Ferencváros,1,3,4,['67'],"['49', '80', '86']",6.25,4.2,1.48,1.65,2.1,1.83,1.91
25,1269858,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Mura,Shkendija,5,0,5,"['25', '45+1', '54', '64', '87']",[],2.05,3.4,3.5,1.91,1.8,2.0,1.77
26,1269857,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Borac Banja Luka,CFR Cluj,2,1,3,"['60', '64']",['118'],5.5,3.6,1.65,1.7,2.05,1.91,1.87
27,1269856,Europe UEFA Champions League,2021/2022,2021-07-13 15:30:00,0,Budućnost,HJK,0,4,4,[],"['6', '35', '39', '49']",3.5,3.4,2.05,1.85,1.85,1.67,2.15
28,1269863,Europe UEFA Champions League,2021/2022,2021-07-13 15:45:00,0,Linfield,Žalgiris,1,2,3,['66'],"['17', '44']",3.3,3.4,2.1,1.8,1.9,1.69,2.1
29,1269852,Europe UEFA Champions League,2021/2022,2021-07-13 16:00:00,0,Shamrock Rovers,Slovan Bratislava,2,1,3,"['16', '64']",['72'],3.4,3.2,2.15,2.1,1.65,1.8,1.95
30,1269862,Europe UEFA Champions League,2021/2022,2021-07-13 16:30:00,0,Shakhtyor,Ludogorets,0,1,1,[],['70'],3.6,3.45,2.05,2.1,1.71,1.95,1.8
31,1269865,Europe UEFA Champions League,2021/2022,2021-07-13 17:00:00,0,Valur,Dinamo Zagreb,0,2,2,[],"['31', '88']",9.0,5.75,1.29,1.45,2.65,1.87,1.91
32,1269861,Europe UEFA Champions League,2021/2022,2021-07-14 11:00:00,0,Kairat,Maccabi Haifa,2,0,2,"['10', '66']",[],0.0,0.0,0.0,1.93,1.82,1.83,1.91
33,1269855,Europe UEFA Champions League,2021/2022,2021-07-14 12:00:00,0,Alashkert,Connah's Quay,1,0,1,['112'],[],1.54,3.66,7.79,2.15,1.67,2.15,1.65
34,1269860,Europe UEFA Champions League,2021/2022,2021-07-14 14:00:00,0,Neftçi,Dinamo Tbilisi,2,1,3,"['58', '68']",['51'],2.05,3.3,3.6,2.1,1.65,2.1,1.69
35,1269854,Europe UEFA Champions League,2021/2022,2021-07-14 15:00:00,0,Legia Warszawa,FK Bodo - Glimt,2,0,2,"['40', '90+4']",[],2.05,3.4,3.5,1.65,2.1,1.51,2.45
36,1294842,Europe UEFA Champions League,2021/2022,2021-07-20 12:00:00,0,Alashkert,Sheriff,0,1,1,[],['84'],3.6,2.95,2.2,2.15,1.64,2.1,1.71
37,1291075,Europe UEFA Champions League,2021/2022,2021-07-20 13:00:00,0,Lincoln Red Imps,CFR Cluj,1,2,3,['45'],"['52', '58']",11.0,6.5,1.16,1.54,2.2,2.35,1.49
38,1291073,Europe UEFA Champions League,2021/2022,2021-07-20 15:00:00,0,Dinamo Zagreb,Omonia Nicosia,2,0,2,"['65', '81']",[],1.31,4.5,7.6,1.93,1.93,2.3,1.57
39,1291077,Europe UEFA Champions League,2021/2022,2021-07-20 15:00:00,0,Ferencváros,Žalgiris,2,0,2,"['25', '39']",[],1.29,4.6,7.7,1.88,1.98,2.05,1.71
40,1269867,Europe UEFA Champions League,2021/2022,2021-07-20 15:30:00,0,Rapid Wien,Sparta Praha,2,1,3,"['63', '70']",['3'],2.25,3.3,3.2,1.93,1.93,1.62,2.2
41,1269866,Europe UEFA Champions League,2021/2022,2021-07-20 15:45:00,0,Celtic,Midtjylland,1,1,2,['39'],['66'],2.11,3.2,3.0,1.93,1.93,1.91,1.87
42,1294843,Europe UEFA Champions League,2021/2022,2021-07-21 11:00:00,0,Kairat,Red Star Belgrade,2,1,3,"['24', '79']",['56'],3.4,3.3,2.0,2.18,1.61,2.0,1.69
43,1291076,Europe UEFA Champions League,2021/2022,2021-07-21 14:00:00,0,Malmö FF,HJK,2,1,3,"['45+1', '75']",['68'],1.48,4.0,7.25,1.95,1.8,2.1,1.69
44,1291078,Europe UEFA Champions League,2021/2022,2021-07-21 15:00:00,0,Mura,Ludogorets,0,0,0,[],[],2.74,2.91,2.28,2.28,1.58,2.1,1.69
45,1291074,Europe UEFA Champions League,2021/2022,2021-07-21 15:30:00,0,Slovan Bratislava,Young Boys,0,0,0,[],[],2.84,3.54,1.94,1.68,2.05,1.65,2.2
46,1294844,Europe UEFA Champions League,2021/2022,2021-07-21 16:00:00,0,Olympiakos Piraeus,Neftçi,1,0,1,['29'],[],1.22,5.61,7.34,1.61,2.2,2.3,1.51
47,1269868,Europe UEFA Champions League,2021/2022,2021-07-21 16:00:00,0,PSV,Galatasaray,5,1,6,"['2', '35', '51', '84', '88']",['42'],1.89,3.3,3.16,1.95,1.83,1.77,2.0
48,1294841,Europe UEFA Champions League,2021/2022,2021-07-21 16:00:00,0,Legia Warszawa,Tallinna FC Flora,2,1,3,"['3', '90+1']",['53'],1.23,5.61,6.95,1.8,1.95,2.5,1.49
49,1294845,Europe UEFA Champions League,2021/2022,2021-07-27 13:00:00,0,Tallinna FC Flora,Legia Warszawa,0,1,1,[],['67'],5.75,3.85,1.61,2.0,1.77,2.1,1.69
50,1291954,Europe UEFA Champions League,2021/2022,2021-07-27 13:00:00,0,Omonia Nicosia,Dinamo Zagreb,0,1,1,[],['78'],3.0,3.45,2.3,2.05,1.74,1.87,1.87
51,1291079,Europe UEFA Champions League,2021/2022,2021-07-27 13:00:00,0,HJK,Malmö FF,2,2,4,"['1', '78']","['11', '76']",3.4,3.4,2.1,1.95,1.8,1.83,1.91
52,1291080,Europe UEFA Champions League,2021/2022,2021-07-27 14:00:00,0,Žalgiris,Ferencváros,1,3,4,['90+3'],"['44', '72', '90+4']",3.6,3.5,2.0,1.74,2.1,1.71,2.1
