Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2415585,Europe UEFA Europa Conference League,2022/2023,2022-07-05 14:00:00,0,Gzira United,Atlètic Club d'Escaldes,1,1,2,['46'],['64'],1.34,3.6,2.98,1.95,1.85,1.83,1.83
2,2415591,Europe UEFA Europa Conference League,2022/2023,2022-07-05 14:00:00,0,St Joseph's,Larne,0,0,0,[],[],2.85,3.2,1.4,1.85,1.95,1.73,2.0
3,2415567,Europe UEFA Europa Conference League,2022/2023,2022-07-06 12:00:00,0,Inter Turku,Drita,1,0,1,['77'],[],1.43,3.4,2.62,2.0,1.8,1.83,1.83
4,2415597,Europe UEFA Europa Conference League,2022/2023,2022-07-06 15:00:00,0,Víkingur,Europa,1,0,1,['51'],[],1.85,3.45,4.0,1.68,2.06,1.67,2.1
5,2415563,Europe UEFA Europa Conference League,2022/2023,2022-07-07 12:00:00,0,Alashkert,Hamrun Spartans,1,0,1,['25'],[],1.25,3.1,3.75,2.4,1.53,2.38,1.53
6,2415593,Europe UEFA Europa Conference League,2022/2023,2022-07-07 12:00:00,0,UE Santa Coloma,Breidablik,0,1,1,[],['14'],5.7,4.5,1.1,1.62,2.25,1.83,1.83
7,2415619,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Tallinna FC Flora,SJK,1,0,1,['21'],[],1.4,3.5,2.8,2.25,1.62,2.1,1.67
8,2415613,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Pogoń Szczecin,KR,4,1,5,"['7', '16', '40', '56']",['71'],1.04,7.5,10.0,1.48,2.6,2.38,1.53
9,2415607,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Saburtalo,Partizani Tirana,0,1,1,[],['47'],1.65,3.1,2.15,2.25,1.62,1.91,1.8
10,2415571,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Panevėžys,Milsami,0,0,0,[],[],1.75,3.4,4.0,2.05,1.75,1.91,1.8
11,2415579,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,KuPS,Dila,2,0,2,"['32', '90+1']",[],1.2,3.75,4.33,2.0,1.8,2.1,1.67
12,2415587,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Borac Banja Luka,B36,2,0,2,"['38', '84']",[],1.06,5.0,8.0,1.73,2.08,2.38,1.53
13,2415617,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Magpies,Crusaders,2,1,3,"['44', '49']",['63'],3.85,5.25,1.22,1.48,2.6,1.73,2.0
