Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1328056,Europe UEFA Europa League,2021/2022,2021-08-03 14:00:00,0,Neftçi,HJK,2,2,4,"['59', '80']","['61', '65']",2.38,3.25,3.13,1.65,2.3,1.95,1.8
2,1328057,Europe UEFA Europa League,2021/2022,2021-08-05 11:00:00,0,Kairat,Alashkert,0,0,0,[],[],1.57,4.16,6.15,1.9,1.89,2.1,1.71
3,1328059,Europe UEFA Europa League,2021/2022,2021-08-05 12:45:00,0,Jablonec,Celtic,2,4,6,"['17', '85']","['12', '16', '64', '90']",3.9,3.3,1.95,2.1,1.74,1.95,1.83
4,1328058,Europe UEFA Europa League,2021/2022,2021-08-05 13:00:00,0,Omonia Nicosia,Tallinna FC Flora,1,0,1,['12'],[],1.47,3.95,7.5,2.2,1.65,2.4,1.56
5,1328060,Europe UEFA Europa League,2021/2022,2021-08-05 13:00:00,0,Lincoln Red Imps,Slovan Bratislava,1,3,4,['73'],"['16', '48', '69']",4.95,3.75,1.67,1.91,1.87,1.87,1.91
6,1328061,Europe UEFA Europa League,2021/2022,2021-08-05 15:00:00,0,Galatasaray,St. Johnstone,1,1,2,['60'],['58'],1.28,5.0,8.5,1.72,2.0,2.3,1.59
7,1328062,Europe UEFA Europa League,2021/2022,2021-08-05 15:00:00,0,Mura,Žalgiris,0,0,0,[],[],1.78,3.2,4.5,2.0,1.72,2.05,1.74
8,1328063,Europe UEFA Europa League,2021/2022,2021-08-05 15:30:00,0,Rapid Wien,Anorthosis,3,0,3,"['35', '64', '83']",[],1.53,3.9,5.25,1.8,1.9,2.1,1.71
9,1328064,Europe UEFA Europa League,2021/2022,2021-08-10 13:00:00,0,Tallinna FC Flora,Omonia Nicosia,2,1,3,"['48', '88']",['43'],2.9,2.9,2.25,2.45,1.44,2.2,1.56
10,1328065,Europe UEFA Europa League,2021/2022,2021-08-10 15:30:00,0,Slovan Bratislava,Lincoln Red Imps,1,1,2,['38'],['90'],1.28,5.77,10.29,1.55,2.3,1.95,1.71
11,1328066,Europe UEFA Europa League,2021/2022,2021-08-12 12:00:00,0,Alashkert,Kairat,3,2,5,"['43', '50', '103']","['45+1', '61']",3.4,2.95,2.15,2.2,1.6,2.1,1.61
12,1328067,Europe UEFA Europa League,2021/2022,2021-08-12 13:00:00,0,HJK,Neftçi,3,0,3,"['46', '60', '89']",[],1.8,3.6,4.0,1.65,2.1,1.66,2.2
13,1328068,Europe UEFA Europa League,2021/2022,2021-08-12 14:00:00,0,Anorthosis,Rapid Wien,2,1,3,"['45+1', '88']",['64'],3.35,3.45,2.05,1.74,2.1,1.62,2.25
14,1328069,Europe UEFA Europa League,2021/2022,2021-08-12 14:00:00,0,Žalgiris,Mura,0,1,1,[],['12'],2.35,3.0,3.2,2.25,1.62,2.1,1.71
15,1328070,Europe UEFA Europa League,2021/2022,2021-08-12 15:00:00,0,St. Johnstone,Galatasaray,2,4,6,"['36', '90+3']","['29', '64', '70', '90+2']",4.2,3.3,1.95,1.65,2.3,2.05,1.74
16,1328071,Europe UEFA Europa League,2021/2022,2021-08-12 15:45:00,0,Celtic,Jablonec,3,0,3,"['25', '55', '72']",[],1.33,5.25,9.5,1.53,2.35,1.8,1.95
17,1350780,Europe UEFA Europa League,2021/2022,2021-08-17 16:00:00,0,Red Star Belgrade,CFR Cluj,4,0,4,"['5', '38', '68', '77']",[],1.74,3.26,3.74,2.1,1.7,2.4,1.56
18,1352849,Europe UEFA Europa League,2021/2022,2021-08-18 15:45:00,0,Celtic,AZ,2,0,2,"['11', '61']",[],1.87,4.05,3.45,1.69,2.15,1.61,2.25
19,1350779,Europe UEFA Europa League,2021/2022,2021-08-19 14:00:00,0,Slavia Praha,Legia Warszawa,2,2,4,"['33', '45+3']","['20', '37']",1.57,3.85,6.0,2.05,1.74,2.0,1.77
20,1350777,Europe UEFA Europa League,2021/2022,2021-08-19 14:00:00,0,Omonia Nicosia,Royal Antwerp FC,4,2,6,"['43', '48', '55', '84']","['26', '62']",2.6,3.15,2.7,2.2,1.65,1.95,1.8
21,1352847,Europe UEFA Europa League,2021/2022,2021-08-19 14:00:00,0,Randers,Galatasaray,1,1,2,['54'],['26'],3.0,3.25,2.35,2.1,1.71,1.83,1.95
22,1352851,Europe UEFA Europa League,2021/2022,2021-08-19 15:00:00,0,Mura,Sturm Graz,1,3,4,['3'],"['18', '60', '63']",3.3,3.4,2.1,1.94,1.88,2.15,1.67
23,1352850,Europe UEFA Europa League,2021/2022,2021-08-19 15:45:00,0,Fenerbahçe,HJK,1,0,1,['65'],[],1.31,4.25,7.75,1.8,1.9,1.95,1.83
24,1352852,Europe UEFA Europa League,2021/2022,2021-08-19 16:00:00,0,Rangers,Alashkert,1,0,1,['67'],[],1.17,7.75,16.0,1.45,2.55,2.8,1.43
25,1352848,Europe UEFA Europa League,2021/2022,2021-08-19 16:00:00,0,Rapid Wien,Zorya,3,0,3,"['29', '78', '85']",[],1.59,3.6,4.5,1.8,1.9,1.77,2.0
26,1350778,Europe UEFA Europa League,2021/2022,2021-08-19 16:00:00,0,Olympiakos Piraeus,Slovan Bratislava,3,0,3,"['37', '52', '68']",[],1.29,4.3,8.25,1.8,1.9,2.15,1.69
27,1352858,Europe UEFA Europa League,2021/2022,2021-08-26 12:00:00,0,Alashkert,Rangers,0,0,0,[],[],9.75,6.0,1.26,2.05,1.8,2.0,1.77
28,1352856,Europe UEFA Europa League,2021/2022,2021-08-26 13:00:00,0,HJK,Fenerbahçe,2,5,7,"['27', '88']","['11', '14', '52', '90+1', '90+4']",3.4,3.5,2.0,1.95,1.83,1.83,1.95
29,1352854,Europe UEFA Europa League,2021/2022,2021-08-26 13:30:00,0,Zorya,Rapid Wien,2,3,5,"['40', '86']","['10', '15', '68']",2.45,3.6,2.55,1.54,2.35,1.5,2.5
30,1352853,Europe UEFA Europa League,2021/2022,2021-08-26 15:00:00,0,Galatasaray,Randers,2,1,3,"['48', '59']",['11'],1.67,3.95,4.7,1.83,1.95,1.8,2.0
31,1352855,Europe UEFA Europa League,2021/2022,2021-08-26 15:15:00,0,AZ,Celtic,2,1,3,"['6', '26']",['3'],1.95,3.55,3.55,1.56,2.4,1.5,2.5
