Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Europe UEFA Champions League,2021/2022,2021-06-22 15:00:00,1,S.S. Folgore,Prishtina,0,2,2,[],"['51', '90+1']",10.0,6.0,1.25,1.72,3.45,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Europe UEFA Champions League,2021/2022,2021-06-22 15:00:00,1,HB,Inter Club d'Escaldes,0,1,1,[],['61'],1.37,4.7,7.5,1.76,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Europe UEFA Champions League,2021/2022,2021-06-25 15:00:00,0,Prishtina,Inter Club d'Escaldes,2,0,2,"['44', '58']",[],1.45,4.0,6.5,1.8,2.35,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,Ferencváros,Prishtina,3,0,3,"['71', '74', '78']",[],1.09,10.25,20.0,1.47,2.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,HJK,Budućnost,3,1,4,"['5', '7', '13']",['35'],1.25,6.0,10.75,1.62,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Europe UEFA Champions League,2021/2022,2021-07-06 13:00:00,0,Tallinna FC Flora,Hibernians,2,0,2,"['75', '89']",[],1.67,3.8,5.25,1.91,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7,Europe UEFA Champions League,2021/2022,2021-07-06 14:00:00,0,CFR Cluj,Borac Banja Luka,3,1,4,"['11', '28', '60']",['45+1'],1.33,4.85,9.5,1.81,2.55,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8,Europe UEFA Champions League,2021/2022,2021-07-06 14:00:00,0,Žalgiris,Linfield,3,1,4,"['38', '45', '66']",['54'],1.58,3.62,4.77,1.78,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9,Europe UEFA Champions League,2021/2022,2021-07-06 14:30:00,0,Fola Esch,Lincoln Red Imps,2,2,4,"['65', '66']","['26', '50']",1.33,4.5,7.0,1.58,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
10,Europe UEFA Champions League,2021/2022,2021-07-06 15:00:00,0,Shkendija,Mura,0,1,1,[],['28'],2.7,3.3,2.7,1.83,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Europe UEFA Champions League,2021/2022,2021-07-07 13:00:00,0,FK Bodo - Glimt,Legia Warszawa,2,3,5,"['45+1', '78']","['2', '41', '61']",2.1,3.5,3.4,1.8,1.71,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,Europe UEFA Champions League,2021/2022,2021-07-07 13:00:00,0,Dinamo Tbilisi,Neftçi,1,2,3,['36'],"['24', '58']",2.7,2.8,2.65,2.2,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,Europe UEFA Champions League,2021/2022,2021-07-07 13:30:00,0,Slovan Bratislava,Shamrock Rovers,2,0,2,"['28', '47']",[],1.43,4.5,7.25,1.95,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Dinamo Zagreb,Valur,3,2,5,"['8', '41', '71']","['88', '90']",1.12,8.5,29.0,1.55,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Maccabi Haifa,Kairat,1,1,2,['45'],['76'],1.73,3.6,4.4,1.8,1.71,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Teuta Durrës,Sheriff,0,4,4,[],"['14', '45+1', '56', '89']",3.18,3.38,2.2,1.99,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Malmö FF,Riga,1,0,1,['50'],[],1.16,6.75,15.0,1.53,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Europe UEFA Champions League,2021/2022,2021-07-07 14:00:00,0,Ludogorets,Shakhtyor,1,0,1,['90+2'],[],1.57,4.0,6.5,1.85,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Europe UEFA Champions League,2021/2022,2021-07-07 15:00:00,0,Connah's Quay,Alashkert,2,2,4,"['19', '79']","['21', '44']",4.33,3.4,1.93,1.67,1.95,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Hibernians,Tallinna FC Flora,0,3,3,[],"['25', '33', '87']",3.5,3.3,2.1,2.15,1.95,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Lincoln Red Imps,Fola Esch,5,0,5,"['18', '39', '58', '67', '73']",[],3.3,3.75,2.05,1.62,1.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Europe UEFA Champions League,2021/2022,2021-07-13 13:00:00,0,Riga,Malmö FF,1,1,2,['57'],['33'],8.25,4.85,1.36,1.74,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
23,Europe UEFA Champions League,2021/2022,2021-07-13 14:00:00,0,Sheriff,Teuta Durrës,1,0,1,['6'],[],1.28,5.25,10.5,1.65,2.15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Prishtina,Ferencváros,1,3,4,['67'],"['49', '80', '86']",6.25,4.2,1.48,1.65,1.83,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
25,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Mura,Shkendija,5,0,5,"['25', '45+1', '54', '64', '87']",[],2.05,3.4,3.5,1.91,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Europe UEFA Champions League,2021/2022,2021-07-13 15:00:00,0,Borac Banja Luka,CFR Cluj,2,1,3,"['60', '64']",['118'],5.5,3.6,1.65,1.7,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
27,Europe UEFA Champions League,2021/2022,2021-07-13 15:30:00,0,Budućnost,HJK,0,4,4,[],"['6', '35', '39', '49']",3.5,3.4,2.05,1.85,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
28,Europe UEFA Champions League,2021/2022,2021-07-13 15:45:00,0,Linfield,Žalgiris,1,2,3,['66'],"['17', '44']",3.3,3.4,2.1,1.8,1.69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29,Europe UEFA Champions League,2021/2022,2021-07-13 16:00:00,0,Shamrock Rovers,Slovan Bratislava,2,1,3,"['16', '64']",['72'],3.4,3.2,2.15,2.1,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
30,Europe UEFA Champions League,2021/2022,2021-07-13 16:30:00,0,Shakhtyor,Ludogorets,0,1,1,[],['70'],3.6,3.45,2.05,2.1,1.95,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Europe UEFA Champions League,2021/2022,2021-07-13 17:00:00,0,Valur,Dinamo Zagreb,0,2,2,[],"['31', '88']",9.0,5.75,1.29,1.45,1.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Europe UEFA Champions League,2021/2022,2021-07-14 11:00:00,0,Kairat,Maccabi Haifa,2,0,2,"['10', '66']",[],0.0,0.0,0.0,1.93,1.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
