Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Europe UEFA Europa Conference League,2022/2023,2022-07-05 14:00:00,0,Gzira United,Atlètic Club d'Escaldes,1,1,2,['46'],['64'],1.34,3.6,2.98,1.95,1.83,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Europe UEFA Europa Conference League,2022/2023,2022-07-05 14:00:00,0,St Joseph's,Larne,0,0,0,[],[],2.85,3.2,1.4,1.85,1.73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Europe UEFA Europa Conference League,2022/2023,2022-07-06 12:00:00,0,Inter Turku,Drita,1,0,1,['77'],[],1.43,3.4,2.62,2.0,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Europe UEFA Europa Conference League,2022/2023,2022-07-06 15:00:00,0,Víkingur,Europa,1,0,1,['51'],[],1.85,3.45,4.0,1.68,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Europe UEFA Europa Conference League,2022/2023,2022-07-07 12:00:00,0,Alashkert,Hamrun Spartans,1,0,1,['25'],[],1.25,3.1,3.75,2.4,2.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Europe UEFA Europa Conference League,2022/2023,2022-07-07 12:00:00,0,UE Santa Coloma,Breidablik,0,1,1,[],['14'],5.7,4.5,1.1,1.62,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Tallinna FC Flora,SJK,1,0,1,['21'],[],1.4,3.5,2.8,2.25,2.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Pogoń Szczecin,KR,4,1,5,"['7', '16', '40', '56']",['71'],1.04,7.5,10.0,1.48,2.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Saburtalo,Partizani Tirana,0,1,1,[],['47'],1.65,3.1,2.15,2.25,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Panevėžys,Milsami,0,0,0,[],[],1.75,3.4,4.0,2.05,1.91,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,KuPS,Dila,2,0,2,"['32', '90+1']",[],1.2,3.75,4.33,2.0,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Borac Banja Luka,B36,2,0,2,"['38', '84']",[],1.06,5.0,8.0,1.73,2.38,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:00:00,0,Magpies,Crusaders,2,1,3,"['44', '49']",['63'],3.85,5.25,1.22,1.48,1.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,Europe UEFA Europa Conference League,2022/2023,2022-07-07 13:30:00,0,Ružomberok,Kauno Žalgiris,2,0,2,"['13', '68']",[],1.11,4.33,6.0,1.85,2.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Europe UEFA Europa Conference League,2022/2023,2022-07-07 14:00:00,0,Floriana,Petrocub,0,0,0,[],[],3.15,3.5,1.32,1.95,1.83,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Europe UEFA Europa Conference League,2022/2023,2022-07-07 14:00:00,0,Sfîntul Gheorghe,Mura,1,2,3,['89'],"['65', '73']",4.15,3.8,1.2,1.95,1.91,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Europe UEFA Europa Conference League,2022/2023,2022-07-07 14:00:00,0,Olimpija,Differdange 03,1,1,2,['62'],['10'],1.14,5.0,5.0,1.65,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Europe UEFA Europa Conference League,2022/2023,2022-07-07 14:00:00,0,Dinamo Tbilisi,Paide,2,3,5,"['22', '65']","['61', '81', '89']",1.07,5.5,7.5,1.6,2.2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
19,Europe UEFA Europa Conference League,2022/2023,2022-07-07 15:00:00,0,Gjilani,Liepāja,1,0,1,['37'],[],4.25,3.73,1.77,1.76,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Europe UEFA Europa Conference League,2022/2023,2022-07-07 15:00:00,0,Laçi,Iskra,0,0,0,[],[],1.7,3.78,4.62,1.71,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
