Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Europe UEFA Europa League,2022/2023,2022-08-04 13:00:00,0,AEK Larnaca,Partizan,2,1,3,"['34', '70']",['18'],3.4,3.3,2.1,2.09,1.9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,Europe UEFA Europa League,2022/2023,2022-08-04 14:00:00,0,Malmö FF,F91 Dudelange,3,0,3,"['54', '81', '85']",[],1.25,6.0,10.0,1.68,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,Europe UEFA Europa League,2022/2023,2022-08-04 14:00:00,0,Fenerbahçe,Slovácko,3,0,3,"['17', '45+2', '81']",[],1.32,4.9,9.0,1.73,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,Europe UEFA Europa League,2022/2023,2022-08-04 15:15:00,0,Maribor,HJK,0,2,2,[],"['47', '64']",2.2,3.0,3.5,2.38,2.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Europe UEFA Europa League,2022/2023,2022-08-04 15:45:00,0,Linfield,Zürich,0,2,2,[],"['8', '64']",6.75,4.25,1.47,1.61,1.85,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Europe UEFA Europa League,2022/2023,2022-08-04 16:00:00,0,Shamrock Rovers,Shkupi,3,1,4,"['13', '29', '90+7']",['77'],2.0,3.35,3.65,2.14,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,Europe UEFA Europa League,2022/2023,2022-08-04 16:00:00,0,Olympiakos Piraeus,Slovan Bratislava,1,1,2,['86'],['63'],1.38,4.5,8.0,1.74,2.05,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
8,Europe UEFA Europa League,2022/2023,2022-08-09 16:00:00,0,Shkupi,Shamrock Rovers,1,2,3,['90+4'],"['65', '85']",2.6,3.0,2.9,2.05,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,Europe UEFA Europa League,2022/2023,2022-08-11 13:00:00,0,HJK,Maribor,1,0,1,['54'],[],1.91,3.6,3.8,2.11,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Europe UEFA Europa League,2022/2023,2022-08-11 14:00:00,0,Zürich,Linfield,3,0,3,"['11', '25', '84']",[],1.14,7.5,17.0,1.49,2.38,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Europe UEFA Europa League,2022/2023,2022-08-11 14:00:00,0,Slovácko,Fenerbahçe,1,1,2,['58'],['56'],3.6,3.6,1.95,1.9,1.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Europe UEFA Europa League,2022/2023,2022-08-11 15:00:00,0,F91 Dudelange,Malmö FF,2,2,4,"['56', '60']","['50', '52']",4.6,3.75,1.67,1.75,1.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
13,Europe UEFA Europa League,2022/2023,2022-08-11 15:30:00,0,Slovan Bratislava,Olympiakos Piraeus,2,2,4,"['90+4', '108']","['54', '101']",3.6,3.25,2.05,2.0,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
14,Europe UEFA Europa League,2022/2023,2022-08-11 16:00:00,0,Partizan,AEK Larnaca,2,2,4,"['24', '54']","['51', '56']",1.57,4.0,5.25,1.85,1.8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
15,Europe UEFA Europa League,2022/2023,2022-08-18 13:00:00,0,HJK,Silkeborg,1,0,1,['80'],[],2.8,3.1,2.62,2.1,1.83,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Europe UEFA Europa League,2022/2023,2022-08-18 13:30:00,0,Ferencváros,Shamrock Rovers,4,0,4,"['13', '34', '48', '90+3']",[],1.44,4.2,7.5,1.73,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,Europe UEFA Europa League,2022/2023,2022-08-18 14:00:00,0,Pyunik,Sheriff,0,0,0,[],[],2.9,3.0,2.6,2.3,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Europe UEFA Europa League,2022/2023,2022-08-18 14:00:00,0,Apollon,Olympiakos Piraeus,1,1,2,['18'],['28'],3.5,3.2,2.15,2.3,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Europe UEFA Europa League,2022/2023,2022-08-18 14:00:00,0,Zürich,Hearts,2,1,3,"['32', '34']",['22'],1.81,3.5,4.1,1.83,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
20,Europe UEFA Europa League,2022/2023,2022-08-18 14:00:00,0,Malmö FF,Sivasspor,3,1,4,"['18', '37', '68']",['30'],1.91,3.4,4.2,2.1,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Europe UEFA Europa League,2022/2023,2022-08-18 14:45:00,0,Ludogorets,Žalgiris,1,0,1,['2'],[],1.44,4.4,7.0,1.73,1.97,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Europe UEFA Europa League,2022/2023,2022-08-18 15:00:00,0,Dnipro-1,AEK Larnaca,1,2,3,['90'],"['16', '29']",2.8,3.2,2.6,2.1,1.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
