Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1174720,Finland Veikkausliiga,2021,2021-04-24 09:00:00,8,HJK,Honka,4,2,6,"['42', '53', '78', '90+2']","['7', '71']",1.5,3.75,5.8,1.85,1.87,1.95,1.8
2,1174721,Finland Veikkausliiga,2021,2021-04-24 11:00:00,8,Inter Turku,KuPS,1,0,1,['55'],[],3.35,3.3,2.2,2.15,1.69,1.95,1.8
3,1174702,Finland Veikkausliiga,2021,2021-05-02 12:30:00,5,KuPS,HJK,0,0,0,[],[],2.92,3.35,2.45,2.0,1.8,1.75,2.0
4,1174707,Finland Veikkausliiga,2021,2021-05-03 12:30:00,5,Oulu,Ilves,0,2,2,[],"['7', '22']",3.35,3.0,2.3,2.25,1.62,1.95,1.8
5,1174706,Finland Veikkausliiga,2021,2021-05-03 12:30:00,5,HIFK,Haka,2,0,2,"['32', '90']",[],2.3,3.3,3.0,1.87,1.93,1.75,2.0
6,1174705,Finland Veikkausliiga,2021,2021-05-03 12:30:00,5,SJK,KTP,1,1,2,['49'],['26'],1.37,4.8,8.0,1.83,1.95,2.2,1.62
7,1174704,Finland Veikkausliiga,2021,2021-05-03 12:30:00,5,Lahti,Inter Turku,2,1,3,"['7', '78']",['83'],3.3,3.15,2.25,2.1,1.71,1.87,1.91
8,1174703,Finland Veikkausliiga,2021,2021-05-03 12:30:00,5,Honka,Mariehamn,0,2,2,[],"['45+1', '66']",1.74,3.55,5.0,1.91,1.83,1.87,1.87
9,1174710,Finland Veikkausliiga,2021,2021-05-07 12:30:00,6,KTP,Honka,1,3,4,['59'],"['7', '38', '63']",4.8,3.65,1.74,1.95,1.83,1.91,1.83
10,1174709,Finland Veikkausliiga,2021,2021-05-07 12:30:00,6,SJK,HIFK,1,1,2,['80'],['75'],2.07,3.4,3.25,2.05,1.77,1.8,1.95
11,1174712,Finland Veikkausliiga,2021,2021-05-09 10:00:00,6,Inter Turku,Haka,2,1,3,"['7', '90+3']",['30'],1.5,3.85,6.5,1.62,2.16,2.25,1.61
12,1174713,Finland Veikkausliiga,2021,2021-05-09 12:30:00,6,Mariehamn,Oulu,3,1,4,"['13', '14', '16']",['53'],2.0,3.4,3.35,1.91,1.78,1.95,1.8
13,1174711,Finland Veikkausliiga,2021,2021-05-11 12:30:00,6,Ilves,HJK,0,3,3,[],"['8', '25', '30']",5.45,3.55,1.48,2.02,1.71,2.11,1.65
14,1174708,Finland Veikkausliiga,2021,2021-05-11 12:30:00,6,Lahti,KuPS,2,4,6,"['33', '80']","['14', '18', '58', '86']",3.4,3.05,2.1,2.15,1.62,1.93,1.78
15,1174715,Finland Veikkausliiga,2021,2021-05-14 12:30:00,7,KuPS,Mariehamn,2,0,2,"['35', '39']",[],1.4,4.65,7.25,1.8,2.0,2.1,1.69
16,1174716,Finland Veikkausliiga,2021,2021-05-14 12:30:00,7,Honka,Inter Turku,1,2,3,['83'],"['47', '63']",3.4,3.25,2.2,2.25,1.61,1.95,1.8
17,1174717,Finland Veikkausliiga,2021,2021-05-14 12:30:00,7,Haka,KTP,0,3,3,[],"['28', '58', '66']",1.67,3.75,5.0,1.95,1.83,1.95,1.8
