Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1589761,Finland Ykkönen,2022,2022-04-18 10:00:00,1,KPV,MP,3,2,5,"['2', '17', '31']","['58', '69']",2.06,3.55,3.3,1.66,2.09,1.59,2.27
2,1589762,Finland Ykkönen,2022,2022-04-18 10:00:00,1,Gnistan,PK-35,1,1,2,['8'],['22'],2.51,3.38,2.35,1.65,2.11,1.56,2.33
3,1589763,Finland Ykkönen,2022,2022-04-18 10:00:00,1,JäPS,Jaro,0,0,0,[],[],4.08,3.72,1.65,1.5,2.41,1.5,2.4
4,1589764,Finland Ykkönen,2022,2022-04-18 10:00:00,1,PIF,SJK Akatemia,0,2,2,[],"['57', '65']",2.8,3.25,2.15,1.63,2.2,1.53,2.4
5,1589765,Finland Ykkönen,2022,2022-04-18 10:00:00,1,EIF,TPS,1,3,4,['80'],"['2', '47', '49']",3.64,3.6,1.93,1.67,2.07,1.61,2.23
6,1589766,Finland Ykkönen,2022,2022-04-18 10:00:00,1,KTP,PEPO,1,0,1,['27'],[],1.36,4.53,6.1,1.5,2.4,1.73,2.0
7,1589767,Finland Ykkönen,2022,2022-04-23 09:00:00,2,TPS,JäPS,3,0,3,"['37', '50', '52']",[],1.28,4.75,8.5,1.45,2.55,1.73,2.0
8,1589769,Finland Ykkönen,2022,2022-04-23 11:00:00,2,KPV,Gnistan,0,2,2,[],"['16', '21']",2.05,3.3,3.0,1.61,2.15,1.7,2.1
9,1589768,Finland Ykkönen,2022,2022-04-23 11:00:00,2,EIF,PEPO,2,1,3,"['56', '61']",['32'],1.7,3.6,4.0,1.61,2.15,1.62,2.2
10,1589770,Finland Ykkönen,2022,2022-04-25 12:30:00,2,PK-35,PIF,2,2,4,"['43', '90']","['4', '20']",1.47,4.3,6.5,1.75,1.95,1.91,1.8
11,1589771,Finland Ykkönen,2022,2022-04-28 12:30:00,2,KTP,TPS,0,0,0,[],[],2.35,3.4,2.78,1.94,1.92,1.7,2.05
12,1589772,Finland Ykkönen,2022,2022-04-29 12:30:00,2,JäPS,KPV,0,0,0,[],[],2.95,3.35,2.26,1.8,1.94,1.67,2.15
13,1589773,Finland Ykkönen,2022,2022-04-29 12:30:00,3,PEPO,Jaro,0,3,3,[],"['45+1', '49', '74']",2.95,3.35,2.26,1.79,1.96,1.67,2.15
14,1589774,Finland Ykkönen,2022,2022-04-30 09:00:00,3,PIF,MP,2,3,5,"['10', '75']","['4', '49', '72']",2.5,3.16,2.26,1.7,1.85,1.8,1.95
15,1589775,Finland Ykkönen,2022,2022-04-30 09:00:00,3,Gnistan,EIF,1,1,2,['86'],['90'],2.41,3.27,2.28,1.66,2.06,1.62,2.24
16,1589776,Finland Ykkönen,2022,2022-05-07 09:00:00,3,PK-35,PEPO,1,2,3,['9'],"['17', '51']",1.46,4.5,5.8,1.76,1.95,1.73,2.0
17,1589780,Finland Ykkönen,2022,2022-05-08 12:30:00,4,EIF,Jaro,2,1,3,"['33', '80']",['39'],2.55,3.3,2.5,1.72,1.98,1.57,2.3
18,1589779,Finland Ykkönen,2022,2022-05-08 12:30:00,4,MP,SJK Akatemia,1,1,2,['42'],['37'],1.85,3.9,3.45,1.61,2.18,1.57,2.3
