Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Finland Veikkausliiga,2022,2022-04-02 09:00:00,1,HJK,Honka,1,0,1,['68'],[],1.5,3.8,6.0,1.81,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,Haka,Ilves,2,1,3,"['32', '40']",['43'],2.62,3.16,2.84,2.05,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,KuPS,Inter Turku,2,1,3,"['5', '38']",['14'],1.91,3.2,4.0,2.05,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,SJK,HIFK,2,1,3,"['86', '90+1']",['75'],1.79,3.62,4.65,2.03,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5,Finland Veikkausliiga,2022,2022-04-02 11:00:00,1,VPS,Oulu,2,2,4,"['23', '54']","['51', '88']",2.72,3.1,2.5,2.07,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6,Finland Veikkausliiga,2022,2022-04-02 12:30:00,1,Mariehamn,Lahti,0,0,0,[],[],2.59,3.44,2.68,1.83,1.75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Finland Veikkausliiga,2022,2022-04-07 12:00:00,2,Honka,Haka,3,2,5,"['4', '18', '36']","['69', '86']",2.05,3.05,3.5,2.1,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8,Finland Veikkausliiga,2022,2022-04-08 12:00:00,2,Lahti,VPS,0,5,5,[],"['28', '34', '44', '71', '73']",2.5,3.2,2.85,2.25,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,Finland Veikkausliiga,2022,2022-04-08 12:00:00,2,SJK,HJK,0,1,1,[],['83'],4.2,3.3,1.8,2.3,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Finland Veikkausliiga,2022,2022-04-09 09:00:00,2,Inter Turku,Oulu,2,1,3,"['45+1', '54']",['16'],1.65,4.04,5.2,1.82,1.91,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
