Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Finland Ykkönen,2022,2022-04-18 10:00:00,1,KPV,MP,3,2,5,"['2', '17', '31']","['58', '69']",2.06,3.55,3.3,1.66,1.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2,Finland Ykkönen,2022,2022-04-18 10:00:00,1,Gnistan,PK-35,1,1,2,['8'],['22'],2.51,3.38,2.35,1.65,1.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,Finland Ykkönen,2022,2022-04-18 10:00:00,1,JäPS,Jaro,0,0,0,[],[],4.08,3.72,1.65,1.5,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Finland Ykkönen,2022,2022-04-18 10:00:00,1,PIF,SJK Akatemia,0,2,2,[],"['57', '65']",2.8,3.25,2.15,1.63,1.53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Finland Ykkönen,2022,2022-04-18 10:00:00,1,EIF,TPS,1,3,4,['80'],"['2', '47', '49']",3.64,3.6,1.93,1.67,1.61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
6,Finland Ykkönen,2022,2022-04-18 10:00:00,1,KTP,PEPO,1,0,1,['27'],[],1.36,4.53,6.1,1.5,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Finland Ykkönen,2022,2022-04-23 09:00:00,2,TPS,JäPS,3,0,3,"['37', '50', '52']",[],1.28,4.75,8.5,1.45,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,Finland Ykkönen,2022,2022-04-23 11:00:00,2,KPV,Gnistan,0,2,2,[],"['16', '21']",2.05,3.3,3.0,1.61,1.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Finland Ykkönen,2022,2022-04-23 11:00:00,2,EIF,PEPO,2,1,3,"['56', '61']",['32'],1.7,3.6,4.0,1.61,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10,Finland Ykkönen,2022,2022-04-25 12:30:00,2,PK-35,PIF,2,2,4,"['43', '90']","['4', '20']",1.47,4.3,6.5,1.75,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Finland Ykkönen,2022,2022-04-28 12:30:00,2,KTP,TPS,0,0,0,[],[],2.35,3.4,2.78,1.94,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Finland Ykkönen,2022,2022-04-29 12:30:00,2,JäPS,KPV,0,0,0,[],[],2.95,3.35,2.26,1.8,1.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Finland Ykkönen,2022,2022-04-29 12:30:00,3,PEPO,Jaro,0,3,3,[],"['45+1', '49', '74']",2.95,3.35,2.26,1.79,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Finland Ykkönen,2022,2022-04-30 09:00:00,3,PIF,MP,2,3,5,"['10', '75']","['4', '49', '72']",2.5,3.16,2.26,1.7,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15,Finland Ykkönen,2022,2022-04-30 09:00:00,3,Gnistan,EIF,1,1,2,['86'],['90'],2.41,3.27,2.28,1.66,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16,Finland Ykkönen,2022,2022-05-07 09:00:00,3,PK-35,PEPO,1,2,3,['9'],"['17', '51']",1.46,4.5,5.8,1.76,1.73,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Finland Ykkönen,2022,2022-05-08 12:30:00,4,EIF,Jaro,2,1,3,"['33', '80']",['39'],2.55,3.3,2.5,1.72,1.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
18,Finland Ykkönen,2022,2022-05-08 12:30:00,4,MP,SJK Akatemia,1,1,2,['42'],['37'],1.85,3.9,3.45,1.61,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Finland Ykkönen,2022,2022-05-08 12:30:00,3,KPV,KTP,1,3,4,['71'],"['55', '82', '86']",3.55,3.15,2.05,1.84,1.67,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
20,Finland Ykkönen,2022,2022-05-08 12:30:00,3,Gnistan,JäPS,10,1,11,"['5', '16', '20', '33', '36', '48', '53', '62', '75', '90']",['28'],1.75,3.85,3.9,1.63,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Finland Ykkönen,2022,2022-05-09 12:30:00,4,TPS,PIF,0,2,2,[],"['69', '74']",1.28,5.22,7.14,1.57,2.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Finland Ykkönen,2022,2022-05-11 12:00:00,4,SJK Akatemia,PK-35,4,1,5,"['19', '21', '57', '64']",['6'],3.3,3.3,2.0,1.65,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,Finland Ykkönen,2022,2022-05-13 12:30:00,4,JäPS,EIF,1,0,1,['8'],[],3.2,3.4,1.95,1.6,1.57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Finland Ykkönen,2022,2022-05-14 11:00:00,5,PIF,KPV,1,2,3,['71'],"['59', '66']",3.0,3.5,2.0,1.83,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,Finland Ykkönen,2022,2022-05-15 12:30:00,5,Jaro,PK-35,4,0,4,"['26', '53', '54', '87']",[],1.77,3.5,3.9,1.68,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
26,Finland Ykkönen,2022,2022-05-15 12:30:00,5,SJK Akatemia,TPS,0,2,2,[],"['7', '46']",4.1,3.6,1.73,1.68,1.67,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Finland Ykkönen,2022,2022-05-20 12:30:00,5,JäPS,KTP,2,1,3,"['45+1', '53']",['36'],4.34,3.98,1.71,1.62,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,Finland Ykkönen,2022,2022-05-21 11:00:00,5,MP,Jaro,3,0,3,"['15', '53', '80']",[],2.34,3.4,2.8,1.7,1.62,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29,Finland Ykkönen,2022,2022-05-21 11:00:00,6,TPS,PEPO,0,0,0,[],[],1.37,4.8,7.0,1.65,1.85,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Finland Ykkönen,2022,2022-05-21 11:00:00,6,EIF,PK-35,2,1,3,"['42', '89']",['49'],1.77,3.55,3.8,1.7,1.7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,Finland Ykkönen,2022,2022-05-21 11:00:00,6,KPV,SJK Akatemia,0,3,3,[],"['8', '32', '42']",2.36,3.4,2.75,1.75,1.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Finland Ykkönen,2022,2022-05-21 13:00:00,6,Gnistan,PIF,1,0,1,['42'],[],1.45,4.35,6.1,1.57,1.74,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Finland Ykkönen,2022,2022-05-29 12:30:00,6,PK-35,MP,2,0,2,"['38', '90+7']",[],2.17,3.64,3.02,1.72,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,Finland Ykkönen,2022,2022-05-29 12:30:00,6,Jaro,TPS,1,2,3,['6'],"['44', '66']",2.53,3.37,2.68,1.9,1.7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Finland Ykkönen,2022,2022-05-29 12:30:00,7,SJK Akatemia,Gnistan,4,0,4,"['6', '35', '76', '77']",[],2.33,3.7,2.64,1.73,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
36,Finland Ykkönen,2022,2022-05-29 12:30:00,7,PIF,JäPS,0,1,1,[],['73'],2.52,3.52,2.6,1.72,1.62,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,Finland Ykkönen,2022,2022-05-30 12:30:00,7,KTP,EIF,1,1,2,['83'],['90+6'],1.67,3.6,4.75,1.66,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Finland Ykkönen,2022,2022-05-30 12:30:00,7,PEPO,KPV,1,1,2,['61'],['40'],2.63,3.5,2.4,1.77,1.67,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,Finland Ykkönen,2022,2022-06-03 12:30:00,7,KTP,PIF,3,1,4,"['23', '63', '87']",['41'],1.39,3.91,5.41,1.67,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
40,Finland Ykkönen,2022,2022-06-03 12:30:00,7,JäPS,SJK Akatemia,1,1,2,['25'],['19'],3.1,3.2,2.1,1.73,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
41,Finland Ykkönen,2022,2022-06-03 12:30:00,8,KPV,Jaro,1,0,1,['90+4'],[],2.53,3.14,2.24,1.67,1.67,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Finland Ykkönen,2022,2022-06-05 12:30:00,8,Gnistan,PEPO,5,0,5,"['43', '51', '56', '68', '72']",[],1.68,3.85,4.4,1.72,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
43,Finland Ykkönen,2022,2022-06-05 12:30:00,8,EIF,MP,2,2,4,"['52', '81']","['3', '17']",1.93,3.55,3.55,1.72,1.6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
