Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2468333,France Ligue 2,2022/2023,2022-07-30 10:00:00,1,Dijon,Saint-Étienne,2,1,3,"['29', '41']",['69'],2.75,3.17,2.31,1.98,1.72,1.8,1.91
2,2468328,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Quevilly Rouen,Rodez,0,0,0,[],[],2.68,2.91,3.16,2.37,1.5,2.0,1.73
3,2468336,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Guingamp,Pau,4,0,4,"['22', '32', '34', '52']",[],1.78,3.74,4.24,1.85,1.93,2.1,1.67
4,2468335,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Le Havre,Grenoble Foot 38,0,0,0,[],[],2.06,3.4,3.92,2.45,1.5,2.2,1.62
5,2468334,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Nîmes,Caen,0,1,1,[],['90+3'],2.91,3.38,2.55,1.99,1.8,1.9,1.8
6,3168607,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Bordeaux,Valenciennes,0,0,0,[],[],2.47,3.15,2.75,2.24,1.57,2.0,1.77
7,2468330,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Annecy,Niort,1,2,3,['63'],"['29', '39']",2.58,2.86,3.1,2.37,1.53,2.0,1.73
8,2468329,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Metz,Amiens SC,3,0,3,"['20', '44', '48']",[],1.79,3.36,4.8,2.3,1.57,2.1,1.67
9,2468332,France Ligue 2,2022/2023,2022-07-30 14:00:00,1,Bastia,Laval,0,2,2,[],"['16', '63']",1.85,3.2,4.1,2.59,1.44,2.25,1.57
10,2468331,France Ligue 2,2022/2023,2022-08-01 15:45:00,1,Sochaux,Paris,0,0,0,[],[],2.0,3.05,3.35,2.3,1.6,2.0,1.73
11,2468337,France Ligue 2,2022/2023,2022-08-06 10:00:00,2,Saint-Étienne,Nîmes,1,1,2,['45'],['32'],1.89,3.45,4.12,1.93,1.78,1.88,1.82
12,3168608,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Rodez,Bordeaux,0,3,3,[],"['4', '14', '90+4']",1.87,3.25,3.65,2.11,1.65,2.0,1.73
13,2468348,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Pau,Dijon,0,0,0,[],[],1.92,3.18,3.57,2.04,1.76,2.0,1.71
14,2468347,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Niort,Bastia,1,4,5,['82'],"['1', '2', '21', '24']",2.53,2.85,3.0,2.5,1.47,2.0,1.73
15,2468342,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Amiens SC,Annecy,1,0,1,['82'],[],2.35,3.0,3.11,2.25,1.57,1.93,1.78
16,2468341,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Grenoble Foot 38,Sochaux,1,0,1,['32'],[],3.37,3.1,2.17,2.36,1.52,2.0,1.73
17,2468340,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Valenciennes,Le Havre,1,0,1,['13'],[],2.37,3.0,3.08,2.34,1.53,2.0,1.73
18,2468339,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Paris,Quevilly Rouen,2,1,3,"['6', '33']",['79'],1.62,3.45,5.78,2.21,1.59,2.2,1.62
19,2468338,France Ligue 2,2022/2023,2022-08-06 14:00:00,2,Laval,Guingamp,1,2,3,['5'],"['56', '74']",2.93,3.03,2.25,2.35,1.6,1.91,1.8
20,2468349,France Ligue 2,2022/2023,2022-08-08 15:45:00,2,Caen,Metz,1,0,1,['38'],[],2.55,3.05,2.7,2.33,1.57,1.91,1.8
21,2468358,France Ligue 2,2022/2023,2022-08-13 10:00:00,3,Guingamp,Paris,0,0,0,[],[],2.39,3.1,2.95,2.12,1.63,1.9,1.8
22,2468357,France Ligue 2,2022/2023,2022-08-13 14:00:00,3,Le Havre,Pau,1,1,2,['21'],['82'],2.1,3.15,3.49,2.16,1.62,1.95,1.75
23,2468356,France Ligue 2,2022/2023,2022-08-13 14:00:00,3,Nîmes,Rodez,1,0,1,['63'],[],2.18,3.1,3.35,2.25,1.57,2.0,1.73
