Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2960243,France National,2022/2023,2022-08-12 14:30:00,1,Châteauroux,Paris 13 Atletico,0,0,0,[],[],1.75,3.2,4.33,2.4,1.53,2.15,1.63
2,2960244,France National,2022/2023,2022-08-12 14:30:00,1,Dunkerque,Le Mans,3,0,3,"['33', '70', '90+2']",[],1.91,3.3,3.6,2.0,1.8,1.8,1.97
3,2960245,France National,2022/2023,2022-08-12 14:30:00,1,Villefranche,Sedan,1,1,2,['14'],['45+1'],1.73,3.4,4.0,2.05,1.75,1.9,1.8
4,2960247,France National,2022/2023,2022-08-12 14:30:00,1,Bastia-Borgo,Le Puy F.43 Auvergne,1,0,1,['90+1'],[],2.38,2.9,2.88,2.15,1.67,1.87,1.89
5,2960248,France National,2022/2023,2022-08-12 14:30:00,1,Cholet,Avranches,3,0,3,"['-1', '-1', '-1']",[],2.0,3.3,3.2,1.85,1.95,1.68,2.05
6,2960249,France National,2022/2023,2022-08-12 14:30:00,1,Stade Briochin,Red Star,2,2,4,"['81', '86']","['49', '90+3']",2.38,3.0,2.8,2.2,1.65,1.9,1.85
7,2960250,France National,2022/2023,2022-08-12 14:30:00,1,Concarneau,Orléans,0,3,3,[],"['-1', '-1', '-1']",2.0,3.0,3.5,2.35,1.57,1.98,1.68
8,2960251,France National,2022/2023,2022-08-12 14:30:00,1,Versailles,Martigues,2,1,3,"['20', '90+4']",['27'],2.1,2.9,3.3,2.35,1.57,2.04,1.74
9,2960246,France National,2022/2023,2022-08-15 13:30:00,1,Nancy,Bourg-en-Bresse,1,2,3,['55'],"['45+1', '47']",2.25,2.9,3.1,2.4,1.53,1.94,1.82
10,2960260,France National,2022/2023,2022-08-19 14:30:00,2,Orléans,Nancy,0,0,0,[],[],2.25,3.1,3.1,2.2,1.65,1.89,1.87
11,2960259,France National,2022/2023,2022-08-19 14:30:00,2,Avranches,Châteauroux,1,2,3,['52'],"['29', '63']",3.1,3.0,2.3,2.35,1.57,1.95,1.71
12,2960258,France National,2022/2023,2022-08-19 14:30:00,2,Red Star,Villefranche,1,0,1,['40'],[],2.1,3.25,3.2,2.15,1.67,1.9,1.8
13,2960257,France National,2022/2023,2022-08-19 14:30:00,2,Paris 13 Atletico,Stade Briochin,1,1,2,['49'],['69'],2.75,2.88,2.63,2.7,1.44,2.13,1.68
14,2960253,France National,2022/2023,2022-08-19 14:30:00,2,Bourg-en-Bresse,Bastia-Borgo,1,1,2,['62'],['23'],1.57,3.6,5.25,2.15,1.67,2.2,1.6
15,2960254,France National,2022/2023,2022-08-19 14:30:00,2,Martigues,Cholet,2,1,3,"['51', '65']",['78'],1.95,3.4,3.5,2.0,1.8,1.8,1.83
16,2960252,France National,2022/2023,2022-08-19 14:30:00,2,Dunkerque,Concarneau,0,1,1,[],['22'],2.45,3.0,2.8,2.35,1.57,1.99,1.78
17,2960256,France National,2022/2023,2022-08-19 14:30:00,2,Le Puy F.43 Auvergne,Versailles,2,0,2,"['23', '87']",[],3.0,2.9,2.38,2.5,1.5,2.1,1.65
18,2960255,France National,2022/2023,2022-08-22 13:30:00,2,Le Mans,Sedan,6,1,7,"['3', '34', '40', '48', '67', '85']",['90+1'],1.85,3.5,3.75,2.15,1.67,1.93,1.78
19,2960266,France National,2022/2023,2022-08-26 14:30:00,3,Cholet,Le Puy F.43 Auvergne,2,0,2,"['86', '89']",[],2.3,3.2,2.9,2.2,1.65,1.88,1.88
20,2960269,France National,2022/2023,2022-08-26 14:30:00,3,Versailles,Bourg-en-Bresse,2,0,2,"['42', '57']",[],2.45,3.1,2.7,2.35,1.57,1.91,1.8
21,2960267,France National,2022/2023,2022-08-26 14:30:00,3,Stade Briochin,Avranches,0,1,1,[],['18'],1.91,3.3,3.8,2.08,1.73,1.91,1.8
22,2960265,France National,2022/2023,2022-08-26 14:30:00,3,Bastia-Borgo,Orléans,0,2,2,[],"['45+2', '70']",2.88,3.2,2.3,2.15,1.67,1.91,1.8
23,2960268,France National,2022/2023,2022-08-26 14:30:00,3,Concarneau,Le Mans,1,0,1,['6'],[],1.8,3.4,4.2,2.15,1.67,2.0,1.73
24,2960263,France National,2022/2023,2022-08-26 14:30:00,3,Villefranche,Paris 13 Atletico,2,0,2,"['52', '90+2']",[],1.75,3.4,4.33,2.15,1.67,1.97,1.8
