Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,France Ligue 2,2021/2022,2021-07-24 10:00:00,1,Bastia,Nîmes,1,1,2,['51'],['12'],2.45,3.15,3.0,2.25,2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Amiens SC,Auxerre,1,2,3,['39'],"['63', '71']",3.1,2.95,2.5,2.3,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Caen,Rodez,4,0,4,"['2', '19', '38', '89']",[],2.5,2.9,3.2,2.5,2.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Dunkerque,Quevilly Rouen,1,1,2,['31'],['7'],1.91,3.3,4.45,2.45,2.25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Grenoble Foot 38,Paris,0,4,4,[],"['37', '52', '72', '90+1']",2.8,2.95,2.75,2.3,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Le Havre,Guingamp,0,0,0,[],[],2.5,3.05,3.05,2.25,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Pau,Nancy,2,1,3,"['34', '90+3']",['55'],2.55,2.95,3.05,2.3,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Toulouse,Ajaccio,2,2,4,"['34', '54']","['35', '59']",1.8,3.45,4.7,2.2,2.05,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
9,France Ligue 2,2021/2022,2021-07-24 14:00:00,1,Valenciennes,Niort,0,0,0,[],[],2.3,3.1,3.3,2.2,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,France Ligue 2,2021/2022,2021-07-26 15:45:00,1,Dijon,Sochaux,1,3,4,['84'],"['51', '74', '90+7']",2.08,3.35,3.35,2.2,2.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,France Ligue 2,2021/2022,2021-07-31 10:00:00,2,Nîmes,Dijon,2,1,3,"['28', '80']",['79'],2.05,3.15,4.0,2.3,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,France Ligue 2,2021/2022,2021-07-31 14:00:00,2,Sochaux,Le Havre,0,2,2,[],"['7', '27']",2.1,3.25,3.75,2.3,2.05,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,France Ligue 2,2021/2022,2021-07-31 14:00:00,2,Rodez,Pau,1,0,1,['45'],[],2.35,3.1,3.25,2.25,1.95,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,France Ligue 2,2021/2022,2021-07-31 14:00:00,2,Paris,Dunkerque,2,1,3,"['11', '61']",['35'],1.57,3.8,6.0,2.0,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
