Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,France National,2022/2023,2022-08-12 14:30:00,1,Châteauroux,Paris 13 Atletico,0,0,0,[],[],1.75,3.2,4.33,2.4,2.15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,France National,2022/2023,2022-08-12 14:30:00,1,Dunkerque,Le Mans,3,0,3,"['33', '70', '90+2']",[],1.91,3.3,3.6,2.0,1.8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,France National,2022/2023,2022-08-12 14:30:00,1,Villefranche,Sedan,1,1,2,['14'],['45+1'],1.73,3.4,4.0,2.05,1.9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,France National,2022/2023,2022-08-12 14:30:00,1,Bastia-Borgo,Le Puy F.43 Auvergne,1,0,1,['90+1'],[],2.38,2.9,2.88,2.15,1.87,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,France National,2022/2023,2022-08-12 14:30:00,1,Cholet,Avranches,3,0,3,"['-1', '-1', '-1']",[],2.0,3.3,3.2,1.85,1.68,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,France National,2022/2023,2022-08-12 14:30:00,1,Stade Briochin,Red Star,2,2,4,"['81', '86']","['49', '90+3']",2.38,3.0,2.8,2.2,1.9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
7,France National,2022/2023,2022-08-12 14:30:00,1,Concarneau,Orléans,0,3,3,[],"['-1', '-1', '-1']",2.0,3.0,3.5,2.35,1.98,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,France National,2022/2023,2022-08-12 14:30:00,1,Versailles,Martigues,2,1,3,"['20', '90+4']",['27'],2.1,2.9,3.3,2.35,2.04,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,France National,2022/2023,2022-08-15 13:30:00,1,Nancy,Bourg-en-Bresse,1,2,3,['55'],"['45+1', '47']",2.25,2.9,3.1,2.4,1.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
10,France National,2022/2023,2022-08-19 14:30:00,2,Orléans,Nancy,0,0,0,[],[],2.25,3.1,3.1,2.2,1.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,France National,2022/2023,2022-08-19 14:30:00,2,Avranches,Châteauroux,1,2,3,['52'],"['29', '63']",3.1,3.0,2.3,2.35,1.95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,France National,2022/2023,2022-08-19 14:30:00,2,Red Star,Villefranche,1,0,1,['40'],[],2.1,3.25,3.2,2.15,1.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,France National,2022/2023,2022-08-19 14:30:00,2,Paris 13 Atletico,Stade Briochin,1,1,2,['49'],['69'],2.75,2.88,2.63,2.7,2.13,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,France National,2022/2023,2022-08-19 14:30:00,2,Bourg-en-Bresse,Bastia-Borgo,1,1,2,['62'],['23'],1.57,3.6,5.25,2.15,2.2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,France National,2022/2023,2022-08-19 14:30:00,2,Martigues,Cholet,2,1,3,"['51', '65']",['78'],1.95,3.4,3.5,2.0,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,France National,2022/2023,2022-08-19 14:30:00,2,Dunkerque,Concarneau,0,1,1,[],['22'],2.45,3.0,2.8,2.35,1.99,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,France National,2022/2023,2022-08-19 14:30:00,2,Le Puy F.43 Auvergne,Versailles,2,0,2,"['23', '87']",[],3.0,2.9,2.38,2.5,2.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18,France National,2022/2023,2022-08-22 13:30:00,2,Le Mans,Sedan,6,1,7,"['3', '34', '40', '48', '67', '85']",['90+1'],1.85,3.5,3.75,2.15,1.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
19,France National,2022/2023,2022-08-26 14:30:00,3,Cholet,Le Puy F.43 Auvergne,2,0,2,"['86', '89']",[],2.3,3.2,2.9,2.2,1.88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,France National,2022/2023,2022-08-26 14:30:00,3,Versailles,Bourg-en-Bresse,2,0,2,"['42', '57']",[],2.45,3.1,2.7,2.35,1.91,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
21,France National,2022/2023,2022-08-26 14:30:00,3,Stade Briochin,Avranches,0,1,1,[],['18'],1.91,3.3,3.8,2.08,1.91,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,France National,2022/2023,2022-08-26 14:30:00,3,Bastia-Borgo,Orléans,0,2,2,[],"['45+2', '70']",2.88,3.2,2.3,2.15,1.91,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,France National,2022/2023,2022-08-26 14:30:00,3,Concarneau,Le Mans,1,0,1,['6'],[],1.8,3.4,4.2,2.15,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,France National,2022/2023,2022-08-26 14:30:00,3,Villefranche,Paris 13 Atletico,2,0,2,"['52', '90+2']",[],1.75,3.4,4.33,2.15,1.97,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
25,France National,2022/2023,2022-08-26 14:30:00,3,Châteauroux,Martigues,2,2,4,"['53', '73']","['10', '13']",2.0,3.3,3.5,2.15,1.91,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,France National,2022/2023,2022-08-26 14:30:00,3,Nancy,Dunkerque,1,2,3,['28'],"['59', '89']",2.1,3.2,3.3,2.3,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,France National,2022/2023,2022-08-29 16:00:00,3,Sedan,Red Star,0,2,2,[],"['36', '63']",3.3,3.25,2.1,2.1,1.82,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,France National,2022/2023,2022-09-02 14:30:00,4,Martigues,Stade Briochin,3,1,4,"['56', '58', '65']",['52'],2.3,3.1,3.0,2.2,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29,France National,2022/2023,2022-09-02 14:30:00,4,Le Puy F.43 Auvergne,Châteauroux,1,2,3,['59'],"['63', '83']",2.63,3.0,2.6,2.5,2.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
30,France National,2022/2023,2022-09-02 14:30:00,4,Avranches,Villefranche,2,1,3,"['47', '58']",['45+1'],3.25,3.0,2.15,2.1,1.85,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
31,France National,2022/2023,2022-09-02 14:30:00,4,Concarneau,Nancy,1,2,3,['44'],"['56', '80']",1.91,3.3,4.2,2.2,2.05,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
32,France National,2022/2023,2022-09-02 14:30:00,4,Orléans,Versailles,1,1,2,['78'],['82'],2.63,2.9,2.7,2.3,1.93,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,France National,2022/2023,2022-09-02 14:30:00,4,Dunkerque,Bastia-Borgo,2,0,2,"['10', '52']",[],1.44,3.8,7.0,2.08,2.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
34,France National,2022/2023,2022-09-02 14:30:00,4,Bourg-en-Bresse,Cholet,1,1,2,['4'],['45'],1.55,4.0,5.0,1.85,1.85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,France National,2022/2023,2022-09-05 14:00:00,4,Paris 13 Atletico,Sedan,0,0,0,[],[],2.45,3.0,2.75,2.4,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,France National,2022/2023,2022-09-05 16:00:00,4,Le Mans,Red Star,0,0,0,[],[],2.63,3.4,2.3,1.85,1.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,France National,2022/2023,2022-09-09 14:30:00,5,Châteauroux,Bourg-en-Bresse,0,2,2,[],"['28', '90+3']",1.94,2.94,3.29,2.1,1.88,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
