Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1278824,Germany 2. Bundesliga,2021/2022,2021-07-23 15:30:00,1,Schalke 04,Hamburger SV,1,3,4,['7'],"['53', '86', '90']",2.38,3.3,2.75,1.67,2.1,1.54,2.4
2,1278825,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Darmstadt 98,Jahn Regensburg,0,2,2,[],"['21', '61']",1.67,4.0,3.4,1.45,2.35,1.49,2.3
3,1278826,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Heidenheim,Paderborn,0,0,0,[],[],2.15,3.5,3.25,1.69,2.15,1.61,2.25
4,1278827,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Dynamo Dresden,Ingolstadt,3,0,3,"['41', '56', '67']",[],4.0,3.65,1.61,1.47,2.35,1.49,2.3
5,1278828,Germany 2. Bundesliga,2021/2022,2021-07-24 08:30:00,1,Hansa Rostock,Karlsruher SC,1,3,4,['52'],"['42', '44', '78']",2.75,3.1,2.7,2.15,1.67,1.87,1.91
6,1278829,Germany 2. Bundesliga,2021/2022,2021-07-24 15:30:00,1,Werder Bremen,Hannover 96,1,1,2,['49'],['55'],1.95,3.4,3.3,1.61,2.15,1.61,2.25
7,1278830,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,St. Pauli,Holstein Kiel,3,0,3,"['11', '61', '90+1']",[],2.65,3.3,2.65,1.87,1.91,1.71,2.1
8,1278831,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,Nürnberg,Erzgebirge Aue,0,0,0,[],[],1.59,3.85,6.0,1.91,1.87,1.95,1.8
9,1278832,Germany 2. Bundesliga,2021/2022,2021-07-25 08:30:00,1,Sandhausen,Fortuna Düsseldorf,0,2,2,[],"['56', '62']",3.3,3.25,2.25,2.05,1.74,1.83,1.91
10,1278834,Germany 2. Bundesliga,2021/2022,2021-07-30 13:30:00,2,Paderborn,Nürnberg,2,2,4,"['18', '85']","['54', '58']",2.55,3.45,2.65,1.87,1.91,1.71,2.05
11,1278833,Germany 2. Bundesliga,2021/2022,2021-07-30 13:30:00,2,Karlsruher SC,Darmstadt 98,3,0,3,"['9', '76', '79']",[],1.34,5.0,8.5,1.8,2.0,2.15,1.67
12,1278835,Germany 2. Bundesliga,2021/2022,2021-07-31 08:30:00,2,Hannover 96,Hansa Rostock,0,3,3,[],"['40', '46', '90+3']",1.65,4.1,4.75,1.71,2.1,1.74,2.05
13,1278836,Germany 2. Bundesliga,2021/2022,2021-07-31 08:30:00,2,Jahn Regensburg,Sandhausen,3,0,3,"['34', '70', '81']",[],2.2,3.35,3.35,2.05,1.74,1.87,1.87
14,1278837,Germany 2. Bundesliga,2021/2022,2021-07-31 08:30:00,2,Ingolstadt,Heidenheim,1,2,3,['59'],"['73', '75']",3.25,3.35,2.2,1.95,1.83,1.8,1.95
