Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1282650,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,1860 München,Würzburger Kickers,1,0,1,['12'],[],1.83,3.6,4.15,1.87,1.91,1.8,1.95
2,1282643,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Waldhof Mannheim,Magdeburg,0,2,2,[],"['6', '9']",3.0,3.35,2.3,1.83,1.95,1.69,2.1
3,1282644,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Havelse,Saarbrucken,0,1,1,[],['19'],4.2,3.9,1.74,1.77,2.0,1.8,1.95
4,1282645,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Kaiserslautern,Eintracht Braunschweig,0,0,0,[],[],3.4,3.75,1.71,1.54,2.15,1.56,2.15
5,1282646,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Hallescher FC,Meppen,3,1,4,"['27', '39', '44']",['18'],1.95,3.65,3.55,1.69,2.15,1.62,2.2
6,1282647,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Zwickau,Borussia Dortmund II,1,2,3,['3'],"['12', '58']",2.3,3.4,3.0,1.77,2.0,1.65,2.2
7,1282648,Germany 3. Liga,2021/2022,2021-07-25 08:00:00,1,Viktoria Berlin,Viktoria Köln,2,1,3,"['36', '38']",['34'],2.88,3.4,2.25,2.0,1.75,1.67,2.15
8,1282642,Germany 3. Liga,2021/2022,2021-07-26 14:00:00,1,Freiburg II,Wehen Wiesbaden,0,0,0,[],[],2.85,3.35,2.33,1.79,1.96,1.65,2.15
9,1282661,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Borussia Dortmund II,Waldhof Mannheim,1,1,2,['16'],['61'],2.7,3.3,2.55,1.67,2.15,1.54,2.4
10,1282660,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Saarbrucken,Osnabrück,1,2,3,['13'],"['6', '43']",2.2,3.45,3.1,1.91,1.87,1.8,2.0
11,1282659,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Wehen Wiesbaden,1860 München,0,0,0,[],[],3.05,3.1,2.4,1.95,1.8,1.77,2.0
12,1282655,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Viktoria Köln,Zwickau,1,1,2,['72'],['85'],2.45,3.4,2.7,1.77,2.0,1.65,2.15
13,1282656,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Meppen,Kaiserslautern,1,0,1,['45+3'],[],3.15,3.6,2.15,1.74,2.05,1.65,2.15
14,1282657,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Magdeburg,Freiburg II,0,0,0,[],[],2.5,3.4,2.35,1.65,2.0,1.62,2.2
15,1282652,Germany 3. Liga,2021/2022,2021-08-01 09:00:00,2,Eintracht Braunschweig,Viktoria Berlin,0,4,4,[],"['5', '31', '65', '69']",2.1,3.2,3.65,2.05,1.74,1.91,1.87
16,1282653,Germany 3. Liga,2021/2022,2021-08-02 14:00:00,2,Würzburger Kickers,Verl,0,1,1,[],['72'],2.55,3.2,2.65,1.87,1.91,1.71,2.1
17,1282654,Germany 3. Liga,2021/2022,2021-08-08 08:00:00,2,MSV Duisburg,Havelse,3,0,3,"['26', '66', '68']",[],1.6,3.5,6.25,1.8,1.9,1.83,1.95
18,1282668,Germany 3. Liga,2021/2022,2021-08-13 14:00:00,3,Freiburg II,Borussia Dortmund II,2,5,7,"['12', '34']","['14', '16', '22', '59', '90+5']",2.9,3.2,2.35,1.8,1.95,1.67,2.15
19,1282671,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Verl,Viktoria Köln,3,1,4,"['29', '34', '52']",['22'],2.1,3.25,3.35,2.0,1.8,1.83,1.95
20,1282670,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Zwickau,Meppen,1,1,2,['17'],['59'],2.1,3.1,3.55,1.95,1.83,1.77,2.0
