Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1318903,Germany Bundesliga,2021/2022,2021-08-13 15:30:00,1,Borussia M'gladbach,Bayern München,1,1,2,['10'],['42'],5.9,5.4,1.46,1.28,3.3,1.51,2.65
2,1318904,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Wolfsburg,Bochum,1,0,1,['22'],[],1.51,4.55,6.75,1.65,2.3,1.8,2.05
3,1318905,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Union Berlin,Bayer Leverkusen,1,1,2,['7'],['12'],2.65,3.35,2.8,1.95,1.91,1.77,2.1
4,1318906,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Stuttgart,Greuther Fürth,5,1,6,"['30', '36', '55', '61', '76']",['90+3'],1.91,3.9,4.0,1.69,2.25,1.67,2.3
5,1318907,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Augsburg,Hoffenheim,0,4,4,[],"['37', '78', '87', '90+5']",3.3,3.75,2.15,1.67,2.3,1.61,2.4
6,1318908,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Arminia Bielefeld,Freiburg,0,0,0,[],[],3.05,3.15,2.55,2.3,1.65,2.05,1.8
7,1318909,Germany Bundesliga,2021/2022,2021-08-14 13:30:00,1,Borussia Dortmund,Eintracht Frankfurt,5,2,7,"['23', '32', '34', '58', '70']","['27', '86']",1.43,5.5,7.0,1.42,3.0,1.62,2.35
8,1318910,Germany Bundesliga,2021/2022,2021-08-15 10:30:00,1,Mainz 05,RB Leipzig,1,0,1,['12'],[],8.0,5.25,1.4,1.62,2.35,1.91,1.95
9,1318911,Germany Bundesliga,2021/2022,2021-08-15 12:30:00,1,Köln,Hertha BSC,3,1,4,"['41', '52', '55']",['5'],2.87,3.24,2.26,1.82,1.95,1.7,2.05
10,1318912,Germany Bundesliga,2021/2022,2021-08-20 15:30:00,2,RB Leipzig,Stuttgart,4,0,4,"['38', '46', '52', '65']",[],1.43,5.0,7.25,1.57,2.5,1.8,2.1
11,1318913,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Eintracht Frankfurt,Augsburg,0,0,0,[],[],1.65,4.4,5.25,1.59,2.45,1.71,2.25
12,1318914,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Freiburg,Borussia Dortmund,2,1,3,"['6', '53']",['59'],5.5,4.6,1.59,1.54,2.6,1.65,2.3
13,1318915,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Hertha BSC,Wolfsburg,1,2,3,['60'],"['73', '88']",3.2,3.45,2.3,1.91,2.0,1.74,2.15
14,1318916,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Bochum,Mainz 05,2,0,2,"['21', '56']",[],2.8,3.5,2.55,1.87,2.0,1.74,2.2
15,1318917,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Greuther Fürth,Arminia Bielefeld,1,1,2,['50'],['45'],2.5,3.3,2.9,1.86,2.02,1.8,1.95
16,1318918,Germany Bundesliga,2021/2022,2021-08-21 13:30:00,2,Bayer Leverkusen,Borussia M'gladbach,4,0,4,"['3', '8', '55', '87']",[],2.4,3.65,2.95,1.65,2.3,1.57,2.5
17,1318919,Germany Bundesliga,2021/2022,2021-08-22 10:30:00,2,Hoffenheim,Union Berlin,2,2,4,"['14', '30']","['10', '47']",2.0,3.8,3.7,1.74,2.15,1.69,2.25
18,1318920,Germany Bundesliga,2021/2022,2021-08-22 12:30:00,2,Bayern München,Köln,3,2,5,"['50', '59', '71']","['60', '62']",1.13,11.0,21.0,1.25,4.2,1.87,2.0
19,1318921,Germany Bundesliga,2021/2022,2021-08-27 15:30:00,3,Borussia Dortmund,Hoffenheim,3,2,5,"['49', '69', '90+1']","['61', '90']",1.43,5.5,6.5,1.34,3.4,1.47,2.8
20,1318922,Germany Bundesliga,2021/2022,2021-08-28 10:30:00,3,Stuttgart,Freiburg,2,3,5,"['45', '45+2']","['3', '9', '28']",2.2,3.6,3.3,1.69,2.25,1.61,2.4
21,1318923,Germany Bundesliga,2021/2022,2021-08-28 10:30:00,3,Mainz 05,Greuther Fürth,3,0,3,"['15', '18', '90+2']",[],1.75,3.66,3.93,2.15,1.7,1.7,2.05
22,1318924,Germany Bundesliga,2021/2022,2021-08-28 10:30:00,3,Augsburg,Bayer Leverkusen,1,4,5,['30'],"['3', '14', '75', '81']",5.0,4.05,1.71,1.8,2.1,1.87,2.0
23,1318925,Germany Bundesliga,2021/2022,2021-08-28 10:30:00,3,Arminia Bielefeld,Eintracht Frankfurt,1,1,2,['86'],['22'],3.45,3.6,2.15,1.8,2.1,1.71,2.2
24,1318926,Germany Bundesliga,2021/2022,2021-08-28 10:30:00,3,Köln,Bochum,2,1,3,"['82', '90+1']",['90+4'],1.8,4.05,4.45,1.67,2.3,1.67,2.3
25,1318927,Germany Bundesliga,2021/2022,2021-08-28 13:30:00,3,Bayern München,Hertha BSC,5,0,5,"['6', '35', '49', '70', '84']",[],1.17,8.75,17.0,1.3,3.7,1.83,2.05
26,1318928,Germany Bundesliga,2021/2022,2021-08-29 10:30:00,3,Union Berlin,Borussia M'gladbach,2,1,3,"['22', '41']",['90+1'],2.55,3.4,2.9,1.8,2.05,1.69,2.25
27,1318929,Germany Bundesliga,2021/2022,2021-08-29 12:30:00,3,Wolfsburg,RB Leipzig,1,0,1,['52'],[],3.4,3.45,2.25,1.8,1.91,1.74,2.15
28,1318930,Germany Bundesliga,2021/2022,2021-09-11 10:30:00,4,Bayer Leverkusen,Borussia Dortmund,3,4,7,"['9', '45+1', '55']","['37', '49', '71', '77']",3.2,3.8,2.2,1.47,2.8,1.43,3.0
29,1318931,Germany Bundesliga,2021/2022,2021-09-11 10:30:00,4,Union Berlin,Augsburg,0,0,0,[],[],1.71,3.95,5.25,1.87,2.0,1.87,2.0
30,1318932,Germany Bundesliga,2021/2022,2021-09-11 10:30:00,4,Freiburg,Köln,1,1,2,['89'],['33'],2.35,3.5,3.15,1.77,2.15,1.67,2.3
31,1318933,Germany Bundesliga,2021/2022,2021-09-11 10:30:00,4,Hoffenheim,Mainz 05,0,2,2,[],"['21', '77']",2.25,3.6,3.3,1.67,2.25,1.61,2.4
32,1318934,Germany Bundesliga,2021/2022,2021-09-11 10:30:00,4,Greuther Fürth,Wolfsburg,0,2,2,[],"['10', '90+1']",5.75,4.35,1.61,1.62,2.35,1.74,2.15
33,1318935,Germany Bundesliga,2021/2022,2021-09-11 13:30:00,4,RB Leipzig,Bayern München,1,4,5,['58'],"['12', '47', '54', '90+2']",3.15,4.1,2.1,1.4,2.75,1.41,3.05
34,1318936,Germany Bundesliga,2021/2022,2021-09-12 10:30:00,4,Eintracht Frankfurt,Stuttgart,1,1,2,['79'],['88'],2.1,3.8,3.45,1.56,2.55,1.5,2.65
35,1318937,Germany Bundesliga,2021/2022,2021-09-12 12:30:00,4,Bochum,Hertha BSC,1,3,4,['59'],"['37', '43', '78']",2.75,3.4,2.65,1.91,1.95,1.77,2.15
36,1318938,Germany Bundesliga,2021/2022,2021-09-12 14:30:00,4,Borussia M'gladbach,Arminia Bielefeld,3,1,4,"['35', '69', '72']",['45+2'],1.41,5.0,8.25,1.65,2.3,1.95,1.95
37,1318939,Germany Bundesliga,2021/2022,2021-09-17 15:30:00,5,Hertha BSC,Greuther Fürth,2,1,3,"['61', '79']",['57'],1.65,4.0,4.6,1.7,2.05,1.7,2.05
38,1318940,Germany Bundesliga,2021/2022,2021-09-18 10:30:00,5,Bayern München,Bochum,7,0,7,"['17', '27', '32', '43', '61', '65', '79']",[],1.07,16.0,42.0,1.17,5.75,2.0,1.87
39,1318941,Germany Bundesliga,2021/2022,2021-09-18 10:30:00,5,Mainz 05,Freiburg,0,0,0,[],[],2.1,3.5,3.65,2.0,1.91,1.87,2.0
40,1318942,Germany Bundesliga,2021/2022,2021-09-18 10:30:00,5,Augsburg,Borussia M'gladbach,1,0,1,['80'],[],3.8,3.75,2.0,1.65,2.35,1.59,2.45
41,1318943,Germany Bundesliga,2021/2022,2021-09-18 10:30:00,5,Arminia Bielefeld,Hoffenheim,0,0,0,[],[],3.45,3.6,2.15,1.69,2.25,1.61,2.4
42,1318944,Germany Bundesliga,2021/2022,2021-09-18 13:30:00,5,Köln,RB Leipzig,1,1,2,['53'],['71'],5.0,3.8,1.62,1.62,2.15,1.57,2.5
43,1318945,Germany Bundesliga,2021/2022,2021-09-19 10:30:00,5,Stuttgart,Bayer Leverkusen,1,3,4,['38'],"['2', '19', '70']",3.2,3.8,2.2,1.57,2.5,1.51,2.65
44,1318946,Germany Bundesliga,2021/2022,2021-09-19 12:30:00,5,Borussia Dortmund,Union Berlin,4,2,6,"['10', '24', '52', '83']","['57', '81']",1.34,5.75,9.0,1.45,2.85,1.74,2.15
45,1318947,Germany Bundesliga,2021/2022,2021-09-19 14:30:00,5,Wolfsburg,Eintracht Frankfurt,1,1,2,['70'],['38'],1.91,3.65,4.25,1.77,2.15,1.71,2.2
46,1318948,Germany Bundesliga,2021/2022,2021-09-24 15:30:00,6,Greuther Fürth,Bayern München,1,3,4,['87'],"['10', '31', '68']",21.0,11.0,1.13,1.21,4.75,1.87,2.0
47,1318953,Germany Bundesliga,2021/2022,2021-09-25 10:30:00,6,Hoffenheim,Wolfsburg,3,1,4,"['45+2', '73', '81']",['25'],2.9,3.5,2.5,1.71,2.2,1.59,2.45
48,1318952,Germany Bundesliga,2021/2022,2021-09-25 10:30:00,6,Union Berlin,Arminia Bielefeld,1,0,1,['88'],[],1.74,3.75,5.25,2.05,1.83,2.0,1.87
49,1318950,Germany Bundesliga,2021/2022,2021-09-25 10:30:00,6,Eintracht Frankfurt,Köln,1,1,2,['45+6'],['14'],2.1,3.9,3.4,1.62,2.35,1.61,2.45
50,1318949,Germany Bundesliga,2021/2022,2021-09-25 10:30:00,6,RB Leipzig,Hertha BSC,6,0,6,"['16', '23', '45+3', '60', '70', '77']",[],1.35,5.75,8.75,1.61,2.4,1.95,1.91
51,1318951,Germany Bundesliga,2021/2022,2021-09-25 10:30:00,6,Bayer Leverkusen,Mainz 05,1,0,1,['62'],[],1.77,4.1,4.4,1.67,2.3,1.69,2.25
52,1318954,Germany Bundesliga,2021/2022,2021-09-25 13:30:00,6,Borussia M'gladbach,Borussia Dortmund,1,0,1,['37'],[],4.05,4.3,1.8,1.39,3.15,1.43,3.0
53,1318955,Germany Bundesliga,2021/2022,2021-09-26 10:30:00,6,Bochum,Stuttgart,0,0,0,[],[],3.05,3.5,2.4,1.71,2.2,1.61,2.4
54,1318956,Germany Bundesliga,2021/2022,2021-09-26 12:30:00,6,Freiburg,Augsburg,3,0,3,"['6', '25', '33']",[],1.95,3.6,4.15,1.95,1.91,1.91,1.95
55,1318965,Germany Bundesliga,2021/2022,2021-10-01 15:30:00,7,Köln,Greuther Fürth,3,1,4,"['50', '55', '89']",['7'],1.44,5.0,6.5,1.6,2.2,1.67,2.1
56,1318960,Germany Bundesliga,2021/2022,2021-10-02 10:30:00,7,Wolfsburg,Borussia M'gladbach,1,3,4,['24'],"['5', '7', '90+5']",2.1,3.65,3.55,1.67,2.3,1.61,2.45
57,1318963,Germany Bundesliga,2021/2022,2021-10-02 10:30:00,7,Hertha BSC,Freiburg,1,2,3,['70'],"['17', '78']",2.45,3.45,3.0,1.83,2.05,1.69,2.25
58,1318959,Germany Bundesliga,2021/2022,2021-10-02 10:30:00,7,Borussia Dortmund,Augsburg,2,1,3,"['10', '51']",['35'],1.22,7.25,15.0,1.42,3.0,2.0,1.87
59,1318961,Germany Bundesliga,2021/2022,2021-10-02 10:30:00,7,Stuttgart,Hoffenheim,3,1,4,"['18', '60', '81']",['84'],2.55,3.75,2.65,1.53,2.65,1.47,2.8
60,1318958,Germany Bundesliga,2021/2022,2021-10-02 13:30:00,7,RB Leipzig,Bochum,3,0,3,"['69', '73', '78']",[],1.27,6.25,12.0,1.49,2.7,2.0,1.87
61,1318962,Germany Bundesliga,2021/2022,2021-10-03 10:30:00,7,Mainz 05,Union Berlin,1,2,3,['39'],"['69', '73']",2.2,3.35,3.6,1.95,1.95,1.8,2.1
62,1318957,Germany Bundesliga,2021/2022,2021-10-03 12:30:00,7,Bayern München,Eintracht Frankfurt,1,2,3,['29'],"['32', '83']",1.21,7.75,13.0,1.25,4.3,1.65,2.35
63,1318964,Germany Bundesliga,2021/2022,2021-10-03 14:30:00,7,Arminia Bielefeld,Bayer Leverkusen,0,4,4,[],"['18', '24', '57', '90+2']",4.75,3.95,1.77,1.71,2.2,1.74,2.2
64,1318972,Germany Bundesliga,2021/2022,2021-10-15 15:30:00,8,Hoffenheim,Köln,5,0,5,"['31', '49', '51', '74', '87']",[],2.07,3.77,3.55,1.57,2.25,1.5,2.5
65,1318966,Germany Bundesliga,2021/2022,2021-10-16 10:30:00,8,Borussia Dortmund,Mainz 05,3,1,4,"['3', '54', '90+4']",['87'],1.42,4.95,7.48,1.43,2.7,1.67,2.1
66,1318967,Germany Bundesliga,2021/2022,2021-10-16 10:30:00,8,Eintracht Frankfurt,Hertha BSC,1,2,3,['78'],"['7', '63']",1.75,4.0,4.58,1.74,2.02,1.8,1.95
67,1318969,Germany Bundesliga,2021/2022,2021-10-16 10:30:00,8,Union Berlin,Wolfsburg,2,0,2,"['49', '82']",[],2.78,3.25,2.68,2.01,1.75,1.75,2.0
