Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,2272434,Germany DFB Pokal,2022/2023,2022-07-29 13:01:00,0,Kaan-Marienborn,Nürnberg,0,2,2,[],"['45', '84']",23.0,10.0,1.11,1.3,3.5,2.1,1.67
2,2272436,Germany DFB Pokal,2022/2023,2022-07-29 13:01:00,0,Neustrelitz,Karlsruher SC,0,8,8,[],"['12', '14', '41', '67', '72', '73', '82', '87']",19.0,10.0,1.11,1.33,3.4,2.25,1.57
3,2272438,Germany DFB Pokal,2022/2023,2022-07-29 13:01:00,0,Dynamo Dresden,Stuttgart,0,1,1,[],['33'],6.0,4.2,1.53,1.67,2.15,1.75,2.0
4,2272448,Germany DFB Pokal,2022/2023,2022-07-29 15:46:00,0,1860 München,Borussia Dortmund,0,3,3,[],"['8', '31', '35']",12.0,8.0,1.18,1.3,3.5,1.91,1.91
5,2272439,Germany DFB Pokal,2022/2023,2022-07-30 08:01:00,0,Viktoria Berlin,Bochum,0,3,3,[],"['18', '22', '65']",13.0,7.0,1.17,1.49,2.51,2.2,1.62
6,2272454,Germany DFB Pokal,2022/2023,2022-07-30 08:01:00,0,Straelen,St. Pauli,3,4,7,"['19', '42', '80']","['25', '40', '62', '90+1']",13.0,6.75,1.19,1.38,2.9,2.05,1.7
7,2272431,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,Jahn Regensburg,Köln,2,2,4,"['18', '27']","['28', '63']",5.25,4.4,1.43,1.57,2.25,1.67,2.1
8,2272433,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,VfB Lübeck,Hansa Rostock,1,0,1,['78'],[],4.7,3.97,1.55,1.75,1.95,1.8,1.95
9,2272455,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,Bayreuth,Hamburger SV,1,3,4,['16'],"['83', '97', '111']",7.6,5.6,1.25,1.38,2.9,1.7,2.05
10,2272441,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,Elversberg,Bayer Leverkusen,4,3,7,"['2', '17', '37', '74']","['5', '30', '89']",12.0,7.1,1.13,1.32,3.21,1.95,1.8
11,2272443,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,Einheit Wernigerode,Paderborn,0,10,10,[],"['7', '90+1', '10', '40', '47', '49', '50', '53', '58', '66']",29.0,10.0,1.07,1.26,3.5,3.25,1.33
12,2272445,Germany DFB Pokal,2022/2023,2022-07-30 10:31:00,0,Illertissen,Heidenheim,0,2,2,[],"['57', '80']",8.5,4.8,1.28,1.54,2.32,2.05,1.7
13,2272460,Germany DFB Pokal,2022/2023,2022-07-30 13:01:00,0,Stuttgarter Kickers,Greuther Fürth,2,0,2,"['9', '88']",[],15.0,6.5,1.18,1.44,2.7,2.1,1.67
14,2272459,Germany DFB Pokal,2022/2023,2022-07-30 13:01:00,0,Carl Zeiss Jena,Wolfsburg,0,1,1,[],['90+2'],23.0,10.0,1.09,1.29,3.6,2.2,1.62
15,2272446,Germany DFB Pokal,2022/2023,2022-07-30 13:01:00,0,Kickers Offenbach,Fortuna Düsseldorf,1,4,5,['57'],"['34', '54', '71', '80']",6.5,4.2,1.5,1.8,2.0,1.95,1.8
16,2272458,Germany DFB Pokal,2022/2023,2022-07-31 08:01:00,0,Bremer SV,Schalke 04,0,5,5,[],"['2', '12', '33', '39', '83']",42.43,23.22,1.02,1.08,6.5,3.25,1.33
17,2272442,Germany DFB Pokal,2022/2023,2022-07-31 08:01:00,0,Schwarz-Weiß Rehden,Sandhausen,0,4,4,[],"['23', '32', '45', '51']",51.0,16.0,1.02,1.31,3.01,2.75,1.4
18,2272444,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,Rödinghausen,Hoffenheim,0,2,2,[],"['115', '118']",17.0,8.5,1.12,1.3,3.2,1.95,1.8
19,2272449,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,Kaiserslautern,Freiburg,1,2,3,['33'],"['82', '111']",5.1,3.75,1.65,1.76,2.0,1.8,1.95
20,2272450,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,Oberachern,Borussia M'gladbach,1,9,10,['61'],"['3', '22', '36', '37', '45', '45+3', '47', '59', '78']",63.51,24.47,1.01,1.06,7.5,2.5,1.5
21,2272432,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,FV Engers 07,Arminia Bielefeld,1,7,8,['54'],"['9', '24', '50', '57', '71', '86', '90+1']",22.1,10.11,1.09,1.25,3.5,2.2,1.62
22,2272435,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,Schott Mainz,Hannover 96,0,3,3,[],"['36', '42', '51']",36.0,15.0,1.03,1.28,3.3,3.75,1.25
23,2272453,Germany DFB Pokal,2022/2023,2022-07-31 10:31:00,0,BW Lohne,Augsburg,0,4,4,[],"['52', '69', '81', '89']",46.0,14.0,1.03,1.23,3.5,2.75,1.4
