League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Germany 2. Bundesliga,2022/2023,2022-07-15 15:30:00,1,Kaiserslautern,Hannover 96,2,1,3,"['11', '90+2']",['80'],2.45,3.1,2.6,1.95,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-16 08:00:00,1,Greuther Fürth,Holstein Kiel,2,2,4,"['48', '76']","['29', '80']",2.26,3.5,3.1,1.86,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-16 08:00:00,1,St. Pauli,Nürnberg,3,2,5,"['24', '37', '39']","['46', '90+3']",2.33,3.7,2.9,1.69,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-16 08:00:00,1,Sandhausen,Arminia Bielefeld,2,1,3,"['11', '63']",['59'],2.9,3.4,2.41,1.86,1.73,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-16 08:00:00,1,Jahn Regensburg,Darmstadt 98,2,0,2,"['1', '67']",[],3.5,3.9,1.99,1.64,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-16 15:30:00,1,Magdeburg,Fortuna Düsseldorf,1,2,3,['50'],"['43', '46']",2.82,3.6,2.41,1.83,1.62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-17 08:30:00,1,Paderborn,Karlsruher SC,5,0,5,"['56', '65', '68', '72', '75']",[],1.88,3.6,3.9,1.55,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Germany 2. Bundesliga,2022/2023,2022-07-17 08:30:00,1,Hansa Rostock,Heidenheim,0,1,1,[],['50'],2.48,3.2,2.9,1.9,1.73,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-17 08:30:00,1,Eintracht Braunschweig,Hamburger SV,0,2,2,[],"['67', '76']",5.0,4.25,1.6,1.65,1.73,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-22 13:30:00,2,Darmstadt 98,Sandhausen,2,1,3,"['9', '55']",['24'],1.6,3.85,5.1,1.58,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-22 13:30:00,2,Fortuna Düsseldorf,Paderborn,2,1,3,"['2', '30']",['21'],2.17,3.35,3.1,1.62,1.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-23 08:00:00,2,Heidenheim,Eintracht Braunschweig,3,0,3,"['10', '61', '89']",[],1.87,3.75,3.75,1.75,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-23 08:00:00,2,Nürnberg,Greuther Fürth,2,0,2,"['15', '81']",[],2.7,3.5,2.4,1.72,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-23 08:00:00,2,Holstein Kiel,Kaiserslautern,2,2,4,"['51', '57']","['32', '62']",2.0,3.6,3.4,1.75,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-23 15:30:00,2,Hannover 96,St. Pauli,2,2,4,"['33', '71']","['4', '90+5']",2.3,3.75,2.95,1.57,1.53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-24 08:30:00,2,Karlsruher SC,Magdeburg,2,3,5,"['63', '65']","['7', '32', '34']",2.13,3.42,2.97,1.67,1.57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-24 08:30:00,2,Hamburger SV,Hansa Rostock,0,1,1,[],['90+4'],1.43,4.37,5.82,1.55,1.63,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-07-24 08:30:00,2,Arminia Bielefeld,Jahn Regensburg,0,3,3,[],"['45+3', '56', '90+1']",1.56,4.01,4.79,1.61,1.66,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-05 13:30:00,3,Greuther Fürth,Karlsruher SC,1,1,2,['57'],['66'],2.08,3.61,3.25,1.67,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-05 13:30:00,3,Sandhausen,Fortuna Düsseldorf,1,0,1,['46'],[],3.15,3.56,2.14,1.72,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-06 08:00:00,3,Jahn Regensburg,Nürnberg,0,0,0,[],[],2.72,3.48,2.47,1.79,1.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-06 08:00:00,3,Paderborn,Hannover 96,4,2,6,"['28', '52', '60', '89']","['12', '37']",2.18,3.57,3.1,1.7,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Germany 2. Bundesliga,2022/2023,2022-08-06 08:00:00,3,Hamburger SV,Heidenheim,1,0,1,['42'],[],1.59,4.27,5.1,1.55,1.73,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-06 15:30:00,3,Hansa Rostock,Arminia Bielefeld,2,1,3,"['25', '85']",['48'],2.58,3.45,2.76,1.99,1.8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-07 08:30:00,3,Magdeburg,Holstein Kiel,1,2,3,['43'],"['17', '59']",2.0,3.8,3.25,1.78,1.53,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-07 08:30:00,3,Eintracht Braunschweig,Darmstadt 98,0,1,1,[],['86'],3.1,3.5,2.1,1.75,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-07 08:30:00,3,Kaiserslautern,St. Pauli,2,1,3,"['9', '86']",['88'],2.5,3.4,2.63,1.79,1.62,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-12 13:30:00,4,Nürnberg,Heidenheim,0,3,3,[],"['44', '49', '80']",2.07,3.42,3.08,1.75,1.67,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-12 13:30:00,4,Kaiserslautern,Paderborn,0,1,1,[],['82'],2.41,3.42,2.55,1.62,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-13 08:00:00,4,Karlsruher SC,Sandhausen,3,2,5,"['32', '84', '87']","['10', '61']",2.35,3.35,2.68,1.84,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Germany 2. Bundesliga,2022/2023,2022-08-13 08:00:00,4,Holstein Kiel,Eintracht Braunschweig,3,0,3,"['12', '73', '82']",[],1.9,3.6,3.35,1.58,1.57,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
