Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,1860 München,Würzburger Kickers,1,0,1,['12'],[],1.83,3.6,4.15,1.87,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Waldhof Mannheim,Magdeburg,0,2,2,[],"['6', '9']",3.0,3.35,2.3,1.83,1.69,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Havelse,Saarbrucken,0,1,1,[],['19'],4.2,3.9,1.74,1.77,1.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Kaiserslautern,Eintracht Braunschweig,0,0,0,[],[],3.4,3.75,1.71,1.54,1.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Hallescher FC,Meppen,3,1,4,"['27', '39', '44']",['18'],1.95,3.65,3.55,1.69,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
6,Germany 3. Liga,2021/2022,2021-07-24 09:00:00,1,Zwickau,Borussia Dortmund II,1,2,3,['3'],"['12', '58']",2.3,3.4,3.0,1.77,1.65,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,Germany 3. Liga,2021/2022,2021-07-25 08:00:00,1,Viktoria Berlin,Viktoria Köln,2,1,3,"['36', '38']",['34'],2.88,3.4,2.25,2.0,1.67,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,Germany 3. Liga,2021/2022,2021-07-26 14:00:00,1,Freiburg II,Wehen Wiesbaden,0,0,0,[],[],2.85,3.35,2.33,1.79,1.65,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Borussia Dortmund II,Waldhof Mannheim,1,1,2,['16'],['61'],2.7,3.3,2.55,1.67,1.54,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Saarbrucken,Osnabrück,1,2,3,['13'],"['6', '43']",2.2,3.45,3.1,1.91,1.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Wehen Wiesbaden,1860 München,0,0,0,[],[],3.05,3.1,2.4,1.95,1.77,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Viktoria Köln,Zwickau,1,1,2,['72'],['85'],2.45,3.4,2.7,1.77,1.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Meppen,Kaiserslautern,1,0,1,['45+3'],[],3.15,3.6,2.15,1.74,1.65,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Germany 3. Liga,2021/2022,2021-07-31 09:00:00,2,Magdeburg,Freiburg II,0,0,0,[],[],2.5,3.4,2.35,1.65,1.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Germany 3. Liga,2021/2022,2021-08-01 09:00:00,2,Eintracht Braunschweig,Viktoria Berlin,0,4,4,[],"['5', '31', '65', '69']",2.1,3.2,3.65,2.05,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,Germany 3. Liga,2021/2022,2021-08-02 14:00:00,2,Würzburger Kickers,Verl,0,1,1,[],['72'],2.55,3.2,2.65,1.87,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Germany 3. Liga,2021/2022,2021-08-08 08:00:00,2,MSV Duisburg,Havelse,3,0,3,"['26', '66', '68']",[],1.6,3.5,6.25,1.8,1.83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
18,Germany 3. Liga,2021/2022,2021-08-13 14:00:00,3,Freiburg II,Borussia Dortmund II,2,5,7,"['12', '34']","['14', '16', '22', '59', '90+5']",2.9,3.2,2.35,1.8,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Verl,Viktoria Köln,3,1,4,"['29', '34', '52']",['22'],2.1,3.25,3.35,2.0,1.83,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
20,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Zwickau,Meppen,1,1,2,['17'],['59'],2.1,3.1,3.55,1.95,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
21,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Saarbrucken,MSV Duisburg,2,0,2,"['27', '35']",[],1.91,3.35,3.95,1.71,1.62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Osnabrück,Wehen Wiesbaden,0,1,1,[],['90+3'],2.5,3.15,2.7,1.87,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Germany 3. Liga,2021/2022,2021-08-14 09:00:00,3,Havelse,Magdeburg,1,3,4,['48'],"['36', '85', '90+4']",5.75,3.75,1.57,2.0,2.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,Germany 3. Liga,2021/2022,2021-08-15 08:00:00,3,Viktoria Berlin,Kaiserslautern,4,0,4,"['3', '45+1', '52', '84']",[],3.38,3.5,2.1,1.9,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Germany 3. Liga,2021/2022,2021-08-15 09:00:00,3,Waldhof Mannheim,Würzburger Kickers,1,1,2,['87'],['10'],2.0,3.65,3.3,1.8,1.74,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
26,Germany 3. Liga,2021/2022,2021-08-16 14:00:00,3,Hallescher FC,Eintracht Braunschweig,0,2,2,[],"['42', '83']",2.5,3.0,2.8,2.1,1.87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Germany 3. Liga,2021/2022,2021-08-18 14:00:00,1,Osnabrück,MSV Duisburg,0,1,1,[],['40'],2.05,3.4,3.35,1.8,1.74,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Germany 3. Liga,2021/2022,2021-08-20 14:00:00,4,Viktoria Berlin,Hallescher FC,0,1,1,[],['28'],2.05,3.35,3.4,1.87,1.77,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Germany 3. Liga,2021/2022,2021-08-21 09:00:00,4,Meppen,Verl,2,0,2,"['30', '90+3']",[],2.8,3.4,2.3,1.8,1.69,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
30,Germany 3. Liga,2021/2022,2021-08-21 09:00:00,4,Borussia Dortmund II,Saarbrucken,0,0,0,[],[],2.85,3.45,2.25,1.69,1.62,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Germany 3. Liga,2021/2022,2021-08-21 09:00:00,4,Viktoria Köln,Waldhof Mannheim,2,3,5,"['48', '80']","['22', '32', '44']",2.7,3.05,2.55,1.8,1.65,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
