Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Germany Bundesliga,2021/2022,2021-08-13 15:30:00,1,Borussia M'gladbach,Bayern München,1,1,2,['10'],['42'],5.9,5.4,1.46,1.28,1.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Wolfsburg,Bochum,1,0,1,['22'],[],1.51,4.55,6.75,1.65,1.8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Union Berlin,Bayer Leverkusen,1,1,2,['7'],['12'],2.65,3.35,2.8,1.95,1.77,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Stuttgart,Greuther Fürth,5,1,6,"['30', '36', '55', '61', '76']",['90+3'],1.91,3.9,4.0,1.69,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Augsburg,Hoffenheim,0,4,4,[],"['37', '78', '87', '90+5']",3.3,3.75,2.15,1.67,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,Germany Bundesliga,2021/2022,2021-08-14 10:30:00,1,Arminia Bielefeld,Freiburg,0,0,0,[],[],3.05,3.15,2.55,2.3,2.05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Germany Bundesliga,2021/2022,2021-08-14 13:30:00,1,Borussia Dortmund,Eintracht Frankfurt,5,2,7,"['23', '32', '34', '58', '70']","['27', '86']",1.43,5.5,7.0,1.42,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,Germany Bundesliga,2021/2022,2021-08-15 10:30:00,1,Mainz 05,RB Leipzig,1,0,1,['12'],[],8.0,5.25,1.4,1.62,1.91,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Germany Bundesliga,2021/2022,2021-08-15 12:30:00,1,Köln,Hertha BSC,3,1,4,"['41', '52', '55']",['5'],2.87,3.24,2.26,1.82,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,Germany Bundesliga,2021/2022,2021-08-20 15:30:00,2,RB Leipzig,Stuttgart,4,0,4,"['38', '46', '52', '65']",[],1.43,5.0,7.25,1.57,1.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Eintracht Frankfurt,Augsburg,0,0,0,[],[],1.65,4.4,5.25,1.59,1.71,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Freiburg,Borussia Dortmund,2,1,3,"['6', '53']",['59'],5.5,4.6,1.59,1.54,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,Germany Bundesliga,2021/2022,2021-08-21 10:30:00,2,Hertha BSC,Wolfsburg,1,2,3,['60'],"['73', '88']",3.2,3.45,2.3,1.91,1.74,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
