Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1339893,Greece Super League,2021/2022,2021-09-11 12:15:00,1,Panaitolikos,Asteras Tripolis,0,0,0,[],[],3.0,3.0,2.4,2.4,1.56,2.1,1.71
2,1339892,Greece Super League,2021/2022,2021-09-11 14:30:00,1,Panathinaikos,Apollon Smirnis,4,0,4,"['30', '45+1', '73', '83']",[],1.47,4.15,6.5,2.1,1.71,2.3,1.59
3,1339890,Greece Super League,2021/2022,2021-09-12 12:15:00,1,Volos NFC,Lamia,2,1,3,"['8', '42']",['52'],2.05,3.0,3.7,2.3,1.59,2.05,1.74
4,1339894,Greece Super League,2021/2022,2021-09-12 13:00:00,1,PAOK,PAS Giannina,0,1,1,[],['87'],1.22,6.0,13.0,1.95,1.83,3.05,1.36
5,1339888,Greece Super League,2021/2022,2021-09-12 14:30:00,1,AEK Athens,Ionikos,3,0,3,"['7', '62', '66']",[],1.17,7.0,16.0,1.87,1.91,3.4,1.3
6,1339891,Greece Super League,2021/2022,2021-09-12 14:30:00,1,Olympiakos Piraeus,Atromitos,0,0,0,[],[],1.19,6.75,14.0,1.8,2.0,2.95,1.38
7,1339889,Greece Super League,2021/2022,2021-09-13 13:30:00,1,Aris,OFI,0,0,0,[],[],1.45,4.05,7.0,2.2,1.65,2.55,1.49
8,1339899,Greece Super League,2021/2022,2021-09-17 13:00:00,2,Ionikos,Aris,1,0,1,['86'],[],4.45,3.4,1.77,2.3,1.59,2.25,1.62
9,1339895,Greece Super League,2021/2022,2021-09-18 14:30:00,2,PAS Giannina,Panathinaikos,1,0,1,['5'],[],2.85,3.2,2.4,2.15,1.65,2.05,1.74
10,1339896,Greece Super League,2021/2022,2021-09-19 10:00:00,2,Apollon Smirnis,Volos NFC,1,3,4,['65'],"['4', '49', '63']",2.35,2.85,3.3,2.35,1.57,2.05,1.74
11,1339898,Greece Super League,2021/2022,2021-09-19 12:15:00,2,Atromitos,Panaitolikos,1,2,3,['44'],"['72', '90']",1.8,3.25,4.65,2.1,1.71,2.0,1.8
12,1339900,Greece Super League,2021/2022,2021-09-19 12:15:00,2,OFI,AEK Athens,3,3,6,"['78', '84', '90+2']","['15', '41', '64']",5.0,3.75,1.62,1.87,1.91,1.91,1.87
13,1339901,Greece Super League,2021/2022,2021-09-19 14:30:00,2,Lamia,Olympiakos Piraeus,1,2,3,['72'],"['12', '32']",9.25,5.0,1.31,1.8,2.0,2.3,1.61
14,1339897,Greece Super League,2021/2022,2021-09-19 14:30:00,2,Asteras Tripolis,PAOK,0,1,1,[],['27'],3.25,3.15,2.2,2.0,1.77,1.83,1.95
