Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Greece Super League,2021/2022,2021-09-11 12:15:00,1,Panaitolikos,Asteras Tripolis,0,0,0,[],[],3.0,3.0,2.4,2.4,2.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Greece Super League,2021/2022,2021-09-11 14:30:00,1,Panathinaikos,Apollon Smirnis,4,0,4,"['30', '45+1', '73', '83']",[],1.47,4.15,6.5,2.1,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3,Greece Super League,2021/2022,2021-09-12 12:15:00,1,Volos NFC,Lamia,2,1,3,"['8', '42']",['52'],2.05,3.0,3.7,2.3,2.05,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,Greece Super League,2021/2022,2021-09-12 13:00:00,1,PAOK,PAS Giannina,0,1,1,[],['87'],1.22,6.0,13.0,1.95,3.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Greece Super League,2021/2022,2021-09-12 14:30:00,1,AEK Athens,Ionikos,3,0,3,"['7', '62', '66']",[],1.17,7.0,16.0,1.87,3.4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
6,Greece Super League,2021/2022,2021-09-12 14:30:00,1,Olympiakos Piraeus,Atromitos,0,0,0,[],[],1.19,6.75,14.0,1.8,2.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Greece Super League,2021/2022,2021-09-13 13:30:00,1,Aris,OFI,0,0,0,[],[],1.45,4.05,7.0,2.2,2.55,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Greece Super League,2021/2022,2021-09-17 13:00:00,2,Ionikos,Aris,1,0,1,['86'],[],4.45,3.4,1.77,2.3,2.25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Greece Super League,2021/2022,2021-09-18 14:30:00,2,PAS Giannina,Panathinaikos,1,0,1,['5'],[],2.85,3.2,2.4,2.15,2.05,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Greece Super League,2021/2022,2021-09-19 10:00:00,2,Apollon Smirnis,Volos NFC,1,3,4,['65'],"['4', '49', '63']",2.35,2.85,3.3,2.35,2.05,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11,Greece Super League,2021/2022,2021-09-19 12:15:00,2,Atromitos,Panaitolikos,1,2,3,['44'],"['72', '90']",1.8,3.25,4.65,2.1,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12,Greece Super League,2021/2022,2021-09-19 12:15:00,2,OFI,AEK Athens,3,3,6,"['78', '84', '90+2']","['15', '41', '64']",5.0,3.75,1.62,1.87,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13,Greece Super League,2021/2022,2021-09-19 14:30:00,2,Lamia,Olympiakos Piraeus,1,2,3,['72'],"['12', '32']",9.25,5.0,1.31,1.8,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14,Greece Super League,2021/2022,2021-09-19 14:30:00,2,Asteras Tripolis,PAOK,0,1,1,[],['27'],3.25,3.15,2.2,2.0,1.83,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,Greece Super League,2021/2022,2021-09-22 12:15:00,3,OFI,Asteras Tripolis,0,0,0,[],[],2.6,2.95,2.8,2.25,1.95,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Greece Super League,2021/2022,2021-09-22 12:15:00,3,Panaitolikos,PAOK,1,2,3,['59'],"['31', '80']",6.0,3.75,1.54,2.15,2.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17,Greece Super League,2021/2022,2021-09-22 12:15:00,3,Olympiakos Piraeus,Apollon Smirnis,4,1,5,"['8', '47', '72', '87']",['79'],1.18,7.25,13.0,1.53,2.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,Greece Super League,2021/2022,2021-09-22 14:30:00,3,AEK Athens,Lamia,1,0,1,['67'],[],1.31,5.25,8.5,1.83,2.4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Greece Super League,2021/2022,2021-09-22 14:30:00,3,Aris,Panathinaikos,1,0,1,['10'],[],2.0,3.0,4.15,2.45,2.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Greece Super League,2021/2022,2021-09-23 12:15:00,3,Ionikos,PAS Giannina,0,0,0,[],[],2.35,2.85,3.2,2.6,2.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Greece Super League,2021/2022,2021-09-23 14:30:00,3,Volos NFC,Atromitos,3,0,3,"['59', '90', '90+6']",[],2.2,3.05,3.35,2.25,2.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Greece Super League,2021/2022,2021-09-26 10:00:00,4,Asteras Tripolis,Olympiakos Piraeus,0,2,2,[],"['7', '23']",5.25,3.75,1.62,2.1,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Greece Super League,2021/2022,2021-09-26 10:00:00,4,Panathinaikos,Volos NFC,5,1,6,"['3', '4', '33', '45+1', '69']",['58'],1.5,4.15,6.0,2.1,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Greece Super League,2021/2022,2021-09-26 12:15:00,4,Lamia,Panaitolikos,2,2,4,"['10', '66']","['30', '90+1']",2.3,2.95,3.2,2.4,2.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
25,Greece Super League,2021/2022,2021-09-26 14:30:00,4,PAOK,AEK Athens,2,0,2,"['42', '79']",[],2.2,3.25,3.15,2.25,2.05,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Greece Super League,2021/2022,2021-09-27 11:15:00,4,PAS Giannina,OFI,1,1,2,['22'],['12'],2.4,2.9,2.9,2.4,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
