Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Greece Super League 2,2022/2023,2022-11-04 10:15:00,1,Veria,PAOK II,1,1,2,['90+6'],['54'],1.95,3.15,3.34,2.03,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,Greece Super League 2,2022/2023,2022-11-05 08:45:00,1,Apollon Smirnis,AEK Athens II,1,0,1,['87'],[],1.97,2.95,3.55,2.4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Greece Super League 2,2022/2023,2022-11-05 10:00:00,1,Panserraikos,Thesprotos,1,1,2,['81'],['69'],1.27,4.8,10.0,1.82,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,Greece Super League 2,2022/2023,2022-11-05 10:00:00,1,Episkopi,Olympiakos Piraeus II,1,1,2,['90'],['90+2'],3.7,3.05,1.88,2.28,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Greece Super League 2,2022/2023,2022-11-06 08:45:00,1,Kalamata,Irodotos,2,0,2,"['19', '59']",[],1.11,4.19,12.07,1.45,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Ilioupoli,Kifisia,0,2,2,[],"['67', '84']",3.54,3.02,2.09,2.19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,AOX Kissamikos,Panachaiki,1,2,3,['56'],"['42', '51']",1.88,3.18,4.1,2.38,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Apollon Pontou,Diagoras,0,1,1,[],['74'],1.71,3.08,5.5,2.38,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Iraklis 1908,Almopos,1,1,2,['86'],['26'],1.74,3.36,4.58,1.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Larissa,Iraklis Larissa,3,0,3,"['15', '19', '23']",[],1.26,4.6,12.5,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Makedonikos Neapolis FC,Niki Volos,2,0,2,"['45', '80']",[],3.5,3.08,2.08,2.3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,Greece Super League 2,2022/2023,2022-11-06 10:00:00,1,Egaleo,OF Ierapetra,0,2,2,[],"['5', '32']",1.78,2.82,4.53,2.06,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Greece Super League 2,2022/2023,2022-11-07 10:15:00,1,Panathinaikos II,Apollon Larissa,5,2,7,"['21', '26', '66', '71', '90']","['47', '73']",2.44,1.67,1.7,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Greece Super League 2,2022/2023,2022-11-11 10:00:00,2,Niki Volos,Veria,1,1,2,['60'],['43'],1.65,3.01,4.31,2.26,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Greece Super League 2,2022/2023,2022-11-11 10:15:00,2,PAOK II,Larissa,1,0,1,['31'],[],3.5,2.73,2.14,2.15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Greece Super League 2,2022/2023,2022-11-12 08:45:00,2,Olympiakos Piraeus II,Kalamata,0,2,2,[],"['50', '85']",3.62,3.14,2.05,2.3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Greece Super League 2,2022/2023,2022-11-12 10:00:00,2,Apollon Larissa,Makedonikos Neapolis FC,1,0,1,['80'],[],2.6,2.8,2.75,2.28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Greece Super League 2,2022/2023,2022-11-12 10:00:00,2,AEK Athens II,Ilioupoli,0,0,0,[],[],1.72,3.42,4.64,2.21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,Diagoras,Anagennisi Karditsas,0,2,2,[],"['39', '59']",4.0,3.15,1.88,2.05,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,Thesprotos,Panathinaikos II,2,2,4,"['27', '55']","['54', '83']",2.25,3.25,3.0,2.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,OF Ierapetra,PAO Rouf,4,0,4,"['14', '17', '21', '47']",[],1.45,3.85,6.45,2.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
22,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,Irodotos,Apollon Smirnis,0,1,1,[],['19'],7.4,4.6,1.34,2.08,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,Iraklis Larissa,Apollon Pontou,0,1,1,[],['17'],2.6,3.2,2.6,2.15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Greece Super League 2,2022/2023,2022-11-13 10:00:00,2,Panachaiki,Episkopi,2,1,3,"['67', '74']",['62'],1.49,3.68,6.4,2.27,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
25,Greece Super League 2,2022/2023,2022-11-13 10:45:00,2,Kifisia,Egaleo,2,0,2,"['54', '90+3']",[],1.47,3.28,5.91,2.23,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Greece Super League 2,2022/2023,2022-11-14 10:00:00,2,Almopos,Panserraikos,0,1,1,[],['70'],7.4,3.5,1.36,2.35,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Greece Super League 2,2022/2023,2022-11-14 10:15:00,2,Proodeftiki,Kallithea,0,1,1,[],['35'],5.75,3.1,1.62,2.37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Greece Super League 2,2022/2023,2022-11-18 10:15:00,3,Kalamata,Panachaiki,0,0,0,[],[],1.65,3.25,5.3,2.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Greece Super League 2,2022/2023,2022-11-19 08:45:00,3,Panserraikos,Iraklis 1908,0,2,2,[],"['25', '53']",1.76,3.3,4.3,2.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Greece Super League 2,2022/2023,2022-11-19 10:00:00,3,Larissa,Niki Volos,1,0,1,['37'],[],1.68,3.35,4.7,2.55,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Ilioupoli,Irodotos,3,0,3,"['39', '46', '58']",[],1.41,4.0,8.5,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
32,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Apollon Pontou,PAOK II,1,2,3,['86'],"['37', '55']",3.68,3.15,1.85,2.15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
33,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Veria,Apollon Larissa,1,2,3,['56'],"['16', '83']",1.31,5.0,8.5,1.9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Makedonikos Neapolis FC,Thesprotos,2,0,2,"['60', '63']",[],1.88,3.45,3.24,2.06,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
35,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Episkopi,AOX Kissamikos,0,2,2,[],"['8', '90']",3.15,3.1,2.28,2.31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Greece Super League 2,2022/2023,2022-11-20 10:00:00,3,Egaleo,AEK Athens II,1,1,2,['59'],['42'],2.22,3.0,2.89,2.25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
37,Greece Super League 2,2022/2023,2022-11-21 10:00:00,3,Panathinaikos II,Almopos,1,1,2,['53'],['17'],1.55,3.6,5.5,2.07,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
38,Greece Super League 2,2022/2023,2022-11-21 10:00:00,3,Anagennisi Karditsas,Iraklis Larissa,2,0,2,"['41', '81']",[],1.19,5.3,12.7,1.81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
39,Greece Super League 2,2022/2023,2022-11-21 10:15:00,3,Kallithea,OF Ierapetra,2,1,3,"['83', '85']",['17'],1.46,3.55,6.2,2.06,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
40,Greece Super League 2,2022/2023,2022-11-23 10:00:00,1,PAO Rouf,Proodeftiki,0,1,1,[],['45+1'],3.9,3.3,1.73,1.96,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Greece Super League 2,2022/2023,2022-11-25 10:15:00,4,Iraklis 1908,Panathinaikos II,2,3,5,"['13', '54']","['34', '43', '90+1']",1.59,3.2,5.4,1.95,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
42,Greece Super League 2,2022/2023,2022-11-26 08:45:00,4,PAOK II,Anagennisi Karditsas,2,0,2,"['70', '74']",[],3.15,2.85,2.16,2.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
43,Greece Super League 2,2022/2023,2022-11-26 10:00:00,4,Olympiakos Piraeus II,Ilioupoli,0,1,1,[],['45+1'],1.71,3.1,4.5,1.92,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,Greece Super League 2,2022/2023,2022-11-26 10:00:00,4,AEK Athens II,PAO Rouf,3,1,4,"['27', '60', '66']",['90'],1.32,4.5,8.4,1.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,Greece Super League 2,2022/2023,2022-11-26 10:00:00,4,Apollon Larissa,Larissa,0,2,2,[],"['33', '60']",8.7,4.44,1.33,1.97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
