Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1264841,Hungary NB I,2021/2022,2021-07-30 13:15:00,1,Paksi SE,Mezőkövesd-Zsóry,2,3,5,"['54', '76']","['21', '47', '79']",2.1,3.4,2.95,1.53,2.25,1.5,2.35
2,1264838,Hungary NB I,2021/2022,2021-07-30 15:30:00,1,Gyirmót,MTK,1,1,2,['26'],['54'],3.15,3.6,1.95,1.77,1.87,1.74,1.91
3,1264839,Hungary NB I,2021/2022,2021-07-31 12:45:00,1,Ferencváros,Várda SE,1,2,3,['79'],"['46', '64']",1.28,4.9,8.25,1.74,1.91,2.25,1.56
4,1264843,Hungary NB I,2021/2022,2021-07-31 15:00:00,1,Honvéd,Debrecen,1,4,5,['36'],"['60', '65', '81', '90+5']",1.95,3.6,3.25,1.74,1.91,1.69,2.0
5,1264840,Hungary NB I,2021/2022,2021-08-01 12:45:00,1,Zalaegerszegi TE,Videoton,1,1,2,['68'],['47'],4.0,3.6,1.71,1.67,2.0,1.67,2.05
6,1264842,Hungary NB I,2021/2022,2021-08-01 15:00:00,1,Újpest,Puskás,1,2,3,['64'],"['43', '56']",2.85,3.5,2.15,1.74,1.91,1.67,2.05
7,1264848,Hungary NB I,2021/2022,2021-08-06 15:00:00,2,Várda SE,Gyirmót,2,1,3,"['32', '56']",['35'],1.87,3.3,3.5,1.95,1.71,1.87,1.77
8,1264846,Hungary NB I,2021/2022,2021-08-07 12:45:00,2,Mezőkövesd-Zsóry,Zalaegerszegi TE,3,2,5,"['15', '45+9', '83']","['67', '69']",1.95,3.25,3.3,1.71,1.95,1.62,2.05
9,1264849,Hungary NB I,2021/2022,2021-08-07 15:00:00,2,MTK,Honvéd,1,0,1,['19'],[],2.25,3.45,2.55,1.71,1.95,1.67,2.0
10,1264844,Hungary NB I,2021/2022,2021-08-08 12:45:00,2,Debrecen,Újpest,2,2,4,"['77', '87']","['6', '50']",2.05,3.3,3.05,1.61,2.1,1.51,2.25
11,1264845,Hungary NB I,2021/2022,2021-08-08 15:00:00,2,Puskás,Paksi SE,1,6,7,['55'],"['15', '37', '45+1', '58', '66', '69']",1.87,3.45,3.25,1.53,2.25,1.5,2.3
12,1264855,Hungary NB I,2021/2022,2021-08-13 15:00:00,3,MTK,Várda SE,1,2,3,['32'],"['69', '75']",0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1264853,Hungary NB I,2021/2022,2021-08-14 11:00:00,3,Paksi SE,Debrecen,3,3,6,"['45', '50', '63']","['27', '41', '73']",1.91,3.45,3.25,1.43,2.45,1.4,2.6
14,1264851,Hungary NB I,2021/2022,2021-08-14 13:15:00,3,Ferencváros,Mezőkövesd-Zsóry,4,1,5,"['45+2', '45+4', '68', '90+4']",['6'],1.53,3.9,4.75,1.61,2.1,1.69,2.0
15,1264850,Hungary NB I,2021/2022,2021-08-14 15:30:00,3,Gyirmót,Videoton,1,1,2,['62'],['30'],4.6,3.85,1.56,1.61,2.1,1.69,2.0
16,1264854,Hungary NB I,2021/2022,2021-08-15 15:00:00,3,Újpest,Honvéd,1,1,2,['34'],['60'],2.25,3.15,2.75,1.77,1.87,1.67,2.0
17,1264852,Hungary NB I,2021/2022,2021-08-18 12:00:00,3,Zalaegerszegi TE,Puskás,1,3,4,['13'],"['54', '66', '90+1']",2.6,3.35,2.25,1.56,2.2,1.5,2.3
