League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
Hungary NB II,2022/2023,2022-07-30 12:30:00,1,Gyirmót,Szentlőrinc SE,4,0,4,"['7', '22', '29', '52']",[],1.65,3.8,5.5,1.9,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Hungary NB II,2022/2023,2022-07-31 12:30:00,1,Tiszakécske,MTE 1904,1,0,1,['84'],[],2.0,3.6,3.6,2.05,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 12:30:00,1,Soroksár SC,Kozármisleny,3,1,4,"['45', '56', '75']",['51'],2.1,3.6,3.3,2.0,1.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 12:30:00,1,Szombathelyi Haladás,Csákvári TK,1,1,2,['90+2'],['3'],2.1,3.4,3.5,2.3,1.88,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 14:00:00,1,Győri ETO,Nyíregyháza Spartacus,1,0,1,['20'],[],1.67,4.0,5.0,1.9,1.85,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 14:00:00,1,Kazincbarcika,Dorogi,2,0,2,"['32', '41']",[],2.2,3.6,3.1,1.9,1.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 14:00:00,1,Pécsi MFC,Békéscsaba,1,0,1,['72'],[],1.8,3.75,4.33,1.95,1.82,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 14:00:00,1,Ajka,Budafoki MTE,3,0,3,"['16', '35', '43']",[],1.8,3.75,4.33,2.1,1.82,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Hungary NB II,2022/2023,2022-07-31 14:00:00,1,Siófok,Diósgyőr,1,0,1,['21'],[],3.4,3.5,2.1,2.25,1.93,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-08-01 15:00:00,1,MTK,Szeged 2011,2,1,3,"['61', '67']",['34'],1.53,4.5,5.5,1.5,1.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-08-07 12:30:00,2,Nyíregyháza Spartacus,Szombathelyi Haladás,0,1,1,[],['45+1'],2.63,3.25,2.75,2.3,1.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary NB II,2022/2023,2022-08-07 12:30:00,2,Csákvári TK,Siófok,1,0,1,['19'],[],2.88,3.25,2.5,2.0,1.77,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
