Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1535822,Iceland 1. Deild,2022,2022-05-05 16:15:00,1,HK,Selfoss,2,3,5,"['9', '12']","['5', '8', '70']",1.41,5.09,4.13,1.36,2.9,1.48,2.5
2,1535823,Iceland 1. Deild,2022,2022-05-05 16:15:00,1,Fylkir,KV,3,1,4,"['8', '36', '78']",['43'],1.07,5.25,6.0,1.29,3.6,1.6,2.2
3,1535824,Iceland 1. Deild,2022,2022-05-06 15:00:00,1,Thór,Kórdrengir,1,0,1,['88'],[],2.3,3.75,1.5,1.48,2.6,1.42,2.65
4,1535825,Iceland 1. Deild,2022,2022-05-06 16:15:00,1,Thróttur Vogar,Fjölnir,0,3,3,[],"['53', '58', '63']",3.9,5.0,1.19,1.5,2.5,1.62,2.15
5,1535826,Iceland 1. Deild,2022,2022-05-06 16:15:00,1,Afturelding,Grindavík,1,1,2,['32'],['71'],2.31,3.6,1.61,1.36,3.1,1.33,3.0
6,1535827,Iceland 1. Deild,2022,2022-05-07 11:00:00,1,Grótta,Vestri,5,0,5,"['5', '6', '22', '82', '88']",[],1.9,4.25,2.87,1.37,2.85,1.47,2.6
7,1535829,Iceland 1. Deild,2022,2022-05-12 16:15:00,2,KV,HK,1,3,4,['90+5'],"['9', '11', '90+7']",4.65,4.42,1.41,1.35,2.94,1.52,2.35
8,1535830,Iceland 1. Deild,2022,2022-05-12 16:15:00,2,Grindavík,Thróttur Vogar,3,0,3,"['45', '64', '90']",[],1.41,4.29,4.76,1.4,2.75,1.55,2.3
9,1535828,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Fjölnir,Thór,4,1,5,"['26', '40', '53', '88']",['87'],1.26,4.5,3.55,1.5,2.5,1.5,2.4
10,1535831,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Selfoss,Grótta,2,1,3,"['36', '40']",['43'],1.9,4.0,1.83,1.4,2.88,1.33,2.95
11,1535832,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Kórdrengir,Fylkir,1,1,2,['39'],['70'],2.15,4.33,1.58,1.57,2.35,1.51,2.4
12,1535893,Iceland 1. Deild,2022,2022-05-14 11:00:00,2,Afturelding,Vestri,0,2,2,[],"['47', '59']",2.5,3.75,2.2,1.4,2.73,1.39,2.89
13,1535834,Iceland 1. Deild,2022,2022-05-19 16:15:00,3,Fylkir,Fjölnir,5,2,7,"['14', '41', '45', '46', '85']","['38', '90+1']",1.82,3.9,3.65,1.37,2.85,1.4,2.8
14,1535835,Iceland 1. Deild,2022,2022-05-19 16:15:00,3,Grótta,HK,2,0,2,"['73', '88']",[],2.6,4.3,2.18,1.35,2.94,1.37,2.94
15,1535837,Iceland 1. Deild,2022,2022-05-20 16:15:00,3,Kórdrengir,KV,2,0,2,"['14', '47']",[],1.13,4.5,4.75,1.33,3.04,1.65,2.1
16,2180133,Iceland 1. Deild,2022,2022-05-20 16:15:00,3,Afturelding,Selfoss,1,1,2,['88'],['73'],2.25,3.75,1.65,1.4,2.88,1.41,2.82
17,1535836,Iceland 1. Deild,2022,2022-05-20 16:30:00,3,Thór,Grindavík,1,1,2,['90+4'],['27'],2.06,3.6,1.76,1.42,2.65,1.44,2.69
18,1535839,Iceland 1. Deild,2022,2022-05-21 11:00:00,3,Thróttur Vogar,Vestri,1,1,2,['68'],['63'],3.5,4.1,1.82,1.36,2.9,1.65,2.18
19,1535840,Iceland 1. Deild,2022,2022-05-27 15:30:00,4,Fjölnir,Kórdrengir,1,1,2,['45+2'],['90+1'],1.64,3.5,2.27,1.7,2.1,1.56,2.36
20,1535842,Iceland 1. Deild,2022,2022-05-27 16:15:00,4,Selfoss,Thróttur Vogar,4,0,4,"['15', '64', '76', '90']",[],1.48,4.5,5.25,1.36,2.9,1.54,2.4
21,1535844,Iceland 1. Deild,2022,2022-05-27 16:15:00,4,HK,Afturelding,2,0,2,"['45+4', '77']",[],1.44,4.5,5.5,1.36,2.9,1.58,2.31
22,1535841,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Grindavík,Fylkir,1,0,1,['57'],[],3.37,3.78,1.79,1.4,2.75,1.49,2.54
23,1535907,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Grótta,KV,5,1,6,"['24', '38', '40', '62', '85']",['45'],1.31,4.98,6.35,1.33,3.0,1.67,2.15
24,1535845,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Vestri,Thór,3,3,6,"['19', '22', '90']","['12', '43', '74']",1.87,3.62,3.22,1.45,2.55,1.49,2.53
25,1535846,Iceland 1. Deild,2022,2022-06-03 15:00:00,5,Thór,Selfoss,0,2,2,[],"['40', '58']",1.99,4.0,1.82,1.48,2.6,1.4,2.81
26,1535847,Iceland 1. Deild,2022,2022-06-03 15:30:00,5,Fjölnir,KV,3,1,4,"['29', '75', '90']",['38'],1.15,4.5,4.75,1.4,2.88,1.57,2.3
27,1535848,Iceland 1. Deild,2022,2022-06-03 16:15:00,5,Kórdrengir,Grindavík,1,1,2,['61'],['29'],2.01,3.6,2.9,1.55,2.3,1.52,2.47
