Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1185768,Iceland Úrvalsdeild,2021,2021-04-30 17:00:00,1,Valur,ÍA,2,0,2,"['55', '72']",[],1.06,8.0,7.25,1.25,3.8,1.67,2.1
2,1185772,Iceland Úrvalsdeild,2021,2021-05-01 14:00:00,1,HK,KA,0,0,0,[],[],1.9,3.6,1.8,1.65,2.2,1.57,2.25
3,1185769,Iceland Úrvalsdeild,2021,2021-05-01 16:15:00,1,Stjarnan,Leiknir Reykjavík,0,0,0,[],[],1.28,4.33,3.3,1.4,2.88,1.5,2.5
4,1185771,Iceland Úrvalsdeild,2021,2021-05-01 16:15:00,1,Fylkir,FH,0,2,2,[],"['25', '48']",2.7,3.75,1.42,1.44,2.7,1.5,2.5
5,1185770,Iceland Úrvalsdeild,2021,2021-05-02 16:15:00,1,Víkingur Reykjavík,Keflavík,1,0,1,['19'],[],1.33,4.0,3.2,1.48,2.6,1.5,2.5
6,1185773,Iceland Úrvalsdeild,2021,2021-05-02 16:15:00,1,Breidablik,KR,0,2,2,[],"['11', '15']",1.54,3.75,2.45,1.44,2.7,1.44,2.63
7,1185776,Iceland Úrvalsdeild,2021,2021-05-07 15:00:00,2,KR,KA,1,3,4,['45'],"['10', '28', '79']",1.3,3.75,3.25,1.8,2.0,1.8,1.91
8,1185774,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,ÍA,Víkingur Reykjavík,1,1,2,['90'],['1'],3.0,4.0,1.38,1.5,2.5,1.53,2.38
9,1185775,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,Leiknir Reykjavík,Breidablik,3,3,6,"['45+2', '55', '66']","['26', '73', '90']",7.0,5.5,1.07,1.48,2.6,1.91,1.8
10,1185777,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,HK,Fylkir,2,2,4,"['51', '90+1']","['5', '46']",1.57,3.6,2.25,1.7,2.1,1.57,2.25
11,1185778,Iceland Úrvalsdeild,2021,2021-05-09 16:15:00,2,FH,Valur,1,1,2,['38'],['71'],2.25,3.8,1.57,1.62,2.25,1.57,2.25
12,1185779,Iceland Úrvalsdeild,2021,2021-05-09 16:15:00,2,Keflavík,Stjarnan,2,0,2,"['22', '54']",[],2.6,3.6,1.49,1.65,2.2,1.57,2.25
13,1185782,Iceland Úrvalsdeild,2021,2021-05-12 14:30:00,3,KA,Leiknir Reykjavík,3,0,3,"['15', '56', '70']",[],1.18,4.2,4.6,1.6,2.3,1.73,2.0
14,1185781,Iceland Úrvalsdeild,2021,2021-05-12 16:15:00,3,Fylkir,KR,1,1,2,['3'],['7'],4.3,3.85,1.65,1.55,2.32,1.62,2.2
15,1185785,Iceland Úrvalsdeild,2021,2021-05-13 16:15:00,3,Breidablik,Keflavík,4,0,4,"['11', '67', '68', '70']",[],1.3,4.8,8.0,1.54,2.32,1.67,2.1
16,1185784,Iceland Úrvalsdeild,2021,2021-05-13 16:15:00,3,FH,ÍA,5,1,6,"['30', '82', '88', '90+12', '90+14']",['6'],1.3,4.6,8.5,1.57,2.25,1.73,2.0
17,1185783,Iceland Úrvalsdeild,2021,2021-05-13 16:15:00,3,Stjarnan,Víkingur Reykjavík,2,3,5,"['30', '45']","['5', '36', '51']",2.6,3.3,2.35,1.57,2.25,1.57,2.25
18,1185780,Iceland Úrvalsdeild,2021,2021-05-13 16:15:00,3,Valur,HK,3,2,5,"['40', '79', '90+1']","['35', '81']",1.28,5.0,9.0,1.45,2.55,1.8,1.91
19,1185787,Iceland Úrvalsdeild,2021,2021-05-16 16:15:00,4,Leiknir Reykjavík,Fylkir,3,0,3,"['44', '87', '90+1']",[],3.19,3.75,2.0,1.48,2.47,1.5,2.5
