Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Iceland 1. Deild,2022,2022-05-05 16:15:00,1,HK,Selfoss,2,3,5,"['9', '12']","['5', '8', '70']",1.41,5.09,4.13,1.36,1.48,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,Iceland 1. Deild,2022,2022-05-05 16:15:00,1,Fylkir,KV,3,1,4,"['8', '36', '78']",['43'],1.07,5.25,6.0,1.29,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,Iceland 1. Deild,2022,2022-05-06 15:00:00,1,Thór,Kórdrengir,1,0,1,['88'],[],2.3,3.75,1.5,1.48,1.42,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Iceland 1. Deild,2022,2022-05-06 16:15:00,1,Thróttur Vogar,Fjölnir,0,3,3,[],"['53', '58', '63']",3.9,5.0,1.19,1.5,1.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Iceland 1. Deild,2022,2022-05-06 16:15:00,1,Afturelding,Grindavík,1,1,2,['32'],['71'],2.31,3.6,1.61,1.36,1.33,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Iceland 1. Deild,2022,2022-05-07 11:00:00,1,Grótta,Vestri,5,0,5,"['5', '6', '22', '82', '88']",[],1.9,4.25,2.87,1.37,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7,Iceland 1. Deild,2022,2022-05-12 16:15:00,2,KV,HK,1,3,4,['90+5'],"['9', '11', '90+7']",4.65,4.42,1.41,1.35,1.52,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Iceland 1. Deild,2022,2022-05-12 16:15:00,2,Grindavík,Thróttur Vogar,3,0,3,"['45', '64', '90']",[],1.41,4.29,4.76,1.4,1.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Fjölnir,Thór,4,1,5,"['26', '40', '53', '88']",['87'],1.26,4.5,3.55,1.5,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Selfoss,Grótta,2,1,3,"['36', '40']",['43'],1.9,4.0,1.83,1.4,1.33,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11,Iceland 1. Deild,2022,2022-05-13 16:15:00,2,Kórdrengir,Fylkir,1,1,2,['39'],['70'],2.15,4.33,1.58,1.57,1.51,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Iceland 1. Deild,2022,2022-05-14 11:00:00,2,Afturelding,Vestri,0,2,2,[],"['47', '59']",2.5,3.75,2.2,1.4,1.39,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Iceland 1. Deild,2022,2022-05-19 16:15:00,3,Fylkir,Fjölnir,5,2,7,"['14', '41', '45', '46', '85']","['38', '90+1']",1.82,3.9,3.65,1.37,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,Iceland 1. Deild,2022,2022-05-19 16:15:00,3,Grótta,HK,2,0,2,"['73', '88']",[],2.6,4.3,2.18,1.35,1.37,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Iceland 1. Deild,2022,2022-05-20 16:15:00,3,Kórdrengir,KV,2,0,2,"['14', '47']",[],1.13,4.5,4.75,1.33,1.65,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16,Iceland 1. Deild,2022,2022-05-20 16:15:00,3,Afturelding,Selfoss,1,1,2,['88'],['73'],2.25,3.75,1.65,1.4,1.41,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,Iceland 1. Deild,2022,2022-05-20 16:30:00,3,Thór,Grindavík,1,1,2,['90+4'],['27'],2.06,3.6,1.76,1.42,1.44,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18,Iceland 1. Deild,2022,2022-05-21 11:00:00,3,Thróttur Vogar,Vestri,1,1,2,['68'],['63'],3.5,4.1,1.82,1.36,1.65,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19,Iceland 1. Deild,2022,2022-05-27 15:30:00,4,Fjölnir,Kórdrengir,1,1,2,['45+2'],['90+1'],1.64,3.5,2.27,1.7,1.56,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
20,Iceland 1. Deild,2022,2022-05-27 16:15:00,4,Selfoss,Thróttur Vogar,4,0,4,"['15', '64', '76', '90']",[],1.48,4.5,5.25,1.36,1.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
21,Iceland 1. Deild,2022,2022-05-27 16:15:00,4,HK,Afturelding,2,0,2,"['45+4', '77']",[],1.44,4.5,5.5,1.36,1.58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Grindavík,Fylkir,1,0,1,['57'],[],3.37,3.78,1.79,1.4,1.49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Grótta,KV,5,1,6,"['24', '38', '40', '62', '85']",['45'],1.31,4.98,6.35,1.33,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,Iceland 1. Deild,2022,2022-05-28 11:00:00,4,Vestri,Thór,3,3,6,"['19', '22', '90']","['12', '43', '74']",1.87,3.62,3.22,1.45,1.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
25,Iceland 1. Deild,2022,2022-06-03 15:00:00,5,Thór,Selfoss,0,2,2,[],"['40', '58']",1.99,4.0,1.82,1.48,1.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Iceland 1. Deild,2022,2022-06-03 15:30:00,5,Fjölnir,KV,3,1,4,"['29', '75', '90']",['38'],1.15,4.5,4.75,1.4,1.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
27,Iceland 1. Deild,2022,2022-06-03 16:15:00,5,Kórdrengir,Grindavík,1,1,2,['61'],['29'],2.01,3.6,2.9,1.55,1.52,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
28,Iceland 1. Deild,2022,2022-06-03 16:15:00,5,Afturelding,Grótta,2,2,4,"['15', '58']","['76', '90+5']",2.9,3.9,1.92,1.32,1.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
29,Iceland 1. Deild,2022,2022-06-04 11:00:00,5,Fylkir,Vestri,5,0,5,"['13', '47', '54', '72', '79']",[],1.62,4.4,3.9,1.4,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30,Iceland 1. Deild,2022,2022-06-09 16:15:00,6,Grindavík,Fjölnir,2,2,4,"['7', '89']","['58', '86']",2.43,3.3,2.29,1.47,1.56,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
31,Iceland 1. Deild,2022,2022-06-09 16:15:00,6,Selfoss,Fylkir,2,2,4,"['51', '56']","['41', '90+1']",4.0,4.0,1.7,1.46,1.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
