Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Iceland Úrvalsdeild,2021,2021-04-30 17:00:00,1,Valur,ÍA,2,0,2,"['55', '72']",[],1.06,8.0,7.25,1.25,1.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,Iceland Úrvalsdeild,2021,2021-05-01 14:00:00,1,HK,KA,0,0,0,[],[],1.9,3.6,1.8,1.65,1.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Iceland Úrvalsdeild,2021,2021-05-01 16:15:00,1,Stjarnan,Leiknir Reykjavík,0,0,0,[],[],1.28,4.33,3.3,1.4,1.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Iceland Úrvalsdeild,2021,2021-05-01 16:15:00,1,Fylkir,FH,0,2,2,[],"['25', '48']",2.7,3.75,1.42,1.44,1.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Iceland Úrvalsdeild,2021,2021-05-02 16:15:00,1,Víkingur Reykjavík,Keflavík,1,0,1,['19'],[],1.33,4.0,3.2,1.48,1.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Iceland Úrvalsdeild,2021,2021-05-02 16:15:00,1,Breidablik,KR,0,2,2,[],"['11', '15']",1.54,3.75,2.45,1.44,1.44,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Iceland Úrvalsdeild,2021,2021-05-07 15:00:00,2,KR,KA,1,3,4,['45'],"['10', '28', '79']",1.3,3.75,3.25,1.8,1.8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,ÍA,Víkingur Reykjavík,1,1,2,['90'],['1'],3.0,4.0,1.38,1.5,1.53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,Leiknir Reykjavík,Breidablik,3,3,6,"['45+2', '55', '66']","['26', '73', '90']",7.0,5.5,1.07,1.48,1.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10,Iceland Úrvalsdeild,2021,2021-05-08 16:15:00,2,HK,Fylkir,2,2,4,"['51', '90+1']","['5', '46']",1.57,3.6,2.25,1.7,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11,Iceland Úrvalsdeild,2021,2021-05-09 16:15:00,2,FH,Valur,1,1,2,['38'],['71'],2.25,3.8,1.57,1.62,1.57,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12,Iceland Úrvalsdeild,2021,2021-05-09 16:15:00,2,Keflavík,Stjarnan,2,0,2,"['22', '54']",[],2.6,3.6,1.49,1.65,1.57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13,Iceland Úrvalsdeild,2021,2021-05-12 14:30:00,3,KA,Leiknir Reykjavík,3,0,3,"['15', '56', '70']",[],1.18,4.2,4.6,1.6,1.73,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Iceland Úrvalsdeild,2021,2021-05-12 16:15:00,3,Fylkir,KR,1,1,2,['3'],['7'],4.3,3.85,1.65,1.55,1.62,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,Iceland Úrvalsdeild,2021,2021-05-13 16:15:00,3,Breidablik,Keflavík,4,0,4,"['11', '67', '68', '70']",[],1.3,4.8,8.0,1.54,1.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
