Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1565808,India I-League,2021/2022,2021-12-26 05:30:00,1,TRAU,Indian Arrows,0,0,0,[],[],1.33,5.5,7.0,1.85,1.95,2.65,1.47
2,1565809,India I-League,2021/2022,2021-12-26 08:00:00,1,Gokulam,Churchill Brothers,1,0,1,['16'],[],2.9,3.1,2.3,2.0,1.8,1.74,2.08
3,1565810,India I-League,2021/2022,2021-12-26 11:00:00,1,Rajasthan,Minerva Punjab,0,2,2,[],"['27', '90']",8.35,4.38,1.35,1.94,1.77,0.0,0.0
4,1565811,India I-League,2021/2022,2021-12-27 05:30:00,1,NEROCA,Sreenidi Deccan,3,2,5,"['16', '22', '50']","['41', '59']",2.7,2.85,2.55,2.55,1.46,2.1,1.65
5,1565812,India I-League,2021/2022,2021-12-27 08:00:00,1,Real Kashmir,Aizawl,3,2,5,"['8', '45+2', '66']","['38', '85']",1.84,3.37,4.83,2.28,1.58,2.02,1.73
6,1565813,India I-League,2021/2022,2021-12-27 11:00:00,1,Mohammedan,Sudeva Moonlight,2,1,3,"['13', '53']",['90+1'],1.69,3.5,5.81,2.1,1.68,2.05,1.7
7,1565814,India I-League,2021/2022,2022-03-03 05:30:00,2,Sreenidi Deccan,TRAU,3,1,4,"['2', '30', '41']",['33'],2.5,3.2,2.5,1.8,2.0,1.72,2.03
8,1565815,India I-League,2021/2022,2022-03-03 08:00:00,2,NEROCA,Gokulam,0,0,0,[],[],4.33,3.6,1.7,1.83,1.95,1.81,1.91
9,1565816,India I-League,2021/2022,2022-03-03 11:00:00,2,Aizawl,Mohammedan,0,2,2,[],"['26', '34']",2.5,2.9,2.75,2.05,1.73,1.89,1.83
10,1565817,India I-League,2021/2022,2022-03-04 05:30:00,2,Sudeva Moonlight,Indian Arrows,0,1,1,[],['60'],1.48,3.65,5.6,1.84,1.92,2.07,1.69
11,1565818,India I-League,2021/2022,2022-03-04 08:00:00,2,Real Kashmir,Kenkre,1,1,2,['66'],['45+1'],1.56,3.74,5.8,1.97,1.81,2.0,1.73
12,1565819,India I-League,2021/2022,2022-03-04 11:00:00,2,Minerva Punjab,Churchill Brothers,2,2,4,"['34', '89']","['16', '44']",2.61,2.9,2.55,1.91,1.76,1.79,1.94
13,1565820,India I-League,2021/2022,2022-03-07 05:30:00,3,Mohammedan,Sreenidi Deccan,3,1,4,"['40', '51', '89']",['16'],1.93,3.22,3.8,2.01,1.71,1.65,2.13
14,1565821,India I-League,2021/2022,2022-03-07 08:00:00,3,Gokulam,Real Kashmir,5,1,6,"['4', '5', '27', '38', '66']",['48'],1.83,3.35,4.07,1.95,1.76,1.88,1.88
15,1565822,India I-League,2021/2022,2022-03-07 11:00:00,3,TRAU,NEROCA,0,2,2,[],"['37', '75']",2.7,2.9,2.45,2.15,1.61,2.12,1.71
16,1565823,India I-League,2021/2022,2022-03-08 05:30:00,3,Rajasthan,Aizawl,1,0,1,['37'],[],2.25,3.25,2.75,2.28,1.58,2.01,1.77
17,1565824,India I-League,2021/2022,2022-03-08 08:00:00,3,Kenkre,Minerva Punjab,0,4,4,[],"['15', '20', '41', '73']",4.5,3.4,1.66,2.28,1.58,2.25,1.57
18,1565825,India I-League,2021/2022,2022-03-08 11:00:00,3,Churchill Brothers,Sudeva Moonlight,0,1,1,[],['83'],1.53,3.7,5.5,2.05,1.7,2.32,1.59
19,1565826,India I-League,2021/2022,2022-03-11 05:30:00,4,Rajasthan,Sudeva Moonlight,0,0,0,[],[],2.4,3.2,2.63,1.99,1.73,2.0,1.75
20,1565827,India I-League,2021/2022,2022-03-11 08:00:00,4,Minerva Punjab,Aizawl,4,3,7,"['38', '45', '90+2', '90+4']","['24', '40', '47']",1.44,4.0,6.0,1.71,2.01,1.93,1.78
21,1565828,India I-League,2021/2022,2022-03-11 11:00:00,4,Real Kashmir,Sreenidi Deccan,1,1,2,['72'],['90'],1.85,3.53,3.75,1.9,1.81,1.7,2.05
22,1565829,India I-League,2021/2022,2022-03-12 05:30:00,4,TRAU,Churchill Brothers,2,0,2,"['34', '52']",[],3.4,3.3,1.95,1.95,1.85,1.78,1.95
23,1565830,India I-League,2021/2022,2022-03-12 08:00:00,4,Gokulam,Kenkre,6,2,8,"['3', '16', '18', '47', '84', '89']","['73', '90+5']",1.5,4.0,5.0,1.67,2.14,2.38,1.53
24,1565831,India I-League,2021/2022,2022-03-12 11:00:00,4,Mohammedan,Indian Arrows,4,0,4,"['18', '38', '51', '71']",[],1.15,6.45,17.75,1.85,1.86,3.14,1.32
25,1565832,India I-League,2021/2022,2022-03-15 05:30:00,5,Sudeva Moonlight,Aizawl,1,2,3,['4'],"['90+1', '90+3']",3.51,3.1,1.95,2.14,1.6,2.0,1.71
26,1565833,India I-League,2021/2022,2022-03-15 08:00:00,5,Minerva Punjab,Sreenidi Deccan,1,2,3,['39'],"['23', '56']",2.12,3.3,3.0,1.84,1.91,1.6,2.15
27,1565834,India I-League,2021/2022,2022-03-15 11:00:00,5,Real Kashmir,NEROCA,3,3,6,"['48', '88', '90+6']","['19', '34', '58']",2.35,3.0,2.9,2.18,1.7,1.74,1.86
28,1565835,India I-League,2021/2022,2022-03-16 05:30:00,5,Rajasthan,Indian Arrows,0,0,0,[],[],1.5,4.0,5.0,2.0,1.8,2.0,1.71
29,1565836,India I-League,2021/2022,2022-03-16 08:00:00,5,Mohammedan,Churchill Brothers,1,2,3,['57'],"['2', '63']",2.05,3.05,3.15,2.05,1.75,1.68,1.95
30,1565837,India I-League,2021/2022,2022-03-16 11:00:00,5,TRAU,Kenkre,3,0,3,"['13', '48', '64']",[],1.23,5.65,11.0,1.77,1.91,2.0,1.73
31,1565838,India I-League,2021/2022,2022-03-20 05:30:00,6,Indian Arrows,Aizawl,0,2,2,[],"['43', '49']",5.83,3.42,1.57,1.82,1.93,2.12,1.66
32,1565839,India I-League,2021/2022,2022-03-20 08:00:00,6,Sudeva Moonlight,Sreenidi Deccan,0,1,1,[],['39'],4.83,2.9,1.76,2.84,1.35,2.04,1.71
33,1565840,India I-League,2021/2022,2022-03-20 11:00:00,6,Minerva Punjab,NEROCA,1,1,2,['78'],['58'],2.4,3.3,2.65,1.95,1.87,1.72,2.03
34,1565841,India I-League,2021/2022,2022-03-21 05:30:00,6,Rajasthan,Churchill Brothers,2,0,2,"['34', '38']",[],3.5,3.3,1.91,2.05,1.67,2.15,1.64
35,1565842,India I-League,2021/2022,2022-03-21 08:00:00,6,TRAU,Gokulam,2,3,5,"['7', '56']","['2', '19', '55']",3.1,3.2,2.05,1.8,1.91,1.78,1.95
36,1565843,India I-League,2021/2022,2022-03-21 11:00:00,6,Mohammedan,Kenkre,1,0,1,['72'],[],1.07,8.5,17.31,1.43,2.62,2.69,1.42
37,1565844,India I-League,2021/2022,2022-03-24 06:30:00,7,Indian Arrows,Sreenidi Deccan,1,2,3,['45+4'],"['30', '69']",11.86,4.8,1.32,1.79,1.98,2.2,1.64
