Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3805432,India Indian Super League,2022/2023,2022-10-07 11:00:00,1,Kerala Blasters,East Bengal,3,1,4,"['72', '82', '89']",['88'],1.58,3.9,4.3,1.78,1.88,1.85,1.82
2,3805433,India Indian Super League,2022/2023,2022-10-08 11:00:00,1,Bengaluru,NorthEast United,1,0,1,['87'],[],1.8,3.4,4.1,1.6,2.2,1.7,2.05
3,3805434,India Indian Super League,2022/2023,2022-10-09 11:00:00,1,Hyderabad,Mumbai City,3,3,6,"['45+4', '51', '76']","['23', '67', '85']",2.5,3.7,2.5,1.7,2.1,1.62,2.2
4,3805435,India Indian Super League,2022/2023,2022-10-10 11:00:00,1,ATK Mohun Bagan,Chennaiyin,1,2,3,['27'],"['62', '82']",1.35,4.4,6.6,1.7,2.08,1.88,1.8
5,3805436,India Indian Super League,2022/2023,2022-10-11 12:05:00,1,Jamshedpur,Odisha FC,2,3,5,"['3', '10']","['17', '88', '90+1']",1.4,4.5,6.5,1.57,2.25,1.8,1.91
6,3805437,India Indian Super League,2022/2023,2022-10-12 11:00:00,2,East Bengal,Goa,1,2,3,['64'],"['7', '90+4']",3.5,3.45,1.83,1.7,2.1,1.6,2.0
7,3805438,India Indian Super League,2022/2023,2022-10-13 11:00:00,2,NorthEast United,Hyderabad,0,3,3,[],"['13', '69', '73']",3.25,3.5,1.89,1.59,2.21,1.65,2.1
8,3805439,India Indian Super League,2022/2023,2022-10-14 11:00:00,2,Chennaiyin,Bengaluru,1,1,2,['45+1'],['4'],4.0,3.75,1.78,1.72,2.05,1.68,2.13
9,3805440,India Indian Super League,2022/2023,2022-10-15 11:00:00,2,Mumbai City,Odisha FC,2,0,2,"['50', '90+5']",[],1.62,4.15,4.3,1.5,2.4,1.53,2.38
10,3805441,India Indian Super League,2022/2023,2022-10-16 11:00:00,2,Kerala Blasters,ATK Mohun Bagan,2,5,7,"['6', '81']","['26', '38', '62', '88', '90+2']",2.63,3.3,2.4,1.7,2.05,1.62,2.26
11,3805442,India Indian Super League,2022/2023,2022-10-20 11:00:00,3,NorthEast United,East Bengal,1,3,4,['90+2'],"['11', '52', '84']",1.77,3.73,3.73,1.69,2.04,1.65,2.21
12,3805443,India Indian Super League,2022/2023,2022-10-21 11:00:00,3,Chennaiyin,Goa,0,2,2,[],"['10', '90+2']",3.25,3.6,1.95,1.68,2.01,1.61,2.15
13,3805444,India Indian Super League,2022/2023,2022-10-22 09:00:00,3,Mumbai City,Jamshedpur,1,1,2,['8'],['12'],2.27,3.44,2.82,1.7,2.0,1.6,2.25
14,3805445,India Indian Super League,2022/2023,2022-10-22 11:00:00,3,Hyderabad,Bengaluru,1,0,1,['83'],[],2.23,3.41,3.31,1.65,2.18,1.52,2.45
15,3805446,India Indian Super League,2022/2023,2022-10-23 11:00:00,3,Odisha FC,Kerala Blasters,2,1,3,"['54', '86']",['35'],2.63,3.1,2.45,1.76,2.04,0.0,0.0
16,3805447,India Indian Super League,2022/2023,2022-10-27 11:00:00,4,Odisha FC,Bengaluru,1,0,1,['33'],[],2.89,3.35,1.99,1.62,2.23,1.53,2.38
17,3805448,India Indian Super League,2022/2023,2022-10-28 11:00:00,4,Kerala Blasters,Mumbai City,0,2,2,[],"['21', '31']",2.29,3.3,2.33,1.65,2.17,1.52,2.49
18,3805449,India Indian Super League,2022/2023,2022-10-29 09:00:00,4,Hyderabad,Goa,1,0,1,['18'],[],2.3,3.25,2.7,1.62,2.15,1.53,2.31
19,3805450,India Indian Super League,2022/2023,2022-10-29 11:00:00,4,ATK Mohun Bagan,East Bengal,2,0,2,"['56', '65']",[],1.45,4.35,5.5,1.58,2.23,1.7,2.1
20,3805451,India Indian Super League,2022/2023,2022-10-30 11:00:00,4,Jamshedpur,NorthEast United,1,0,1,['31'],[],1.53,4.0,4.6,1.6,2.25,1.68,2.1
21,3805452,India Indian Super League,2022/2023,2022-11-03 11:00:00,5,Goa,Jamshedpur,3,0,3,"['2', '12', '90+3']",[],2.45,3.25,2.6,1.7,2.0,1.55,2.25
22,3805453,India Indian Super League,2022/2023,2022-11-04 11:00:00,5,East Bengal,Chennaiyin,0,1,1,[],['69'],2.65,3.25,2.4,1.85,1.85,1.57,2.22
23,3805454,India Indian Super League,2022/2023,2022-11-05 09:00:00,5,Hyderabad,Odisha FC,1,0,1,['8'],[],1.83,3.8,3.2,1.62,2.15,1.62,2.2
24,3805455,India Indian Super League,2022/2023,2022-11-05 11:00:00,5,NorthEast United,Kerala Blasters,0,3,3,[],"['56', '85', '90+5']",3.05,3.42,2.15,1.82,1.97,1.68,2.14
25,3805456,India Indian Super League,2022/2023,2022-11-06 11:00:00,5,Mumbai City,ATK Mohun Bagan,2,2,4,"['4', '72']","['47', '88']",2.19,3.65,2.72,1.55,2.23,1.46,2.6
26,3805459,India Indian Super League,2022/2023,2022-11-09 11:00:00,6,Jamshedpur,Hyderabad,0,1,1,[],['48'],2.74,3.35,2.29,2.01,1.79,1.71,2.1
27,3805457,India Indian Super League,2022/2023,2022-11-10 11:00:00,6,ATK Mohun Bagan,NorthEast United,2,1,3,"['35', '89']",['81'],1.07,19.66,42.28,1.47,2.42,1.88,1.8
28,3805458,India Indian Super League,2022/2023,2022-11-11 11:00:00,6,Bengaluru,East Bengal,0,1,1,[],['69'],1.72,3.7,4.0,1.75,1.96,1.67,2.1
29,3805460,India Indian Super League,2022/2023,2022-11-12 11:00:00,6,Chennaiyin,Mumbai City,2,6,8,"['19', '32']","['33', '45+3', '49', '60', '65', '90+1']",3.6,3.5,1.87,1.62,2.2,1.65,2.2
30,3805461,India Indian Super League,2022/2023,2022-11-13 11:00:00,6,Kerala Blasters,Goa,3,1,4,"['42', '45+1', '52']",['67'],2.56,3.5,2.4,1.66,2.15,1.5,2.45
31,3805462,India Indian Super League,2022/2023,2022-11-17 11:00:00,7,Mumbai City,Bengaluru,4,0,4,"['14', '32', '58', '74']",[],1.62,4.0,4.12,1.55,2.23,1.52,2.2
32,3805463,India Indian Super League,2022/2023,2022-11-18 11:00:00,7,East Bengal,Odisha FC,2,4,6,"['23', '35']","['47', '48', '65', '76']",3.02,3.35,2.06,1.85,1.85,1.57,2.25
33,3805464,India Indian Super League,2022/2023,2022-11-19 09:00:00,7,Chennaiyin,Jamshedpur,3,1,4,"['27', '77', '85']",['76'],2.76,3.2,2.36,2.03,1.85,1.71,1.99
34,3805465,India Indian Super League,2022/2023,2022-11-19 11:00:00,7,Hyderabad,Kerala Blasters,0,1,1,[],['18'],1.95,3.4,3.55,1.75,1.95,1.73,2.07
35,3805466,India Indian Super League,2022/2023,2022-11-20 11:00:00,7,Goa,ATK Mohun Bagan,3,0,3,"['50', '76', '82']",[],3.24,3.29,1.99,1.66,2.16,1.54,2.35
36,3805467,India Indian Super League,2022/2023,2022-11-24 11:00:00,8,Odisha FC,Chennaiyin,3,2,5,"['31', '49', '90+7']","['60', '90+4']",1.88,3.55,3.25,1.66,2.1,1.62,2.2
37,3805468,India Indian Super League,2022/2023,2022-11-25 11:00:00,8,NorthEast United,Mumbai City,1,3,4,['17'],"['10', '27', '46']",6.4,4.64,1.4,1.55,2.35,1.73,1.97
38,3805469,India Indian Super League,2022/2023,2022-11-26 09:00:00,8,Goa,Bengaluru,0,2,2,[],"['27', '57']",1.7,3.8,4.15,1.63,2.2,1.65,2.2
39,3805470,India Indian Super League,2022/2023,2022-11-26 11:00:00,8,ATK Mohun Bagan,Hyderabad,1,0,1,['11'],[],1.92,2.98,3.85,1.7,2.04,1.56,2.39
