Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,India Indian Super League,2022/2023,2022-10-07 11:00:00,1,Kerala Blasters,East Bengal,3,1,4,"['72', '82', '89']",['88'],1.58,3.9,4.3,1.78,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,India Indian Super League,2022/2023,2022-10-08 11:00:00,1,Bengaluru,NorthEast United,1,0,1,['87'],[],1.8,3.4,4.1,1.6,1.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,India Indian Super League,2022/2023,2022-10-09 11:00:00,1,Hyderabad,Mumbai City,3,3,6,"['45+4', '51', '76']","['23', '67', '85']",2.5,3.7,2.5,1.7,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4,India Indian Super League,2022/2023,2022-10-10 11:00:00,1,ATK Mohun Bagan,Chennaiyin,1,2,3,['27'],"['62', '82']",1.35,4.4,6.6,1.7,1.88,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5,India Indian Super League,2022/2023,2022-10-11 12:05:00,1,Jamshedpur,Odisha FC,2,3,5,"['3', '10']","['17', '88', '90+1']",1.4,4.5,6.5,1.57,1.8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6,India Indian Super League,2022/2023,2022-10-12 11:00:00,2,East Bengal,Goa,1,2,3,['64'],"['7', '90+4']",3.5,3.45,1.83,1.7,1.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7,India Indian Super League,2022/2023,2022-10-13 11:00:00,2,NorthEast United,Hyderabad,0,3,3,[],"['13', '69', '73']",3.25,3.5,1.89,1.59,1.65,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,India Indian Super League,2022/2023,2022-10-14 11:00:00,2,Chennaiyin,Bengaluru,1,1,2,['45+1'],['4'],4.0,3.75,1.78,1.72,1.68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,India Indian Super League,2022/2023,2022-10-15 11:00:00,2,Mumbai City,Odisha FC,2,0,2,"['50', '90+5']",[],1.62,4.15,4.3,1.5,1.53,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,India Indian Super League,2022/2023,2022-10-16 11:00:00,2,Kerala Blasters,ATK Mohun Bagan,2,5,7,"['6', '81']","['26', '38', '62', '88', '90+2']",2.63,3.3,2.4,1.7,1.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,India Indian Super League,2022/2023,2022-10-20 11:00:00,3,NorthEast United,East Bengal,1,3,4,['90+2'],"['11', '52', '84']",1.77,3.73,3.73,1.69,1.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,India Indian Super League,2022/2023,2022-10-21 11:00:00,3,Chennaiyin,Goa,0,2,2,[],"['10', '90+2']",3.25,3.6,1.95,1.68,1.61,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,India Indian Super League,2022/2023,2022-10-22 09:00:00,3,Mumbai City,Jamshedpur,1,1,2,['8'],['12'],2.27,3.44,2.82,1.7,1.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14,India Indian Super League,2022/2023,2022-10-22 11:00:00,3,Hyderabad,Bengaluru,1,0,1,['83'],[],2.23,3.41,3.31,1.65,1.52,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15,India Indian Super League,2022/2023,2022-10-23 11:00:00,3,Odisha FC,Kerala Blasters,2,1,3,"['54', '86']",['35'],2.63,3.1,2.45,1.76,0.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
16,India Indian Super League,2022/2023,2022-10-27 11:00:00,4,Odisha FC,Bengaluru,1,0,1,['33'],[],2.89,3.35,1.99,1.62,1.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
17,India Indian Super League,2022/2023,2022-10-28 11:00:00,4,Kerala Blasters,Mumbai City,0,2,2,[],"['21', '31']",2.29,3.3,2.33,1.65,1.52,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,India Indian Super League,2022/2023,2022-10-29 09:00:00,4,Hyderabad,Goa,1,0,1,['18'],[],2.3,3.25,2.7,1.62,1.53,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,India Indian Super League,2022/2023,2022-10-29 11:00:00,4,ATK Mohun Bagan,East Bengal,2,0,2,"['56', '65']",[],1.45,4.35,5.5,1.58,1.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,India Indian Super League,2022/2023,2022-10-30 11:00:00,4,Jamshedpur,NorthEast United,1,0,1,['31'],[],1.53,4.0,4.6,1.6,1.68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,India Indian Super League,2022/2023,2022-11-03 11:00:00,5,Goa,Jamshedpur,3,0,3,"['2', '12', '90+3']",[],2.45,3.25,2.6,1.7,1.55,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,India Indian Super League,2022/2023,2022-11-04 11:00:00,5,East Bengal,Chennaiyin,0,1,1,[],['69'],2.65,3.25,2.4,1.85,1.57,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,India Indian Super League,2022/2023,2022-11-05 09:00:00,5,Hyderabad,Odisha FC,1,0,1,['8'],[],1.83,3.8,3.2,1.62,1.62,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,India Indian Super League,2022/2023,2022-11-05 11:00:00,5,NorthEast United,Kerala Blasters,0,3,3,[],"['56', '85', '90+5']",3.05,3.42,2.15,1.82,1.68,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,India Indian Super League,2022/2023,2022-11-06 11:00:00,5,Mumbai City,ATK Mohun Bagan,2,2,4,"['4', '72']","['47', '88']",2.19,3.65,2.72,1.55,1.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,India Indian Super League,2022/2023,2022-11-09 11:00:00,6,Jamshedpur,Hyderabad,0,1,1,[],['48'],2.74,3.35,2.29,2.01,1.71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,India Indian Super League,2022/2023,2022-11-10 11:00:00,6,ATK Mohun Bagan,NorthEast United,2,1,3,"['35', '89']",['81'],1.07,19.66,42.28,1.47,1.88,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
28,India Indian Super League,2022/2023,2022-11-11 11:00:00,6,Bengaluru,East Bengal,0,1,1,[],['69'],1.72,3.7,4.0,1.75,1.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,India Indian Super League,2022/2023,2022-11-12 11:00:00,6,Chennaiyin,Mumbai City,2,6,8,"['19', '32']","['33', '45+3', '49', '60', '65', '90+1']",3.6,3.5,1.87,1.62,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,India Indian Super League,2022/2023,2022-11-13 11:00:00,6,Kerala Blasters,Goa,3,1,4,"['42', '45+1', '52']",['67'],2.56,3.5,2.4,1.66,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
