Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,3390683,Iran Persian Gulf Pro League,2022/2023,2022-08-12 11:30:00,1,Paykan,Malavan,1,0,1,['40'],[],0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3390684,Iran Persian Gulf Pro League,2022/2023,2022-08-12 11:30:00,1,Esteghlal,Sepahan,0,2,2,[],"['53', '57']",2.29,2.51,3.18,2.9,1.36,2.03,1.75
3,3390685,Iran Persian Gulf Pro League,2022/2023,2022-08-12 12:30:00,1,Aluminium Arak,Havadar,0,1,1,[],['24'],2.1,2.5,4.33,3.1,1.36,2.52,1.5
4,3390682,Iran Persian Gulf Pro League,2022/2023,2022-08-12 13:00:00,1,Nassaji Mazandaran,Mes Rafsanjan,1,1,2,['49'],['58'],3.4,3.3,1.91,2.9,1.36,2.05,1.69
5,3390686,Iran Persian Gulf Pro League,2022/2023,2022-08-12 13:00:00,1,Naft Masjed Soleyman,Mes Kerman,3,2,5,"['30', '39', '59']","['39', '45+1']",2.3,2.7,3.2,3.15,1.33,0.0,0.0
6,3390687,Iran Persian Gulf Pro League,2022/2023,2022-08-13 11:30:00,1,Zob Ahan,Persepolis,0,0,0,[],[],5.75,2.85,1.75,2.9,1.36,2.5,1.47
7,3390688,Iran Persian Gulf Pro League,2022/2023,2022-08-13 13:00:00,1,Foolad,Sanat Naft,0,0,0,[],[],1.62,2.9,7.0,2.88,1.4,2.64,1.46
8,3390689,Iran Persian Gulf Pro League,2022/2023,2022-08-13 13:00:00,1,Gol Gohar,Tractor Sazi,2,1,3,"['19', '51']",['55'],2.15,2.5,4.2,3.1,1.36,2.28,1.6
9,3390690,Iran Persian Gulf Pro League,2022/2023,2022-08-18 11:30:00,2,Malavan,Esteghlal,1,3,4,['27'],"['58', '79', '90+8']",6.0,3.0,1.7,2.75,1.4,2.82,1.41
10,3390691,Iran Persian Gulf Pro League,2022/2023,2022-08-18 13:00:00,2,Mes Rafsanjan,Gol Gohar,0,0,0,[],[],2.7,3.1,2.4,2.7,1.44,2.01,1.76
