Nº,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_BTTS_Yes,0x0,0x1,0x2,0x3,1x0,1x1,1x2,1x3,2x0,2x1,2x2,2x3,3x0,3x1,3x2,3x3,Goleada_H,Goleada_A
1,Iran Persian Gulf Pro League,2021/2022,2021-10-19 09:00:00,1,Nassaji Mazandaran,Fajr Sepasi,1,0,1,['23'],[],1.35,3.0,3.0,0.0,2.75,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Iran Persian Gulf Pro League,2021/2022,2021-10-19 09:30:00,1,Paykan,Naft Masjed Soleyman,0,0,0,[],[],1.55,2.88,2.35,0.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Iran Persian Gulf Pro League,2021/2022,2021-10-19 09:30:00,1,Padideh Khorasan,Aluminium Arak,0,0,0,[],[],5.0,3.4,1.15,2.4,2.45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Iran Persian Gulf Pro League,2021/2022,2021-10-19 11:30:00,1,Sepahan,Mes Rafsanjan,2,0,2,"['45+3', '56']",[],1.16,3.75,4.75,0.0,2.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,Iran Persian Gulf Pro League,2021/2022,2021-10-20 09:30:00,1,Gol Gohar,Tractor Sazi,4,1,5,"['11', '15', '21', '38']",['86'],1.22,3.2,4.0,0.0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,Iran Persian Gulf Pro League,2021/2022,2021-10-20 11:30:00,1,Sanat Naft,Zob Ahan,0,1,1,[],['90+1'],2.0,2.55,1.75,0.0,2.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Iran Persian Gulf Pro League,2021/2022,2021-10-20 11:30:00,1,Esteghlal,Havadar,1,0,1,['60'],[],1.1,4.0,6.0,0.0,2.55,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Iran Persian Gulf Pro League,2021/2022,2021-10-22 11:30:00,1,Foolad,Persepolis,1,3,4,['78'],"['61', '72', '84']",3.05,3.2,1.33,0.0,2.75,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9,Iran Persian Gulf Pro League,2021/2022,2021-10-24 09:30:00,2,Naft Masjed Soleyman,Sepahan,0,3,3,[],"['7', '25', '39']",5.2,3.6,1.13,0.0,2.62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Iran Persian Gulf Pro League,2021/2022,2021-10-24 09:30:00,2,Mes Rafsanjan,Padideh Khorasan,3,0,3,"['-1', '-1', '-1']",[],1.62,3.75,4.33,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Iran Persian Gulf Pro League,2021/2022,2021-10-25 09:30:00,2,Havadar,Paykan,0,2,2,[],"['12', '28']",1.76,2.5,2.1,0.0,2.19,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Iran Persian Gulf Pro League,2021/2022,2021-10-25 09:30:00,2,Fajr Sepasi,Gol Gohar,0,1,1,[],['90+1'],3.22,2.8,1.3,0.0,2.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Iran Persian Gulf Pro League,2021/2022,2021-10-25 11:30:00,2,Zob Ahan,Esteghlal,0,2,2,[],"['27', '90+5']",2.9,2.8,1.41,3.1,2.47,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Iran Persian Gulf Pro League,2021/2022,2021-10-25 11:30:00,2,Tractor Sazi,Sanat Naft,3,0,3,"['9', '86', '90+5']",[],1.3,3.1,3.5,2.6,2.3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15,Iran Persian Gulf Pro League,2021/2022,2021-10-27 11:30:00,2,Aluminium Arak,Foolad,3,0,3,"['59', '85', '90+1']",[],1.84,2.7,1.87,3.5,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16,Iran Persian Gulf Pro League,2021/2022,2021-10-27 11:30:00,2,Persepolis,Nassaji Mazandaran,2,1,3,"['42', '63']",['49'],1.09,4.33,6.3,2.15,3.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
17,Iran Persian Gulf Pro League,2021/2022,2021-10-30 11:30:00,3,Padideh Khorasan,Naft Masjed Soleyman,0,1,1,[],['80'],2.05,2.88,1.69,3.1,2.42,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Iran Persian Gulf Pro League,2021/2022,2021-10-30 11:30:00,3,Esteghlal,Tractor Sazi,1,0,1,['54'],[],1.26,3.4,3.5,0.0,2.39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Iran Persian Gulf Pro League,2021/2022,2021-10-30 11:30:00,3,Sanat Naft,Fajr Sepasi,0,2,2,[],"['20', '81']",1.43,2.88,2.62,2.7,2.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Iran Persian Gulf Pro League,2021/2022,2021-10-30 11:30:00,3,Sepahan,Havadar,1,0,1,['84'],[],1.06,4.5,7.45,0.0,2.98,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Iran Persian Gulf Pro League,2021/2022,2021-11-01 09:30:00,3,Aluminium Arak,Persepolis,1,0,1,['66'],[],4.55,3.2,1.2,0.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Iran Persian Gulf Pro League,2021/2022,2021-11-01 11:30:00,3,Foolad,Mes Rafsanjan,2,1,3,"['28', '46']",['68'],1.65,2.5,2.15,0.0,2.5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
23,Iran Persian Gulf Pro League,2021/2022,2021-11-01 11:30:00,3,Gol Gohar,Nassaji Mazandaran,1,1,2,['19'],['71'],1.51,2.88,2.4,0.0,2.38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
24,Iran Persian Gulf Pro League,2021/2022,2021-11-05 09:30:00,4,Fajr Sepasi,Esteghlal,1,1,2,['90+5'],['60'],4.17,3.2,1.19,0.0,2.73,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,Iran Persian Gulf Pro League,2021/2022,2021-11-05 09:30:00,4,Havadar,Padideh Khorasan,2,0,2,"['10', '43']",[],1.57,2.55,2.26,0.0,2.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
26,Iran Persian Gulf Pro League,2021/2022,2021-11-05 09:30:00,4,Tractor Sazi,Paykan,1,2,3,['6'],"['36', '40']",1.53,2.88,2.34,0.0,2.22,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
27,Iran Persian Gulf Pro League,2021/2022,2021-11-05 11:30:00,4,Zob Ahan,Sepahan,1,0,1,['57'],[],3.82,3.1,1.22,0.0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Iran Persian Gulf Pro League,2021/2022,2021-11-06 09:30:00,4,Nassaji Mazandaran,Sanat Naft,0,2,2,[],"['11', '39']",1.35,2.8,2.93,0.0,2.63,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Iran Persian Gulf Pro League,2021/2022,2021-11-06 09:30:00,4,Mes Rafsanjan,Aluminium Arak,0,0,0,[],[],1.59,2.8,2.22,0.0,2.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Iran Persian Gulf Pro League,2021/2022,2021-11-06 11:30:00,4,Persepolis,Gol Gohar,1,1,2,['54'],['45+2'],1.41,3.0,2.69,2.6,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
31,Iran Persian Gulf Pro League,2021/2022,2021-11-06 11:30:00,4,Naft Masjed Soleyman,Foolad,0,0,0,[],[],2.5,2.6,1.47,3.1,2.63,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Iran Persian Gulf Pro League,2021/2022,2021-11-12 09:30:00,3,Paykan,Zob Ahan,1,0,1,['-1'],[],2.0,2.75,1.73,0.0,2.38,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Iran Persian Gulf Pro League,2021/2022,2021-11-18 08:30:00,5,Aluminium Arak,Naft Masjed Soleyman,2,1,3,"['4503', '90']",['43'],1.84,3.17,4.57,2.36,2.94,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Iran Persian Gulf Pro League,2021/2022,2021-11-18 08:30:00,5,Padideh Khorasan,Zob Ahan,1,2,3,['65'],"['42', '9004']",2.7,2.94,2.7,2.73,2.45,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
35,Iran Persian Gulf Pro League,2021/2022,2021-11-18 11:30:00,5,Sanat Naft,Gol Gohar,0,0,0,[],[],4.0,2.75,2.1,2.49,2.38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
