Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,FT_Goals_H,FT_Goals_A,FT_TotalGoals,Goals_H_Minutes,Goals_A_Minutes,FT_Odd_H,FT_Odd_D,FT_Odd_A,FT_Odd_Over25,FT_Odd_Under25,FT_Odd_BTTS_Yes,FT_Odd_BTTS_No
1,1319286,Italy Coppa Italia,2021/2022,2021-08-07 14:00:00,0,Como,Catanzaro,2,2,4,"['32', '56']","['51', '88']",1.42,3.25,2.65,2.15,1.67,1.87,1.83
2,1319284,Italy Coppa Italia,2021/2022,2021-08-08 13:30:00,0,Ternana,Avellino,1,1,2,['62'],['25'],1.3,3.5,3.25,2.05,1.75,1.87,1.83
3,1319285,Italy Coppa Italia,2021/2022,2021-08-08 14:00:00,0,Perugia,Südtirol,1,0,1,['47'],[],1.38,3.4,2.85,2.0,1.8,1.83,1.87
4,1319283,Italy Coppa Italia,2021/2022,2021-08-08 15:30:00,0,Calcio Padova,US Alessandria,0,2,2,[],"['102', '106']",2.4,3.15,2.75,2.16,1.65,1.8,1.91
5,1319278,Italy Coppa Italia,2021/2022,2021-08-13 12:45:00,0,Pordenone,Spezia,1,3,4,['51'],"['39', '45+3', '83']",2.9,3.25,2.4,1.95,1.83,1.77,2.0
6,1349744,Italy Coppa Italia,2021/2022,2021-08-13 13:00:00,0,Genoa,Perugia,3,2,5,"['26', '41', '88']","['2', '10']",1.57,4.05,5.5,1.8,1.95,1.87,1.91
7,1319274,Italy Coppa Italia,2021/2022,2021-08-13 15:45:00,0,Udinese,Ascoli,3,1,4,"['11', '53', '55']",['90+2'],1.36,4.44,8.3,1.98,1.83,2.2,1.62
8,1319280,Italy Coppa Italia,2021/2022,2021-08-13 16:00:00,0,Fiorentina,Cosenza,4,0,4,"['4', '37', '45+4', '51']",[],1.11,8.8,21.0,1.52,2.35,3.5,1.29
9,1319275,Italy Coppa Italia,2021/2022,2021-08-14 12:45:00,0,Benevento,SPAL,2,1,3,"['32', '120+4']",['90+5'],1.91,3.4,3.6,2.0,1.8,1.8,1.95
10,1319273,Italy Coppa Italia,2021/2022,2021-08-14 13:00:00,0,Cittadella,Monza,2,1,3,"['8', '40']",['26'],2.15,3.4,1.65,2.15,1.67,1.95,1.8
11,1349490,Italy Coppa Italia,2021/2022,2021-08-14 15:45:00,0,Hellas Verona,Catanzaro,3,0,3,"['23', '33', '42']",[],1.31,5.25,7.5,1.6,2.25,1.95,1.8
12,1319272,Italy Coppa Italia,2021/2022,2021-08-14 16:00:00,0,Cagliari,Pisa,3,1,4,"['28', '36', '45+3']",['67'],1.41,4.35,6.75,2.13,1.73,2.05,1.7
13,1319282,Italy Coppa Italia,2021/2022,2021-08-15 12:45:00,0,Empoli,Vicenza,4,2,6,"['11', '30', '37', '87']","['39', '56']",1.57,3.75,4.75,1.75,2.05,1.75,2.0
14,1319281,Italy Coppa Italia,2021/2022,2021-08-15 13:00:00,0,Parma,Lecce,1,3,4,['7'],"['9', '40', '76']",1.55,3.2,2.3,1.9,1.9,1.7,2.05
15,1319276,Italy Coppa Italia,2021/2022,2021-08-15 15:45:00,0,Venezia,Frosinone,1,1,2,['101'],['93'],1.63,3.74,4.98,1.94,1.86,1.95,1.8
16,1319271,Italy Coppa Italia,2021/2022,2021-08-15 16:00:00,0,Torino,Cremonese,0,0,0,[],[],1.32,5.0,8.1,1.61,2.32,1.75,2.0
17,1319279,Italy Coppa Italia,2021/2022,2021-08-16 12:45:00,0,Crotone,Brescia,2,2,4,"['26', '76']","['46', '67']",1.91,3.2,1.8,1.85,1.95,1.67,2.1
18,1349797,Italy Coppa Italia,2021/2022,2021-08-16 13:00:00,0,Bologna,Ternana,4,5,9,"['38', '56', '58', '76']","['6', '21', '40', '50', '54']",1.12,5.25,5.25,1.48,2.6,1.7,2.05
19,1319277,Italy Coppa Italia,2021/2022,2021-08-16 15:45:00,0,Salernitana,Reggina,2,0,2,"['45+2', '55']",[],2.05,3.25,3.25,2.05,1.68,1.95,1.8
20,1349798,Italy Coppa Italia,2021/2022,2021-08-16 16:00:00,0,Sampdoria,US Alessandria,3,2,5,"['28', '47', '52']","['8', '45']",1.21,5.0,9.75,1.6,2.19,1.95,1.8
21,1356940,Italy Coppa Italia,2021/2022,2021-12-14 11:00:00,0,Venezia,Ternana,3,1,4,"['49', '66', '81']",['53'],1.65,4.25,4.5,1.66,2.16,1.62,2.2
22,1356942,Italy Coppa Italia,2021/2022,2021-12-14 14:00:00,0,Udinese,Crotone,4,0,4,"['20', '28', '41', '62']",[],1.09,4.5,6.5,1.57,2.35,1.8,1.91
23,1356941,Italy Coppa Italia,2021/2022,2021-12-14 17:00:00,0,Genoa,Salernitana,1,0,1,['76'],[],1.71,3.6,4.7,1.92,1.84,1.91,1.83
24,1356146,Italy Coppa Italia,2021/2022,2021-12-15 11:00:00,0,Hellas Verona,Empoli,3,4,7,"['18', '86', '88']","['15', '66', '70', '74']",1.91,3.82,3.66,1.67,2.15,1.53,2.38
25,1354069,Italy Coppa Italia,2021/2022,2021-12-15 14:00:00,0,Cagliari,Cittadella,3,1,4,"['16', '40', '64']",['85'],1.47,3.5,2.5,1.9,1.9,1.73,2.0
26,1353989,Italy Coppa Italia,2021/2022,2021-12-15 17:00:00,0,Fiorentina,Benevento,2,1,3,"['19', '47']",['51'],1.14,4.33,5.25,1.6,2.3,1.8,1.91
27,1354134,Italy Coppa Italia,2021/2022,2021-12-16 14:00:00,0,Spezia,Lecce,0,2,2,[],"['43', '55']",1.8,3.5,1.9,1.62,2.25,1.53,2.38
28,1356939,Italy Coppa Italia,2021/2022,2021-12-16 17:00:00,0,Sampdoria,Torino,2,1,3,"['16', '60']",['54'],1.98,3.4,1.75,1.88,1.98,1.57,2.25
29,1513625,Italy Coppa Italia,2021/2022,2022-01-12 13:30:00,0,Atalanta,Venezia,2,0,2,"['12', '88']",[],1.08,5.75,7.25,1.4,2.88,1.8,1.91
30,1514088,Italy Coppa Italia,2021/2022,2022-01-13 14:00:00,0,Napoli,Fiorentina,2,5,7,"['44', '90+5']","['41', '57', '105+1', '108', '119']",1.51,3.6,2.4,1.7,2.1,1.62,2.2
31,1513626,Italy Coppa Italia,2021/2022,2022-01-13 17:00:00,0,AC Milan,Genoa,3,1,4,"['74', '102', '112']",['17'],1.09,5.75,6.75,1.65,2.2,2.1,1.67
32,1513627,Italy Coppa Italia,2021/2022,2022-01-18 13:30:00,0,Lazio,Udinese,1,0,1,['106'],[],1.22,4.0,4.0,1.65,2.2,1.73,2.0
33,1514656,Italy Coppa Italia,2021/2022,2022-01-18 17:00:00,0,Juventus,Sampdoria,4,1,5,"['25', '52', '67', '77']",['63'],1.13,5.0,5.5,1.73,2.08,2.1,1.67
34,1514087,Italy Coppa Italia,2021/2022,2022-01-19 13:30:00,0,Sassuolo,Cagliari,1,0,1,['18'],[],1.19,4.5,4.33,1.57,2.35,1.67,2.1
35,1514089,Italy Coppa Italia,2021/2022,2022-01-19 17:00:00,0,Inter Milan,Empoli,3,2,5,"['13', '90+1', '104']","['61', '76']",1.06,7.0,9.25,1.3,3.5,1.73,2.0
36,1514657,Italy Coppa Italia,2021/2022,2022-01-20 17:00:00,0,Roma,Lecce,3,1,4,"['40', '54', '81']",['14'],1.14,5.5,5.25,1.57,2.35,1.83,1.91
37,1551350,Italy Coppa Italia,2021/2022,2022-02-08 17:00:00,0,Inter Milan,Roma,2,0,2,"['2', '68']",[],1.22,4.2,4.0,1.65,2.2,1.7,2.05
38,1550040,Italy Coppa Italia,2021/2022,2022-02-09 17:00:00,0,AC Milan,Lazio,4,0,4,"['24', '41', '45+1', '79']",[],1.39,3.6,2.8,1.85,1.95,1.75,2.0
39,1547801,Italy Coppa Italia,2021/2022,2022-02-10 14:00:00,0,Atalanta,Fiorentina,2,3,5,"['30', '56']","['9', '71', '90+3']",1.33,4.0,3.1,1.6,2.3,1.62,2.2
40,1550791,Italy Coppa Italia,2021/2022,2022-02-10 17:00:00,0,Juventus,Sassuolo,2,1,3,"['3', '88']",['24'],1.16,4.75,4.8,1.57,2.35,1.7,2.05
41,1573826,Italy Coppa Italia,2021/2022,2022-03-01 17:00:00,0,AC Milan,Inter Milan,0,0,0,[],[],2.55,3.4,1.46,1.9,1.9,1.7,2.05
42,1575157,Italy Coppa Italia,2021/2022,2022-03-02 17:00:00,0,Fiorentina,Juventus,0,1,1,[],['90+1'],1.85,3.25,1.85,2.15,1.67,1.8,1.95
43,1573825,Italy Coppa Italia,2021/2022,2022-04-19 16:00:00,0,Inter Milan,AC Milan,3,0,3,"['4', '40', '82']",[],1.51,3.4,2.4,2.1,1.7,1.95,1.8
